index,segment,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,tcp_x,tcp_y,tcp_z,surface_min_z,table_clearance_estimate,table_clearance_warning
0,start_to_mid,0.0,-0.6,1.4,0.0,1.0,0.0,0.0,-34.37746770784939,80.21409131831524,0.0,57.29577951308232,0.0,0.678041179047793,-0.24692329870335075,0.2771936424674409,0.05300140875577926,0.05300140875577926,False
1,start_to_mid,0.00632911392573423,-0.5955696202519897,1.3943037974668604,0.005063291140565389,0.9955696202519657,-0.004430379748001987,0.3626315160020473,-34.12362564664817,79.88772295391462,0.29010521280037765,57.041937451879726,-0.25384206120074704,0.6814138138435551,-0.2430007491676041,0.2831195128169634,0.05300140875577926,0.05300140875577926,False
2,start_to_mid,0.01265822785146846,-0.5911392405039794,1.3886075949337207,0.010126582281130779,0.9911392405039313,-0.008860759496003973,0.7252630320040946,-33.869783585446946,79.56135458951398,0.5802104256007553,56.78809539067712,-0.5076841224014941,0.6847009261154601,-0.2390450761494263,0.28908687835113517,0.05300140875577926,0.05300140875577926,False
3,start_to_mid,0.01898734177720269,-0.586708860755969,1.382911392400581,0.015189873421696167,0.986708860755897,-0.01329113924400596,1.087894548006142,-33.61594152424571,79.23498622511336,0.8703156384011329,56.534253329474524,-0.7615261836022411,0.6879015298414891,-0.23505760984376267,0.29509497294060844,0.05300140875577926,0.05300140875577926,False
4,start_to_mid,0.02531645570293692,-0.5822784810079586,1.377215189867441,0.020253164562261557,0.9822784810078626,-0.017721518992007947,1.4505260640081892,-33.362099463044494,78.90861786071271,1.1604208512015106,56.28041126827192,-1.0153682448029882,0.6910146653040935,-0.23103970023309825,0.3011430187031078,0.05300140875577926,0.05300140875577926,False
5,start_to_mid,0.03164556962867115,-0.5778481012599483,1.3715189873343014,0.025316455702826948,0.9778481012598284,-0.022151898740009935,1.8131575800102366,-33.10825740184327,78.58224949631209,1.4505260640018884,56.02656920706932,-1.2692103060037354,0.6940393995826627,-0.2269927165893947,0.30723022615028367,0.05300140875577926,0.05300140875577926,False
6,start_to_mid,0.03797468355440538,-0.573417721511938,1.365822784801162,0.030379746843392334,0.9734177215117942,-0.02658227848801192,2.175789096012284,-32.85441534064204,78.25588113191147,1.7406312768022658,55.77272714586673,-1.5230523672044822,0.6969748270357535,-0.22291804696490786,0.31335579433819594,0.05300140875577926,0.05300140875577926,False
7,start_to_mid,0.04430379748013961,-0.5689873417639276,1.3601265822680222,0.035443037983957724,0.9689873417637598,-0.031012658236013905,2.538420612014331,-32.600573279440816,77.92951276751083,2.0307364896026434,55.51888508466413,-1.7768944284052293,0.6998200697728025,-0.21881709767210003,0.31951891102139085,0.05300140875577926,0.05300140875577926,False
8,start_to_mid,0.05063291140587384,-0.5645569620159174,1.3544303797348827,0.040506329124523115,0.9645569620157255,-0.03544303798401589,2.9010521280163784,-32.3467312182396,77.6031444031102,2.3208417024030212,55.26504302346153,-2.0307364896059763,0.7025742781150625,-0.21469129275286636,0.32571875281053625,0.05300140875577926,0.05300140875577926,False
9,start_to_mid,0.05696202533160807,-0.5601265822679071,1.348734177201743,0.0455696202650885,0.9601265822676912,-0.03987341773201788,3.2636836440184256,-32.09288915703837,77.27677603870957,2.6109469152033986,55.01120096225893,-2.2845785508067236,0.7052366310454968,-0.21054207343730102,0.33195448533357963,0.05300140875577926,0.05300140875577926,False
