frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.095707,1786347555.773409,0,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,96.0823,0.00000000,0.00000000,1.57080007,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.196637,1786347555.869537,2584,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,163.5585,0.00000000,0.00001467,1.57080734,0.00000000,1.57079637,0.00000000,0.00000000,0.00014537,0.00007205,0.00000000,0.00000000,0.00000000
2,0.336663,1786347556.033123,2748,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,118.7919,0.00000000,-0.00092067,1.56998563,-0.00070426,1.57079637,0.00000000,0.00000000,-0.00667980,-0.00586826,-0.00502950,0.00000000,0.00000000
3,0.458008,1786347556.151945,2743,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.0641,0.00000000,-0.00574780,1.56507421,-0.00302979,1.57079637,0.00000000,0.00000000,-0.03978028,-0.04047498,-0.01916466,0.00000000,0.00000000
4,0.587357,1786347556.281028,2675,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,123.7016,0.00000000,-0.01754418,1.55319715,-0.00549471,1.57079637,0.00000000,0.00000000,-0.09119799,-0.09182174,-0.01905629,0.00000000,0.00000000
5,0.715434,1786347556.404750,2689,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.7582,0.00000000,-0.03480592,1.53587675,-0.00769185,1.57079637,0.00000000,0.00000000,-0.13477672,-0.13523470,-0.01715496,0.00000000,0.00000000
6,0.845981,1786347556.534527,2702,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,126.8369,0.00000000,-0.06090394,1.50780892,-0.01032917,1.57079637,0.00000000,0.00000000,-0.19991324,-0.21500211,-0.02020206,0.00000000,0.00000000
7,0.965110,1786347556.661382,2705,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.2749,0.00000000,-0.08509092,1.47799158,-0.01252265,1.57079637,0.00000000,0.00000000,-0.20303167,-0.25029437,-0.01841263,0.00000000,0.00000000
8,1.103201,1786347556.790676,2681,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,131.8458,0.00000000,-0.11150071,1.44289219,-0.01489953,1.57079637,0.00000000,0.00000000,-0.19124859,-0.25417500,-0.01721239,0.00000000,0.00000000
9,1.227605,1786347556.922541,2638,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,128.3122,0.00000000,-0.13795453,1.40866947,-0.01736444,1.57079637,0.00000000,0.00000000,-0.21264426,-0.27509314,-0.01981376,0.00000000,0.00000000
10,1.354483,1786347557.050873,2667,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,126.9376,0.00000000,-0.16366006,1.37905014,-0.01969731,1.57079637,0.00000000,0.00000000,-0.20260066,-0.23344769,-0.01838673,0.00000000,0.00000000
11,1.483981,1786347557.177845,2635,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.1303,0.00000000,-0.18486494,1.35731709,-0.02203018,1.57079637,0.00000000,0.00000000,-0.16374624,-0.16782484,-0.01801462,0.00000000,0.00000000
12,1.611253,1786347557.307005,2531,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,122.3950,0.00000000,-0.20013861,1.34209478,-0.02445841,1.57079637,0.00000000,0.00000000,-0.12000884,-0.11960526,-0.01907920,0.00000000,0.00000000
13,1.734885,1786347557.429418,2573,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.3195,0.00000000,-0.20779012,1.33445799,-0.02669958,1.57079637,0.00000000,0.00000000,-0.06188937,-0.06177028,-0.01812772,0.00000000,0.00000000
14,1.866008,1786347557.558757,2612,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,120.2469,0.00000000,-0.21007530,1.33222413,-0.02844189,1.57079637,0.00000000,0.00000000,-0.01742775,-0.01703636,-0.01328760,0.00000000,0.00000000
15,1.983432,1786347557.679036,2646,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,127.5732,0.00000000,-0.21020369,1.33208108,-0.02857761,1.57079637,0.00000000,0.00000000,-0.00109337,-0.00121824,-0.00115577,0.00000000,0.00000000
16,2.118000,1786347557.806629,2550,50000,1,0,0,0.050924,shoulder_Link,0,0.145973,-0.048003,0.274686,,,,SLOW,SAFE,,-0.190991,,,1,1.000000,SAFE,0,current,50000,138.1192,0.00000000,-0.21021469,1.33205533,-0.02858127,1.57079637,0.00000000,0.00000000,-0.00008172,-0.00019135,-0.00002725,0.00000000,0.00000000
17,2.251372,1786347557.944782,2546,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.190694,,,1,1.000000,SAFE,0,current,50000,130.9022,0.00026777,-0.21015234,1.33206999,-0.02858127,1.57079637,0.00017240,0.00200767,0.00046746,0.00010994,0.00000000,0.00000000,0.00129261
18,2.383624,1786347558.075715,2631,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.189662,,,1,1.000000,SAFE,0,current,50000,129.8059,0.00173131,-0.20956178,1.33274865,-0.02852992,1.57079637,0.00172397,0.01106635,0.00446545,0.00513157,0.00038827,0.00000000,0.01173200
19,2.508240,1786347558.205550,2641,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.187960,,,1,1.000000,SAFE,0,current,50000,120.5404,0.00448233,-0.20840268,1.33434045,-0.02818879,1.57079637,0.00448967,0.02207598,0.00930139,0.01277365,0.00273744,0.00000000,0.02219372
20,2.632381,1786347558.326110,2681,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.185632,,,1,1.000000,SAFE,0,current,50000,118.6890,0.00830808,-0.20685844,1.33635795,-0.02765693,1.57079637,0.00834110,0.03081774,0.01243935,0.01625163,0.00428434,0.00000000,0.03102456
21,2.747971,1786347558.444818,2541,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.183144,,,1,1.000000,SAFE,0,current,50000,129.0372,0.01219986,-0.20529218,1.33820307,-0.02722777,1.57079637,0.01224021,0.03366881,0.01355014,0.01596264,0.00371277,0.00000000,0.03373227
