t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz
1.870992,0.96616596,-0.19661364,1.34921086,-0.02501595,1.57078528,0.96616226,-0.01902950,0.02622592,0.03258373,0.00649016,0.00000000,-0.01871965,0.48749708,0.36954126,0.53948562,-3.14157694,0.00004258,1.57079992
1.912524,0.96537364,-0.19550590,1.35059726,-0.02475185,1.57078528,0.96538466,-0.02018408,0.02794045,0.03481432,0.00691806,0.00000000,-0.02009417,0.48749352,0.36872692,0.53948441,-3.14156842,0.00005454,1.57078541
1.954210,0.96448594,-0.19428810,1.35210848,-0.02444007,1.57078528,0.96448964,-0.02012648,0.02765704,0.03435052,0.00691381,0.00000000,-0.02030239,0.48749646,0.36782653,0.53949124,-3.14157854,0.00003943,1.57079260
1.995803,0.96369731,-0.19320236,1.35345829,-0.02417597,1.57078528,0.96369368,-0.01898340,0.02591390,0.03258246,0.00662271,-0.00000000,-0.01911617,0.48749599,0.36702389,0.53949392,-3.14157854,0.00003939,1.57079992
2.037296,0.96290869,-0.19213498,1.35481560,-0.02388987,1.57078528,0.96290135,-0.02002413,0.02722955,0.03461223,0.00720515,0.00000000,-0.02020093,0.48749932,0.36622833,0.53948433,-3.14157641,0.00004252,1.57080365
2.078783,0.96203572,-0.19094287,1.35633039,-0.02357809,1.57078528,0.96201742,-0.02003011,0.02759155,0.03457643,0.00698622,0.00000000,-0.02011838,0.48750071,0.36544272,0.53946988,-3.14156602,0.00005751,1.57081097
2.120249,0.96124709,-0.18984613,1.35768390,-0.02331032,1.57078528,0.96123242,-0.01916930,0.02634095,0.03151888,0.00646367,0.00000000,-0.01894818,0.48749253,0.36453754,0.53947856,-3.14157641,0.00004241,1.57081097
2.161637,0.96044749,-0.18876040,1.35894203,-0.02304255,1.57078528,0.96044749,-0.02034034,0.02747443,0.03388021,0.00682410,0.00000000,-0.01998735,0.48749700,0.36373750,0.53952406,3.14155404,-0.00003574,1.57079619
2.203513,0.95955247,-0.18755728,1.36050832,-0.02274177,1.57078528,0.95956719,-0.02044025,0.02711872,0.03467263,0.00681282,0.00000000,-0.02008864,0.48749487,0.36293329,0.53949580,3.14158573,0.00000927,1.57078541
2.245052,0.95874184,-0.18649721,1.36183608,-0.02247401,1.57078528,0.95877117,-0.01946678,0.02560252,0.03213493,0.00631228,0.00000000,-0.01920283,0.48750285,0.36203102,0.53948601,3.14158999,0.00001532,1.57076703
2.286609,0.95793486,-0.18542981,1.36317861,-0.02221725,1.57078528,0.95797151,-0.01928787,0.02573160,0.03076234,0.00626743,-0.00000000,-0.01924350,0.48750543,0.36122592,0.53947681,-3.14158493,0.00003035,1.57075958
2.328158,0.95713890,-0.18435876,1.36439264,-0.02195315,1.57078528,0.95717192,-0.02021715,0.02745652,0.03292992,0.00662139,0.00000000,-0.02057001,0.48750969,0.36043583,0.53953267,3.14153060,-0.00006868,1.57076330
2.369705,0.95625490,-0.18314829,1.36591494,-0.02166704,1.57078528,0.95626223,-0.02025291,0.02726865,0.03463804,0.00648616,0.00000000,-0.02073840,0.48749867,0.35953790,0.53952046,3.14154552,-0.00004760,1.57078887
2.411294,0.95545524,-0.18209191,1.36727214,-0.02141395,1.57078528,0.95544791,-0.01914282,0.02536182,0.03206553,0.00595449,0.00000000,-0.01953918,0.48749673,0.35873871,0.53949566,3.14157321,-0.00000860,1.57080365
2.452865,0.95466298,-0.18103920,1.36858153,-0.02117186,1.57078528,0.95463735,-0.02059733,0.02724060,0.03250133,0.00624528,0.00000000,-0.02054938,0.48749388,0.35794718,0.53949024,3.14158147,0.00000333,1.57082176
2.494146,0.95374960,-0.17983608,1.36996436,-0.02089676,1.57078528,0.95374596,-0.02103044,0.02724317,0.03247579,0.00625603,0.00000000,-0.02058682,0.48749841,0.35704760,0.53953861,3.14152634,-0.00007446,1.57079992
2.535552,0.95292431,-0.17878702,1.37126660,-0.02065467,1.57078528,0.95293534,-0.01981312,0.02562121,0.03244947,0.00571799,-0.00004321,-0.01959217,0.48750635,0.35624195,0.53953345,3.14153273,-0.00006536,1.57078541
2.576896,0.95211005,-0.17771596,1.37264943,-0.02042358,1.57078171,0.95212471,-0.02082766,0.02724130,0.03414543,0.00592567,-0.00004330,-0.02087154,0.48749966,0.35542761,0.53949980,3.14157641,0.00000248,1.57078181
2.618473,0.95119673,-0.17652752,1.37409830,-0.02016315,1.57078171,0.95120406,-0.02077772,0.02686558,0.03242424,0.00595536,0.00000000,-0.02104220,0.48749800,0.35462321,0.53949685,3.14158813,0.00001237,1.57078541
2.660044,0.95038241,-0.17548212,1.37534547,-0.01992840,1.57078171,0.95037508,-0.01946269,0.02542100,0.03049654,0.00564906,0.00000000,-0.01990456,0.48750330,0.35373160,0.53952107,3.14155723,-0.00002432,1.57080365
2.701586,0.94957912,-0.17441472,1.37663293,-0.01969364,1.57078171,0.94954973,-0.01936418,0.02524210,0.03152140,0.00565881,0.00004315,-0.01980578,0.48749547,0.35293216,0.53953057,3.14154871,-0.00003624,1.57082575
2.743014,0.94877577,-0.17338768,1.37796068,-0.01945889,1.57078528,0.94873178,-0.02080632,0.02654906,0.03388484,0.00587600,0.00004317,-0.02085121,0.48749291,0.35214225,0.53949688,3.14158999,0.00001531,1.57084027
2.784599,0.94785148,-0.17221025,1.37944639,-0.01920579,1.57078528,0.94781846,-0.02110005,0.02675065,0.03284103,0.00582706,-0.00004306,-0.02079075,0.48749131,0.35123649,0.53947353,-3.14156283,0.00006013,1.57082922
2.826098,0.94702250,-0.17116486,1.38068974,-0.01897471,1.57078171,0.94700420,-0.02000525,0.02521565,0.03033665,0.00547600,-0.00000013,-0.01978329,0.48749665,0.35043464,0.53948992,-3.14158520,0.00003531,1.57081470
2.867660,0.94618982,-0.17011581,1.38196623,-0.01875096,1.57078528,0.94617522,-0.02132792,0.02680280,0.03267496,0.00574029,0.00004292,-0.02101914,0.48749849,0.34962725,0.53949085,-3.14158014,0.00003621,1.57081097
2.909173,0.94525081,-0.16893837,1.38340402,-0.01849787,1.57078528,0.94525814,-0.02106398,0.02676050,0.03254511,0.00582893,-0.00004293,-0.02102050,0.48750101,0.34871858,0.53948904,-3.14157588,0.00004207,1.57078887
2.950729,0.94444019,-0.16789298,1.38466954,-0.01826678,1.57078171,0.94442916,-0.01963940,0.02497979,0.03062987,0.00551677,0.00000000,-0.01985959,0.48749538,0.34792442,0.53949300,-3.14158493,0.00003528,1.57080738
2.992285,0.94361854,-0.16686225,1.38594973,-0.01803936,1.57078528,0.94360757,-0.02092538,0.02616817,0.03216066,0.00577105,0.00004302,-0.02114436,0.48749414,0.34712848,0.53948055,-3.14156922,0.00005103,1.57080725
3.033977,0.94269788,-0.16571416,1.38734722,-0.01778627,1.57078528,0.94266856,-0.02100417,0.02633262,0.03223471,0.00568011,0.00000000,-0.02118031,0.48749729,0.34633956,0.53947542,-3.14156735,0.00005393,1.57082203
3.075575,0.94186890,-0.16466878,1.38863480,-0.01756619,1.57078528,0.94184321,-0.02008768,0.02511942,0.02966299,0.00543046,-0.00004308,-0.01977790,0.48749063,0.34543634,0.53947025,-3.14155857,0.00006589,1.57082203
3.117064,0.94102889,-0.16362706,1.38981211,-0.01733510,1.57078171,0.94102526,-0.02161252,0.02665084,0.03146799,0.00587825,-0.00000003,-0.02112558,0.48749673,0.34463653,0.53951303,3.14156789,-0.00000922,1.57079992
3.158566,0.94007522,-0.16245696,1.39124644,-0.01707834,1.57078528,0.94008994,-0.02155237,0.02636678,0.03241729,0.00578564,0.00004304,-0.02146376,0.48749868,0.34382984,0.53951201,3.14156363,-0.00001509,1.57078914
3.200124,0.93923891,-0.16143724,1.39250445,-0.01685459,1.57078528,0.93924260,-0.02003132,0.02431080,0.03035469,0.00533869,0.00000000,-0.02038396,0.48750067,0.34292713,0.53949462,3.14158360,0.00000649,1.57079260
3.241701,0.93840992,-0.16043589,1.39376998,-0.01663451,1.57078528,0.93839532,-0.02002500,0.02452448,0.02946485,0.00516079,0.00000000,-0.02037832,0.48750263,0.34213783,0.53946873,-3.14157534,0.00004205,1.57081097
3.283282,0.93757367,-0.15939783,1.39495468,-0.01642543,1.57078528,0.93754798,-0.02135031,0.02633513,0.03025966,0.00551416,0.00000000,-0.02152743,0.48750184,0.34133942,0.53950116,3.14157321,-0.00000829,1.57082203
3.324854,0.93663460,-0.15824607,1.39628613,-0.01617600,1.57078528,0.93660527,-0.02136966,0.02640358,0.03174926,0.00547455,-0.00004306,-0.02132572,0.48750365,0.34044842,0.53953031,3.14153140,-0.00006444,1.57082549
3.366350,0.93579835,-0.15720434,1.39759207,-0.01597059,1.57078171,0.93577629,-0.02032826,0.02483609,0.03097937,0.00499360,-0.00000002,-0.02006323,0.48749288,0.33963921,0.53950420,3.14156363,-0.00001493,1.57081830
3.407856,0.93494731,-0.15618463,1.39885747,-0.01576152,1.57078528,0.93493998,-0.02182187,0.02575306,0.03101121,0.00525658,0.00004302,-0.02151246,0.48749294,0.33883356,0.53948538,3.14158839,0.00001243,1.57080365
3.449385,0.93398631,-0.15506588,1.40016711,-0.01553410,1.57078528,0.93398994,-0.02187525,0.02581888,0.02993693,0.00527028,0.00000000,-0.02160967,0.48750579,0.33794233,0.53950229,3.14156629,-0.00001694,1.57079260
