frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,risk_state_current,risk_state_predicted,max_track_speed_m_s,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.092883,1786330592.989607,0,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,92.9732,0.86983252,-0.42900524,1.02395570,-0.11782806,1.57078171,0.86984348,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.187836,1786330593.082622,0,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,94.9000,0.86983252,-0.42900524,1.02395570,-0.11782806,1.57078171,0.86984348,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,0.281265,1786330593.177556,2391,50000,1,0,0,0.377442,upperArm_Link,0,0.588904,-0.537829,0.391489,,,,SAFE,SAFE,,148.9732,0.86983252,-0.42900524,1.02395570,-0.11782806,1.57078171,0.86984348,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3,0.417051,1786330593.326542,2379,50000,1,0,0,0.364142,upperArm_Link,0,0.588495,-0.541464,0.388255,,,,SAFE,SAFE,,131.9283,0.86983252,-0.42900524,1.02395570,-0.11782806,1.57078171,0.86984348,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4,0.547185,1786330593.458485,2319,50000,1,1,1,0.405701,upperArm_Link,0,0.587118,-0.542521,0.393403,0.339375,upperArm_Link,0.000,SAFE,SAFE,0.000000,129.2079,0.86983252,-0.42900524,1.02395570,-0.11782806,1.57078171,0.86984348,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5,0.680479,1786330593.587710,2425,50000,1,1,1,0.383654,upperArm_Link,0,0.590319,-0.539713,0.396521,0.332856,upperArm_Link,0.000,SAFE,SAFE,0.000000,134.1626,0.86983252,-0.42900524,1.02395570,-0.11782806,1.57078171,0.86984348,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
6,0.809485,1786330593.721889,2351,50000,1,1,1,0.379909,upperArm_Link,0,0.589672,-0.542846,0.392446,0.304414,upperArm_Link,0.000,SAFE,SAFE,0.011882,130.3465,0.86983252,-0.42900524,1.02395570,-0.11782806,1.57078171,0.86984348,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
7,0.942372,1786330593.852252,2380,50000,1,1,1,0.371267,upperArm_Link,0,0.587481,-0.538726,0.396897,0.314824,upperArm_Link,0.000,SAFE,SAFE,0.000000,125.6223,0.86983252,-0.42900524,1.02395201,-0.11782806,1.57078171,0.86984348,0.00000000,0.00000000,-0.00002781,0.00000000,0.00000000,0.00000000
8,1.073820,1786330593.977890,2443,50000,1,1,1,0.384836,upperArm_Link,0,0.588731,-0.542491,0.390442,0.324392,upperArm_Link,0.000,SAFE,SAFE,0.000000,137.0262,0.86983252,-0.42900524,1.02395570,-0.11782806,1.57078171,0.86984348,0.00000000,0.00000000,0.00002811,0.00000000,0.00000000,0.00000000
9,1.211100,1786330594.114933,2342,50000,1,1,1,0.410133,upperArm_Link,0,0.589192,-0.543043,0.391475,0.339313,upperArm_Link,0.000,SAFE,SAFE,0.011354,132.8820,0.86983252,-0.42900524,1.02395570,-0.11782806,1.57078171,0.86984348,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
