frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
12,1.618139,1786367576.169743,2697,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,116.3739,0.00000000,-0.20219637,1.34001863,-0.02490591,1.57079637,0.00000000,0.00000000,-0.10407192,-0.10381498,-0.01836941,0.00003346,0.00000000
13,1.735887,1786367576.286147,2620,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,130.3455,0.00000000,-0.20827429,1.33394432,-0.02697468,1.57079637,0.00000000,0.00000000,-0.05161813,-0.05158750,-0.01756951,0.00000000,0.00000000
14,1.869643,1786367576.416520,2532,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,132.9382,0.00000000,-0.21014500,1.33216536,-0.02851892,1.57079637,0.00000000,0.00000000,-0.01398592,-0.01330000,-0.01154517,0.00000000,0.00000000
15,1.999533,1786367576.549482,2622,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,132.9425,0.00000000,-0.21020734,1.33207738,-0.02858494,1.57079637,0.00000000,0.00000000,-0.00048000,-0.00067732,-0.00050830,0.00000000,0.00000000
16,2.134111,1786367576.682451,2687,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590976,0.869829,0.000000,0,,,,,,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,120.3759,0.00003668,-0.21029538,1.33197093,-0.02863263,1.57079637,0.00002568,0.00027256,-0.00065416,-0.00079102,-0.00035433,0.00000000,0.00019079
17,2.250581,1786367576.802844,2581,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.589947,0.868123,0.000000,0,,,,,,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,127.8964,0.00178633,-0.21207072,1.33008575,-0.03037127,1.57079256,0.00173131,0.01502230,-0.01524287,-0.01618591,-0.01492780,-0.00003275,0.01464438
18,2.379089,1786367576.930757,2524,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.585681,0.860850,0.000000,0,,,,,,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,118.1900,0.00898300,-0.21862915,1.32303202,-0.03402830,1.57079637,0.00908937,0.05600167,-0.05103516,-0.05488939,-0.02845753,0.00002968,0.05725757
19,2.498279,1786367577.048965,2615,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.577900,0.847894,0.000000,0,,,,,,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,131.1309,0.02193848,-0.22752410,1.31158412,-0.03761563,1.57079637,0.02207419,0.10869655,-0.07462870,-0.09604803,-0.03009774,0.00000000,0.10894274
20,2.631644,1786367577.180124,2557,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.564529,0.826000,0.000000,0,,,,,,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,127.9300,0.04383294,-0.23800001,1.29659283,-0.04175317,1.57079637,0.04405301,0.16416888,-0.07855035,-0.11240754,-0.03102406,0.00000000,0.16480145
21,2.758007,1786367577.308082,2660,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.547584,0.798739,0.000000,0,,,,,,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.7524,0.07109372,-0.24769826,1.28251874,-0.04546154,1.57079637,0.07135048,0.21573432,-0.07674934,-0.11137846,-0.02934708,0.00000000,0.21602462
22,2.896864,1786367577.437851,2495,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.523211,0.760261,0.000000,0,,,,,,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,135.4384,0.10957134,-0.25856662,1.26674974,-0.04966877,1.57079637,0.10999315,0.27710222,-0.07827005,-0.11356280,-0.03029894,0.00000000,0.27829087
23,3.026667,1786367577.573317,2608,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.495305,0.717030,0.000000,0,,,,,,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,130.7004,0.15280271,-0.26863170,1.25214005,-0.05354220,1.57080007,0.15337859,0.33305377,-0.07754121,-0.11255285,-0.02984090,0.00002847,0.33424073
24,3.154412,1786367577.704035,2601,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.463628,0.668784,0.000000,0,,,,,,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,128.8777,0.20104828,-0.27834097,1.23802543,-0.05724325,1.57080007,0.20176354,0.37767035,-0.07600495,-0.11049039,-0.02897206,0.00000000,0.37876135
25,3.293256,1786367577.832941,2362,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.423953,0.609318,0.000000,0,,,,,,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,132.1891,0.26051435,-0.28916532,1.22229338,-0.06152384,1.57080364,0.26130664,0.42829609,-0.07796090,-0.11330791,-0.03083035,0.00002576,0.42885095
26,3.416600,1786367577.965146,2329,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.387118,0.554932,0.000000,0,,,,,,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,127.8713,0.31490022,-0.29889292,1.20817137,-0.06519186,1.57080734,0.31584653,0.44092777,-0.07886548,-0.11449272,-0.02973816,0.00002996,0.44217645
