t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad
2.57521600,0.46113718,-0.15407552,1.40134072,-0.01535803,1.57079637,0.46117380
2.61655900,0.45984599,-0.15384443,1.40163064,-0.01530668,1.57079637,0.45989737
2.65796900,0.45858052,-0.15360968,1.40190196,-0.01525900,1.57079637,0.45861721
2.69938800,0.45715734,-0.15336025,1.40220273,-0.01521131,1.57079637,0.45716834
2.74088700,0.45587718,-0.15312183,1.40248525,-0.01517096,1.57079637,0.45591021
2.78208700,0.45458239,-0.15288709,1.40276766,-0.01512328,1.57079637,0.45464107
2.82344800,0.45329124,-0.15265599,1.40305376,-0.01507926,1.57079637,0.45334625
2.86789100,0.45186070,-0.15240657,1.40337658,-0.01503158,1.57079637,0.45186436
2.90938300,0.45042282,-0.15215346,1.40368092,-0.01498389,1.57079637,0.45041916
2.95084700,0.44912434,-0.15194073,1.40392673,-0.01494355,1.57079637,0.44915006
2.99209100,0.44782221,-0.15173166,1.40417242,-0.01490320,1.57079637,0.44785154
3.03329700,0.44653842,-0.15153357,1.40441096,-0.01485918,1.57079637,0.44654939
3.07533400,0.44510055,-0.15129882,1.40466762,-0.01481516,1.57079637,0.44508585
3.11686000,0.44382039,-0.15108976,1.40488780,-0.01477482,1.57079637,0.44380569
3.15904400,0.44235319,-0.15087700,1.40515184,-0.01473080,1.57079637,0.44236052
3.20060900,0.44105470,-0.15067159,1.40539026,-0.01469045,1.57079637,0.44105837
3.24209400,0.43977088,-0.15047719,1.40563238,-0.01465377,1.57079637,0.43977088
3.28324300,0.43849075,-0.15027544,1.40588915,-0.01461709,1.57079637,0.43847975
3.32440600,0.43702719,-0.15005168,1.40616047,-0.01457308,1.57079637,0.43702719
3.36647000,0.43571773,-0.14984995,1.40639162,-0.01453639,1.57079637,0.43573973
3.40772300,0.43441558,-0.14965922,1.40662646,-0.01449605,1.57079637,0.43445227
3.44881100,0.43297037,-0.14944281,1.40686846,-0.01445570,1.57079637,0.43298501
3.49032300,0.43167555,-0.14926307,1.40708494,-0.01441902,1.57079637,0.43169022
3.53162200,0.43036607,-0.14909066,1.40729034,-0.01438601,1.57079637,0.43040276
3.57291300,0.42904922,-0.14891827,1.40749943,-0.01435299,1.57079637,0.42909694
3.61443000,0.42758569,-0.14873120,1.40773046,-0.01431631,1.57079637,0.42762238
3.65623200,0.42629823,-0.14855880,1.40794683,-0.01427963,1.57079637,0.42630920
3.69781900,0.42500338,-0.14839375,1.40816331,-0.01424662,1.57079637,0.42502910
3.73950800,0.42351785,-0.14819933,1.40841269,-0.01420994,1.57079637,0.42356554
3.78078600,0.42219734,-0.14803427,1.40862179,-0.01418060,1.57079637,0.42226341
3.82241400,0.42090255,-0.14786188,1.40882730,-0.01414758,1.57079637,0.42092457
3.86748700,0.41944635,-0.14767113,1.40903628,-0.01411457,1.57079637,0.41945001
3.90900000,0.41795713,-0.14749141,1.40925276,-0.01408156,1.57079637,0.41799381
3.95053100,0.41662928,-0.14733002,1.40942514,-0.01405222,1.57079637,0.41666964
3.99204000,0.41532347,-0.14716862,1.40960121,-0.01402287,1.57079637,0.41533083
4.03364700,0.41402501,-0.14702557,1.40977359,-0.01399353,1.57079637,0.41400298
4.07519400,0.41255412,-0.14685318,1.40995693,-0.01396418,1.57079637,0.41253576
4.11747500,0.41122264,-0.14669912,1.41012573,-0.01393484,1.57079637,0.41122264
4.15907100,0.40974441,-0.14655238,1.41030908,-0.01390183,1.57079637,0.40974808
4.20046100,0.40843493,-0.14640935,1.41047418,-0.01387615,1.57079637,0.40844226
4.24172900,0.40713644,-0.14627728,1.41063929,-0.01385047,1.57079637,0.40713644
4.28389100,0.40563989,-0.14612690,1.41081536,-0.01382113,1.57079637,0.40565455
4.32541400,0.40431571,-0.14599118,1.41098404,-0.01379912,1.57079637,0.40433773
4.36720100,0.40299156,-0.14587013,1.41114545,-0.01376978,1.57079637,0.40301356
4.40856900,0.40168208,-0.14573810,1.41129947,-0.01374777,1.57079637,0.40168941
4.45009200,0.40019286,-0.14559871,1.41148651,-0.01371842,1.57079637,0.40020752
4.49128100,0.39886138,-0.14547765,1.41163695,-0.01369642,1.57079637,0.39890537
4.53258600,0.39752254,-0.14535661,1.41178739,-0.01367441,1.57079637,0.39758489
4.57405500,0.39604801,-0.14522457,1.41193402,-0.01365240,1.57079637,0.39608836
4.61599300,0.39473850,-0.14510351,1.41207707,-0.01363039,1.57079637,0.39475319
4.65722200,0.39340702,-0.14498615,1.41219449,-0.01360838,1.57079637,0.39345104
4.69840100,0.39206451,-0.14487977,1.41233015,-0.01358637,1.57079637,0.39211956
4.74004000,0.39056796,-0.14474772,1.41247332,-0.01356437,1.57079637,0.39060465
4.78128200,0.38925481,-0.14464135,1.41259432,-0.01354236,1.57079637,0.38924381
4.82245700,0.38792697,-0.14453131,1.41270804,-0.01352035,1.57079637,0.38791963
4.86330600,0.38658080,-0.14443226,1.41282904,-0.01350201,1.57079637,0.38660651
4.90448700,0.38506594,-0.14431857,1.41296101,-0.01348367,1.57079637,0.38510257
4.94591700,0.38374543,-0.14422686,1.41308200,-0.01346533,1.57079637,0.38374910
4.98766900,0.38242859,-0.14413150,1.41319573,-0.01345066,1.57079637,0.38240659
5.02917200,0.38092470,-0.14402880,1.41332054,-0.01342865,1.57079637,0.38092837
5.07093700,0.37957489,-0.14394443,1.41342318,-0.01341398,1.57079637,0.37958953
5.11506900,0.37807468,-0.14384538,1.41354799,-0.01339197,1.57079637,0.37806731
5.15690500,0.37675050,-0.14377570,1.41365063,-0.01337730,1.57079637,0.37673950
5.19837400,0.37541899,-0.14369866,1.41374242,-0.01336263,1.57079637,0.37541899
5.23988300,0.37390411,-0.14360696,1.41384506,-0.01334429,1.57079637,0.37391511
5.28112000,0.37255061,-0.14352994,1.41393685,-0.01333328,1.57079637,0.37257993
5.32278500,0.37121913,-0.14346759,1.41402113,-0.01331861,1.57079637,0.37124479
5.36448400,0.36972255,-0.14338320,1.41411281,-0.01330761,1.57079637,0.36973724
