frame,t_s,track_id,age,center_x,center_y,center_z,instant_speed_m_s,window_speed_m_s,median_speed_m_s,raw_cluster_speed_m_s,cluster_radius_raw_m,tracked_radius_m,risk_radius_m,raw_radius_m,association_error_m,valid_streak,dynamic_state,dynamic_valid,block_reason
61,8.113696,16,8,0.539596,0.703360,0.139303,0.000000,0.049176,0.049176,0.162664,0.082579,0.101050,0.156050,0.082579,0.014167,0,0,0,"speed_ok,valid_streak_not_ready"
62,8.245157,16,9,0.534743,0.703471,0.131279,0.000000,0.039326,0.039326,0.047940,0.084656,0.099801,0.154801,0.084656,0.005720,0,0,0,"speed_ok,valid_streak_not_ready"
63,8.380289,16,10,0.555388,0.715271,0.122605,0.015810,0.039251,0.039251,0.093363,0.089704,0.120377,0.175377,0.089704,0.024159,0,0,0,"speed_ok,valid_streak_not_ready"
64,8.510747,16,11,0.551080,0.718637,0.131658,0.000000,0.046772,0.046772,0.047879,0.086234,0.113668,0.168668,0.086234,0.022150,0,0,0,"speed_ok,valid_streak_not_ready"
65,8.647205,16,12,0.538554,0.702499,0.167102,0.024948,0.052358,0.052358,0.052977,0.092095,0.113258,0.168258,0.092095,0.015599,0,0,0,"speed_ok,valid_streak_not_ready"
68,9.044988,16,13,0.568506,0.707616,0.141458,0.000000,0.044384,0.044384,0.062227,0.099256,0.127234,0.182234,0.099256,0.021523,0,0,0,"speed_ok,valid_streak_not_ready"
69,9.179101,16,14,0.545559,0.714300,0.143279,0.000000,0.028572,0.028572,0.021457,0.094919,0.128682,0.183682,0.094919,0.014950,0,0,0,"speed_ok,valid_streak_not_ready"
70,9.304005,16,15,0.547464,0.711252,0.114100,0.020788,0.024529,0.024529,0.116888,0.097656,0.116350,0.171350,0.097656,0.004893,0,0,0,"speed_ok,valid_streak_not_ready"
71,9.429378,16,16,0.540598,0.714796,0.118757,0.026196,0.063394,0.063394,0.083349,0.096372,0.112860,0.167860,0.096372,0.008287,0,0,0,"speed_ok,valid_streak_not_ready"
72,9.564156,16,17,0.537169,0.713983,0.138866,0.016312,0.061810,0.061810,0.070587,0.089838,0.109310,0.164310,0.089838,0.008078,0,0,0,"speed_ok,valid_streak_not_ready"
73,9.686675,16,18,0.544492,0.706015,0.144686,0.000000,0.016661,0.016661,0.058593,0.089146,0.108841,0.163841,0.089146,0.007968,0,0,0,"speed_ok,valid_streak_not_ready"
74,9.815375,16,19,0.552040,0.708558,0.143400,0.000000,0.058242,0.058242,0.052349,0.089166,0.113381,0.168381,0.089166,0.011770,0,0,0,"speed_ok,valid_streak_not_ready"
75,9.949188,16,20,0.559728,0.713170,0.142989,0.000000,0.060103,0.060103,0.033426,0.093629,0.112128,0.167128,0.093629,0.016892,0,0,0,"speed_ok,valid_streak_not_ready"
76,10.082508,16,21,0.560740,0.709410,0.133933,0.000000,0.047592,0.047592,0.121311,0.090377,0.116679,0.171679,0.090377,0.012929,0,0,0,"speed_ok,valid_streak_not_ready"
77,10.220040,16,22,0.549604,0.714299,0.135403,0.000000,0.025419,0.025419,0.062502,0.099890,0.133531,0.188531,0.099890,0.014783,0,0,0,"speed_ok,valid_streak_not_ready"
78,10.350625,16,23,0.551296,0.708141,0.108333,0.019395,0.065231,0.065231,0.058030,0.096116,0.120468,0.175468,0.096116,0.014737,0,0,0,"speed_ok,valid_streak_not_ready"
88,11.659431,17,1,0.562652,0.668348,0.154804,0.000000,0.000000,0.000000,,0.087588,0.108702,0.163702,0.087588,0.027795,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
90,11.923427,17,2,0.554126,0.683263,0.112049,0.015767,0.175193,0.175193,0.099921,0.070212,0.095152,0.150152,0.070212,0.007017,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
91,12.059318,17,3,0.561855,0.674814,0.112106,0.030945,0.109220,0.109220,0.091481,0.059697,0.084936,0.139936,0.059697,0.018583,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
96,12.724906,18,1,0.570181,0.704915,0.085600,0.000000,0.000000,0.000000,,0.056706,0.089173,0.144173,0.056706,0.011093,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
97,12.861535,18,2,0.564183,0.699463,0.083509,0.000000,0.062503,0.062503,0.054126,0.053579,0.088445,0.143445,0.053579,0.012544,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
98,12.990257,18,3,0.564078,0.703576,0.082415,0.000000,0.026156,0.026156,0.063447,0.066993,0.083111,0.138111,0.066993,0.010859,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
99,13.113540,18,4,0.568263,0.701633,0.082231,0.000000,0.013090,0.013090,0.051134,0.071698,0.082305,0.137305,0.071698,0.010115,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
100,13.250560,18,5,0.549317,0.702400,0.074909,0.013662,0.045293,0.045293,0.166430,0.062403,0.088253,0.143253,0.062403,0.017308,0,0,0,"speed_ok,valid_streak_not_ready"
101,13.387265,18,6,0.525275,0.710802,0.087949,0.033799,0.078388,0.078388,0.081601,0.058703,0.082356,0.137356,0.058703,0.020176,0,0,0,"speed_ok,valid_streak_not_ready"
102,13.514706,18,7,0.543404,0.710219,0.091455,0.000000,0.045410,0.045410,0.084693,0.069533,0.079808,0.134808,0.069533,0.007236,0,0,0,"speed_ok,valid_streak_not_ready"
103,13.644943,18,8,0.537391,0.703041,0.094883,0.010112,0.062737,0.062737,0.057433,0.072526,0.080091,0.135091,0.072526,0.014052,0,0,0,"speed_ok,valid_streak_not_ready"
104,13.774347,18,9,0.570202,0.693659,0.094391,0.017557,0.056262,0.056262,0.136425,0.073617,0.100216,0.155216,0.073617,0.016936,0,0,0,"speed_ok,valid_streak_not_ready"
111,14.708276,19,1,0.559314,0.713460,0.073136,0.000000,0.000000,0.000000,,0.057654,0.071352,0.126352,0.057654,0.014357,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
113,14.957676,19,2,0.560957,0.711335,0.079040,0.000000,0.025627,0.025627,0.015230,0.066220,0.075305,0.130305,0.066220,0.006178,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
