frame,t_s,cluster_index,dynamic_prefilter_ok,point_count,center_x,center_y,center_z,raw_radius_m,bbox_dx_m,bbox_dy_m,bbox_dz_m,raw_centroid_speed_m_s
5,0.738194,0,1,40,0.673924,0.404554,0.213933,0.066099,0.083161,0.129149,0.113132,
6,0.860327,0,0,305,-0.578883,-0.686701,0.297400,0.167050,0.257126,0.230201,0.347288,
7,0.993308,0,0,371,-0.636160,-0.547706,0.293036,0.244346,0.325982,0.275014,0.480558,
8,1.135125,0,0,399,-0.695079,-0.409875,0.267357,0.222796,0.342347,0.279197,0.466527,
8,1.135125,1,1,49,0.675672,0.398741,0.212529,0.068911,0.102783,0.149579,0.073146,
9,1.257755,0,1,51,-0.715198,-0.248590,0.565171,0.068926,0.138172,0.098243,0.107540,
9,1.257755,1,1,43,0.669353,0.396491,0.212264,0.070410,0.103437,0.141102,0.121297,0.050593
10,1.388177,0,0,105,-0.698120,-0.094858,0.608804,0.106287,0.195114,0.147857,0.184084,
11,1.520826,0,1,56,-0.714963,0.007940,0.615284,0.083932,0.170117,0.046070,0.131538,0.791801
11,1.520826,1,1,45,0.674718,0.392891,0.214826,0.070111,0.101343,0.150097,0.075894,
13,1.786911,0,1,48,-0.593604,0.283466,0.675056,0.064527,0.082101,0.080144,0.133256,
14,1.916402,0,1,52,-0.528786,0.356115,0.673584,0.077247,0.112564,0.084704,0.177443,0.735300
14,1.916402,1,1,55,0.674913,0.398137,0.212529,0.076404,0.116153,0.151195,0.076424,
14,1.916402,2,1,37,-0.467771,0.438484,0.249595,0.075962,0.120843,0.052183,0.147080,
15,2.058247,0,0,53,-0.448240,0.623741,0.004830,0.125954,0.229219,0.083973,0.181497,
15,2.058247,1,1,54,-0.368672,0.491380,0.344993,0.091547,0.104919,0.056210,0.184876,
16,2.186670,0,1,46,0.687356,0.385865,0.223802,0.070874,0.132968,0.144948,0.080086,
17,2.314354,0,0,69,-0.133820,0.610325,0.321101,0.113351,0.174599,0.067438,0.216728,
18,2.448419,0,0,276,-0.051224,0.623542,0.481486,0.270562,0.255879,0.134570,0.586251,
18,2.448419,1,1,85,-0.047234,0.656843,0.093572,0.089209,0.188409,0.111567,0.138336,
19,2.579829,0,1,70,0.126188,0.669067,0.346767,0.085464,0.122684,0.079253,0.194892,
20,2.713653,0,1,61,0.285254,0.676644,0.316111,0.086016,0.150173,0.052360,0.184902,
21,2.845606,0,0,122,0.626884,-0.618733,0.344347,0.133239,0.199118,0.061846,0.254781,
22,2.975263,0,1,120,0.517474,0.645773,0.331935,0.099191,0.183695,0.179835,0.166641,
22,2.975263,1,1,47,0.679407,0.385740,0.220157,0.062165,0.114764,0.128981,0.079175,
22,2.975263,2,1,64,0.427525,0.686131,0.148806,0.079276,0.156617,0.107881,0.134231,
23,3.110501,0,0,149,0.533770,0.635902,0.393929,0.164415,0.231373,0.221930,0.330633,0.475055
23,3.110501,1,1,42,0.755127,0.475912,0.322172,0.056557,0.084962,0.071171,0.089361,
24,3.241663,0,1,33,0.610515,0.565042,0.364999,0.068187,0.106118,0.107542,0.085557,0.818963
25,3.387198,0,0,116,0.665822,0.532850,0.366104,0.156546,0.273763,0.208871,0.211662,0.489037
26,3.507026,0,0,90,0.685686,0.516533,0.357245,0.128025,0.222679,0.170205,0.193738,0.204895
27,3.624324,0,0,124,0.703913,0.507245,0.349148,0.134908,0.241838,0.156364,0.207011,0.183324
28,3.757367,0,0,87,0.716958,0.510488,0.349358,0.117272,0.190113,0.143236,0.167823,0.103800
28,3.757367,1,0,130,0.645442,-0.588889,0.361991,0.133126,0.153235,0.120329,0.267052,
31,4.140354,0,0,174,0.654666,-0.568876,0.372665,0.138190,0.137636,0.165194,0.262232,
32,4.275071,0,0,208,0.654227,-0.557187,0.380717,0.136351,0.116909,0.194817,0.257144,0.107342
33,4.406134,0,0,225,0.653590,-0.558798,0.378864,0.140987,0.116670,0.213462,0.259193,0.018964
34,4.533817,0,0,231,0.657455,-0.556289,0.372036,0.143561,0.127508,0.211971,0.267498,0.063292
35,4.672815,0,0,227,0.658970,-0.553503,0.371185,0.142755,0.154041,0.214817,0.259711,0.025164
36,4.797508,0,0,255,0.656292,-0.552609,0.386221,0.137074,0.126921,0.222932,0.261883,0.117228
