frame,t_s,cluster_index,dynamic_prefilter_ok,point_count,center_x,center_y,center_z,raw_radius_m,bbox_dx_m,bbox_dy_m,bbox_dz_m,raw_centroid_speed_m_s
1,0.196153,0,0,330,0.501152,-0.620634,0.384507,0.146006,0.202471,0.228237,0.263080,
2,0.329746,0,0,311,0.504609,-0.616171,0.388975,0.138619,0.119300,0.228572,0.262102,0.049127
3,0.454366,0,0,306,0.501931,-0.617363,0.383496,0.139781,0.163567,0.230304,0.288817,0.051462
4,0.580083,0,0,337,0.504896,-0.611048,0.385839,0.141203,0.149175,0.239712,0.260924,0.056921
5,0.715000,0,0,342,0.500550,-0.618111,0.385135,0.137870,0.137803,0.216267,0.242581,0.063510
6,0.845001,0,0,353,0.506856,-0.620029,0.376531,0.142907,0.179218,0.240338,0.272410,0.079835
7,0.975203,0,0,343,0.506072,-0.618677,0.377639,0.140304,0.183373,0.237536,0.266355,0.014763
8,1.110482,0,0,301,-0.678149,-0.551107,0.310436,0.190654,0.302950,0.226006,0.347574,
8,1.110482,1,0,307,0.504573,-0.620444,0.380988,0.140635,0.165722,0.234014,0.255957,0.031229
9,1.243541,0,0,316,0.507740,-0.616753,0.384007,0.140148,0.137638,0.278589,0.259548,0.042426
9,1.243541,1,0,312,-0.709737,-0.393582,0.315700,0.214986,0.336820,0.248335,0.452254,
10,1.373249,0,0,157,-0.638673,-0.172259,0.617710,0.125005,0.235544,0.208215,0.193611,
10,1.373249,1,0,321,0.507279,-0.613502,0.388318,0.138755,0.133280,0.224770,0.302681,0.041066
11,1.506221,0,0,319,0.503691,-0.616793,0.379258,0.141541,0.142142,0.223409,0.258636,0.077783
11,1.506221,1,0,74,-0.721093,-0.019824,0.604831,0.112926,0.231484,0.094465,0.182623,
11,1.506221,2,0,55,-0.636261,-0.021808,0.252625,0.103382,0.118380,0.050400,0.211680,
12,1.642473,0,0,328,0.505906,-0.621905,0.384118,0.142655,0.133975,0.255950,0.248641,0.054796
12,1.642473,1,0,74,-0.608867,0.135552,0.658397,0.109765,0.117623,0.106748,0.220793,
13,1.776226,0,1,35,-0.498616,0.289639,0.700455,0.082207,0.103540,0.101993,0.164869,
13,1.776226,1,0,311,0.506288,-0.621286,0.382247,0.141152,0.115027,0.227176,0.251038,0.015205
14,1.917740,0,1,67,-0.346017,0.459301,0.273569,0.086496,0.133945,0.115698,0.172331,
14,1.917740,1,0,329,0.503345,-0.615590,0.376902,0.142121,0.163928,0.237362,0.263510,0.062964
15,2.049583,0,0,147,-0.241242,0.564621,0.292417,0.164627,0.308613,0.145684,0.347366,
15,2.049583,1,0,335,0.504944,-0.617229,0.376908,0.143432,0.153258,0.233115,0.304846,0.016416
16,2.185225,0,0,272,-0.084196,0.642921,0.232461,0.264068,0.341600,0.223290,0.577654,
16,2.185225,1,1,66,0.282996,-0.217484,0.184967,0.094092,0.165782,0.192631,0.047060,
16,2.185225,2,0,313,0.508064,-0.617174,0.384645,0.136439,0.157202,0.235877,0.288173,0.062343
