frame,t_s,cluster_index,dynamic_prefilter_ok,point_count,center_x,center_y,center_z,raw_radius_m,bbox_dx_m,bbox_dy_m,bbox_dz_m,raw_centroid_speed_m_s
1,0.209948,0,0,275,0.506810,-0.658160,0.379494,0.133070,0.157069,0.212679,0.296041,
2,0.388349,0,0,301,0.506772,-0.657069,0.367172,0.137369,0.168957,0.225266,0.262096,0.064162
3,0.524391,0,0,279,0.503849,-0.651685,0.366225,0.136535,0.193486,0.203822,0.264262,0.045687
4,0.660491,0,0,289,0.505497,-0.659229,0.371293,0.138303,0.169024,0.205286,0.265202,0.067656
5,0.788952,0,0,294,0.508687,-0.654575,0.369359,0.136476,0.148378,0.266161,0.267212,0.044750
6,0.923049,0,0,290,0.502730,-0.655970,0.364648,0.142223,0.178592,0.193715,0.264609,0.059270
7,1.050002,0,0,259,0.507548,-0.656633,0.370461,0.134216,0.125677,0.204658,0.261089,0.062695
8,1.171037,0,0,301,0.504112,-0.654662,0.369561,0.140556,0.160606,0.213393,0.305194,0.031478
9,1.302216,0,0,294,0.503379,-0.652036,0.366057,0.139664,0.202428,0.210382,0.296501,0.033762
10,1.432830,0,0,275,0.506403,-0.656782,0.372069,0.137170,0.133458,0.220961,0.258979,0.064426
11,1.565974,0,0,288,0.504512,-0.651626,0.370402,0.136659,0.184675,0.205796,0.297260,0.042217
12,1.679644,0,0,301,0.505041,-0.653999,0.375967,0.133708,0.187036,0.200289,0.258402,0.053433
13,1.809079,0,0,281,0.502165,-0.655811,0.368335,0.139998,0.171823,0.219757,0.307973,0.065253
14,1.932781,0,0,285,0.504455,-0.654480,0.369779,0.136937,0.148664,0.217306,0.266290,0.024177
15,2.066259,0,0,299,0.503944,-0.650849,0.367105,0.139705,0.186844,0.216404,0.270031,0.034694
16,2.199872,0,0,310,0.508416,-0.649405,0.367839,0.140698,0.151579,0.223444,0.299183,0.035334
17,2.338138,0,0,270,0.505608,-0.655454,0.375102,0.134793,0.135215,0.214672,0.310766,0.071127
18,2.473522,0,0,293,0.506725,-0.647799,0.374262,0.135004,0.134963,0.201404,0.312552,0.058110
19,2.603119,0,0,296,0.504923,-0.648431,0.371013,0.138969,0.143993,0.221222,0.288973,0.028491
20,2.741043,0,0,299,0.506482,-0.657874,0.371246,0.141118,0.117096,0.257669,0.318099,0.071735
21,2.868574,0,0,300,0.509149,-0.644980,0.373426,0.138448,0.123071,0.232492,0.261248,0.100947
22,3.001306,0,0,310,0.508818,-0.640181,0.376111,0.135675,0.124636,0.226702,0.295765,0.041831
23,3.134408,0,0,308,0.507554,-0.633803,0.375878,0.138062,0.149408,0.227331,0.300248,0.048997
24,3.265528,0,0,330,0.503457,-0.626635,0.373984,0.147885,0.168017,0.236984,0.325211,0.063852
25,3.401134,0,0,300,0.507799,-0.623145,0.381394,0.140894,0.133264,0.234597,0.311361,0.068739
26,3.536018,0,0,329,0.502979,-0.609834,0.377643,0.150819,0.190470,0.245680,0.312071,0.107786
27,3.669149,0,0,309,0.506104,-0.602175,0.388071,0.147155,0.154077,0.253168,0.258927,0.101271
28,3.792349,0,0,321,0.505649,-0.592637,0.383895,0.147047,0.182215,0.271592,0.295026,0.082712
29,3.935940,0,0,313,0.509780,-0.577079,0.387012,0.139327,0.138738,0.211069,0.252208,0.125096
30,4.059865,0,0,320,0.504848,-0.566559,0.387780,0.146971,0.191086,0.217883,0.246832,0.085932
31,4.178186,0,0,318,0.504419,-0.567321,0.387224,0.141429,0.142907,0.237279,0.253633,0.008634
32,4.311252,0,0,321,0.509375,-0.554926,0.377492,0.145178,0.168834,0.235101,0.262304,0.127135
