frame,t_s,cluster_index,dynamic_prefilter_ok,point_count,center_x,center_y,center_z,raw_radius_m,bbox_dx_m,bbox_dy_m,bbox_dz_m,raw_centroid_speed_m_s
1,0.232644,0,0,364,0.455060,-0.637366,0.377389,0.152490,0.197197,0.223505,0.331931,
2,0.376346,0,0,334,0.463457,-0.628563,0.381265,0.140117,0.151751,0.221224,0.308236,0.083999
3,0.514746,0,0,326,0.456162,-0.627268,0.376215,0.143549,0.175645,0.214521,0.303663,0.063548
3,0.514746,1,1,39,0.719207,0.405360,0.301650,0.079449,0.102962,0.147320,0.092100,
4,0.657361,0,0,339,0.459640,-0.629375,0.373776,0.139809,0.161744,0.229208,0.308188,0.034264
5,0.794115,0,0,334,0.460657,-0.627410,0.371268,0.140647,0.138619,0.222366,0.277112,0.023654
6,0.928995,0,0,416,-0.630098,-0.621588,0.315761,0.195754,0.291406,0.241553,0.460622,
6,0.928995,1,0,325,0.459942,-0.624682,0.377012,0.143807,0.159018,0.234557,0.313092,0.049890
7,1.071167,0,0,531,-0.670543,-0.547496,0.320835,0.205055,0.311514,0.359162,0.435802,0.574914
7,1.071167,1,0,327,0.459649,-0.630105,0.374653,0.137932,0.157665,0.229915,0.296226,0.040255
8,1.213935,0,0,713,-0.706266,-0.438547,0.331365,0.281101,0.381286,0.373605,0.654192,0.823583
8,1.213935,1,0,365,0.454631,-0.615227,0.361770,0.152043,0.217996,0.367024,0.279164,0.145277
9,1.354094,0,0,331,0.461836,-0.633968,0.360752,0.153947,0.187049,0.253258,0.340942,0.142008
9,1.354094,1,0,147,-0.776095,-0.341150,0.279407,0.129931,0.223690,0.132048,0.308760,
9,1.354094,2,1,51,-0.650734,-0.258293,0.559106,0.085647,0.196260,0.109461,0.031022,
10,1.494040,0,0,334,0.461256,-0.625071,0.372844,0.143124,0.145225,0.228245,0.278248,0.105943
10,1.494040,1,1,128,-0.713964,-0.089494,0.597300,0.095988,0.188720,0.169108,0.165557,
11,1.627689,0,0,112,-0.712894,0.021030,0.602766,0.116185,0.197540,0.205213,0.166341,0.842410
11,1.627689,1,1,70,-0.695239,0.017349,0.199983,0.092402,0.141654,0.154570,0.158588,
11,1.627689,2,0,338,0.456896,-0.627122,0.373616,0.140906,0.175733,0.223684,0.274252,0.037151
12,1.775627,0,0,333,0.454236,-0.625597,0.380775,0.138285,0.188279,0.220240,0.302194,0.055221
12,1.775627,1,0,101,-0.676736,0.150088,0.588886,0.111223,0.120953,0.180006,0.228084,
13,1.913672,0,0,311,0.457292,-0.630232,0.374099,0.143438,0.161920,0.223026,0.259852,0.058696
13,1.913672,1,0,96,-0.634236,0.295175,0.558506,0.117679,0.159667,0.116265,0.257154,
14,2.045928,0,0,195,-0.577808,0.432357,0.565185,0.145191,0.186245,0.189824,0.322415,
14,2.045928,1,0,341,0.461978,-0.642584,0.361773,0.153581,0.206020,0.264658,0.358034,0.135836
15,2.180297,0,0,212,-0.489923,0.504926,0.560836,0.189671,0.276221,0.156960,0.365399,0.852649
15,2.180297,1,0,316,0.460802,-0.629114,0.379438,0.135076,0.155936,0.211536,0.303880,0.166301
16,2.314052,0,0,319,0.461830,-0.624093,0.365274,0.140558,0.186882,0.231353,0.264038,0.111840
16,2.314052,1,0,301,-0.376868,0.573216,0.498467,0.219996,0.343027,0.168783,0.530660,
17,2.448564,0,0,336,0.460544,-0.627899,0.365920,0.144389,0.190136,0.239880,0.268704,0.030269
17,2.448564,1,0,283,-0.303167,0.610581,0.467364,0.218115,0.392601,0.121584,0.489863,0.656890
18,2.584608,0,0,229,-0.024567,0.768121,0.017685,0.188731,0.275486,0.345975,0.317539,
18,2.584608,1,0,353,-0.223936,0.650288,0.484687,0.233481,0.387007,0.151701,0.505061,0.676063
18,2.584608,2,0,342,0.464578,-0.624037,0.370920,0.140844,0.178940,0.230300,0.307043,0.056120
19,2.717387,0,0,591,-0.040989,0.719750,0.299692,0.322717,0.382306,0.235622,0.764639,
19,2.717387,1,0,339,0.461015,-0.628138,0.381415,0.141297,0.151583,0.219206,0.265284,0.089002
20,2.854659,0,0,568,0.104786,0.770616,0.210450,0.406197,0.479693,0.272934,0.834000,
20,2.854659,1,0,367,0.456090,-0.622377,0.371686,0.144907,0.219156,0.229093,0.265687,0.088837
21,2.993762,0,0,591,0.165748,0.799354,0.208236,0.364498,0.416233,0.202753,0.814342,0.492503
21,2.993762,1,0,340,0.460986,-0.623081,0.374224,0.143856,0.182199,0.224710,0.317685,0.040605
22,3.124441,0,0,368,0.470180,-0.635279,0.359993,0.182081,0.241854,0.304669,0.367887,0.153022
22,3.124441,1,0,499,0.168830,0.825097,0.240003,0.316512,0.377006,0.200548,0.722332,0.300551
23,3.251681,0,0,351,0.468717,-0.637999,0.358632,0.156307,0.222206,0.270574,0.363721,0.026298
23,3.251681,1,0,553,0.158309,0.862057,0.170226,0.336831,0.418248,0.205060,0.773034,0.620735
23,3.251681,2,1,49,0.672925,0.551935,0.309991,0.066886,0.080934,0.136117,0.081142,
24,3.381665,0,0,349,0.455288,-0.623354,0.364998,0.146204,0.225052,0.270026,0.312217,0.163195
24,3.381665,1,0,438,0.168590,0.880904,0.179714,0.312286,0.308112,0.183566,0.691748,0.183592
25,3.516295,0,0,354,0.189121,0.870513,0.265473,0.198843,0.325378,0.091631,0.504687,0.662939
25,3.516295,1,0,319,0.460740,-0.628016,0.378373,0.135510,0.150794,0.216990,0.259297,0.113320
25,3.516295,2,1,37,0.642004,0.566743,0.318248,0.060793,0.074783,0.127156,0.105929,
26,3.644145,0,0,338,0.454288,-0.624214,0.372033,0.144069,0.188391,0.239015,0.276157,0.075534
26,3.644145,1,0,315,0.180160,0.864166,0.301049,0.205491,0.302275,0.101964,0.456678,0.286598
27,3.778812,0,1,63,0.558831,0.591300,0.345799,0.090849,0.085466,0.175655,0.141896,
27,3.778812,1,0,311,0.172649,0.858578,0.318022,0.191702,0.363297,0.139820,0.440264,0.144783
27,3.778812,2,0,272,0.459965,-0.603189,0.365930,0.145397,0.180308,0.239395,0.296763,0.168932
28,3.911393,0,0,343,0.173205,0.848616,0.342362,0.198269,0.410241,0.148382,0.447208,0.193707
28,3.911393,1,0,347,0.450381,-0.563791,0.366587,0.144738,0.196108,0.275478,0.271305,0.298623
