axis,offset_m,predicted_clearance_m,predicted_tau_s,predicted_nearest_link,current_clearance_m,reference_clearance_m,candidate_clearance_m,clearance_improvement_m,fast_ms,accepted_steps,max_delta_q_rad,local_repair_ready,formal_scene_feasible,rejection_reasons
x,-0.2,-0.011852749817746921,0.5,upperArm_Link,0.01365554027932453,-0.0290433358358044,-0.027554722104197682,0.0014886137316067194,50.245752005139366,1,0.030876232204584075,False,False,online_clearance_failed;verification_checks_failed:distance_ok;insufficient_clearance_improvement
x,-0.19,-0.0020690444948138487,0.5,upperArm_Link,0.023274603466771515,-0.019359289416451292,-0.018308650374555674,0.001050639041895618,49.963931989623234,1,0.03135188450493623,False,False,online_clearance_failed;verification_checks_failed:distance_ok;insufficient_clearance_improvement
x,-0.18,0.007734365894893541,0.5,upperArm_Link,0.03292508984967035,-0.009644798030109064,-0.00901455049639846,0.0006302475337106039,50.668187002884224,1,0.03183090839730704,False,False,online_clearance_failed;verification_checks_failed:distance_ok;insufficient_clearance_improvement
x,-0.16999999999999998,0.017554928235769235,0.5,upperArm_Link,0.04260332417968071,9.599289598122285e-05,0.00032839264159348347,0.00023239974561226062,49.99035599757917,1,0.032322090294060885,False,False,online_clearance_failed;verification_checks_failed:distance_ok;insufficient_clearance_improvement
x,-0.15999999999999998,0.027390508776813288,0.5,upperArm_Link,0.05230617449656877,0.00985964933072167,0.00985964933072167,0.0,25.47109898296185,0,0.0,False,False,online_clearance_failed;verification_checks_failed:distance_ok;no_accepted_repair_step;insufficient_clearance_improvement;candidate_motion_indistinguishable_from_reference
x,-0.14999999999999997,0.0372393110621862,0.5,upperArm_Link,0.062030956751045585,0.01964330397275113,0.01964330397275113,0.0,24.11765098804608,0,0.0,False,False,online_clearance_failed;verification_checks_failed:distance_ok;no_accepted_repair_step;insufficient_clearance_improvement;candidate_motion_indistinguishable_from_reference
x,-0.13999999999999996,0.04709981227168908,0.5,upperArm_Link,0.07177535855222617,0.029444545132806643,0.029444545132806643,0.0,24.58958199713379,0,0.0,False,False,online_clearance_failed;verification_checks_failed:distance_ok;no_accepted_repair_step;insufficient_clearance_improvement;candidate_motion_indistinguishable_from_reference
x,-0.12999999999999995,0.0569707133600994,0.5,upperArm_Link,0.08153737777541292,0.03926133052092953,0.03926133052092953,0.0,30.875766999088228,0,0.0,False,False,online_clearance_failed;verification_checks_failed:distance_ok;no_accepted_repair_step;insufficient_clearance_improvement;candidate_motion_indistinguishable_from_reference
x,-0.11999999999999994,0.06685089964965435,0.5,upperArm_Link,0.09131527280265678,0.04909191972277119,0.04909191972277119,0.0,29.34398001525551,0,0.0,False,False,online_clearance_failed;verification_checks_failed:distance_ok;no_accepted_repair_step;insufficient_clearance_improvement;candidate_motion_indistinguishable_from_reference
x,-0.10999999999999993,0.07673940942026775,0.5,upperArm_Link,0.10110752193462147,0.0589348208443041,0.065555858334201,0.006621037489896897,54.745372995967045,1,0.02851573973005772,False,False,online_clearance_failed;verification_checks_failed:distance_ok
x,-0.09999999999999992,0.08538852922739754,0.5,left_link,0.1055246638268651,0.061487060902067375,0.07143881760917994,0.009951756707112569,55.36992201814428,1,0.026608398116124754,False,False,online_clearance_failed;verification_checks_failed:distance_ok
x,-0.08999999999999991,0.08215196880922637,0.5,left_link,0.10300713334168554,0.05701886687373145,0.07558482713664968,0.018565960262918235,56.59843300236389,1,0.033766265252696215,False,False,online_clearance_failed;verification_checks_failed:distance_ok
x,-0.0799999999999999,0.07922571502372494,0.5,left_link,0.1007961174033094,0.05285083610349747,0.08502791497914117,0.032177078875643694,57.115559990052134,1,0.033751168502244244,False,False,online_clearance_failed;verification_checks_failed:distance_ok
x,-0.0699999999999999,0.0766192911293827,0.5,left_link,0.09889830781300601,0.04899724346334214,0.08724052470571989,0.03824328124237775,56.716310005867854,1,0.034349879342650436,False,False,online_clearance_failed;verification_checks_failed:distance_ok
x,-0.05999999999999989,0.07434151001281147,0.5,left_link,0.09731960447858462,0.04547210245383901,0.08403417948710859,0.03856207703326958,57.13741498766467,1,0.034734782180262824,False,False,online_clearance_failed;verification_checks_failed:distance_ok
x,-0.04999999999999988,0.0724003400638259,0.5,left_link,0.09606502855575372,0.04228896981728417,0.0811360882727413,0.03884711845545713,57.37324900110252,1,0.03499389826732502,False,False,online_clearance_failed;verification_checks_failed:distance_ok
x,-0.03999999999999987,0.07080277639385474,0.5,left_link,0.09513864558776286,0.03946073454251728,0.0785680623257439,0.03910732778322662,58.25297298724763,1,0.03513149075719557,False,False,online_clearance_failed;verification_checks_failed:distance_ok
x,-0.02999999999999986,0.06955472182214212,0.5,left_link,0.09454350127501271,0.03699939670749017,0.07634756426604397,0.039348167558553804,58.55749498005025,1,0.03520317206244572,False,False,online_clearance_failed;verification_checks_failed:distance_ok
