frame,t_s,timestamp,scene_points,robot_points,cluster_count,raw_point_count,roi_point_count,safety_roi_point_count,rho_retain,table_z_m,table_plane_valid,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,trigger_horizon_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_raw_speed_m_s,predicted_object_filtered_speed_m_s,predicted_object_raw_velocity_x_m_s,predicted_object_raw_velocity_y_m_s,predicted_object_raw_velocity_z_m_s,predicted_object_velocity_ema_alpha,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.100137,1787129409.491557,0,50000,0,0,0,0,0.000000,,0,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.591001,0.994846,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,101.2024,0.00000000,0.00000000,1.57080007,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.218684,1787129409.592797,2567,50000,0,2567,25,1649,0.009739,0.225562,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.590986,0.994832,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.363428,,0,1.000000,SAFE,1,current,50000,204.8316,0.00002934,-0.00000734,1.57080007,-0.00001100,1.57079637,0.00001100,0.00024753,-0.00006188,0.00000000,-0.00009282,0.00000000,0.00009282
2,0.388214,1787129409.797658,2558,50000,0,2558,15,1644,0.005864,0.225299,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.589342,0.991457,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.376541,,0,1.000000,SAFE,1,current,50000,173.2515,0.00338926,-0.00329756,1.56756115,-0.00147088,1.57079637,0.00338559,0.01981900,-0.01940791,-0.01910528,-0.00861131,0.00000000,0.01990555
3,0.557813,1787129409.970931,2632,50000,0,2632,37,1753,0.014058,0.223206,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.582594,0.977885,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.379703,,0,1.000000,SAFE,1,current,50000,179.8190,0.01696096,-0.01420261,1.55565464,-0.00346995,1.57079637,0.01704899,0.08002260,-0.06429924,-0.07020412,-0.01178711,0.00000000,0.08056329
4,0.746680,1787129410.150768,2479,50000,0,2479,13,1652,0.005244,0.225750,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.567366,0.948079,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.397645,,0,1.000000,SAFE,1,current,50000,159.7819,0.04676735,-0.02880502,1.53870475,-0.00552772,1.57079637,0.04694709,0.15781617,-0.07731556,-0.08974474,-0.01089526,0.00000000,0.15830172
5,0.898990,1787129410.310568,2498,50000,0,2498,30,1723,0.012010,0.223962,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.549263,0.913621,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.413716,,0,1.000000,SAFE,1,current,50000,179.0131,0.08122481,-0.04034464,1.52521384,-0.00715999,1.57079637,0.08149991,0.22623342,-0.07576434,-0.08857576,-0.01071683,0.00000000,0.22685951
6,1.081165,1787129410.489613,2483,50000,0,2483,16,1644,0.006444,0.224612,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.519071,0.857827,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.441877,,0,1.000000,SAFE,1,current,50000,176.3702,0.13701919,-0.05456925,1.50864899,-0.00922876,1.57079637,0.13743734,0.30626679,-0.07808182,-0.09092785,-0.01135589,0.00000000,0.30705206
7,1.256751,1787129410.666003,2560,50000,0,2560,27,1718,0.010547,0.223300,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.482182,0.791733,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.471420,,0,1.000000,SAFE,1,current,50000,171.4614,0.20311339,-0.06804925,1.49285817,-0.01113246,1.57079637,0.20372595,0.37642139,-0.07677164,-0.08993228,-0.01084204,0.00000000,0.37752855
8,1.432726,1787129410.837499,2575,50000,0,2575,32,1777,0.012427,0.224034,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.439261,0.716971,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.479039,,0,1.000000,SAFE,1,current,50000,172.1927,0.27787513,-0.08151092,1.47723961,-0.01304351,1.57080007,0.27867109,0.42484382,-0.07649780,-0.08875463,-0.01085977,0.00002100,0.42588603
9,1.603846,1787129411.009720,2464,50000,0,2464,19,1665,0.007711,0.224176,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.395632,0.642873,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.470758,,0,1.000000,SAFE,1,current,50000,166.4429,0.35197297,-0.09458010,1.46189988,-0.01490320,1.57079637,0.35280192,0.43301517,-0.07637403,-0.08964278,-0.01086771,-0.00002160,0.43320797
10,1.769159,1787129411.176183,2425,50000,0,2425,17,1645,0.007010,0.224633,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.352434,0.570870,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.462305,,0,1.000000,SAFE,1,current,50000,187.9168,0.42397633,-0.10726048,1.44716907,-0.01674455,1.57080007,0.42482734,0.43555772,-0.07670528,-0.08910859,-0.01113857,0.00002235,0.43569113
11,1.956166,1787129411.364119,2472,50000,0,2472,51,1705,0.020631,0.222361,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.302028,0.487969,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.471177,,0,1.000000,SAFE,1,current,50000,186.4564,0.50687748,-0.12187023,1.43005037,-0.01878030,1.57079637,0.50771379,0.44330627,-0.07812428,-0.09154063,-0.01088602,-0.00001976,0.44322771
12,2.140565,1787129411.550594,2490,50000,0,2490,11,1752,0.004418,0.222402,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.252632,0.409440,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.475173,,0,1.000000,SAFE,1,current,50000,142.2912,0.58540630,-0.13573171,1.41391480,-0.02072803,1.57079637,0.58627927,0.42586317,-0.07517108,-0.08750350,-0.01056253,0.00000000,0.42606197
13,2.288488,1787129411.692904,2511,50000,0,2511,25,1620,0.009956,0.223086,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.213938,0.343984,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.471320,,0,1.000000,SAFE,1,current,50000,182.6011,0.65086228,-0.14725299,1.40042377,-0.02244100,1.57079637,0.65173155,0.44249983,-0.07788692,-0.09120299,-0.01158014,0.00000000,0.44247485
14,2.463684,1787129411.875523,2610,50000,0,2610,19,1724,0.007280,0.224706,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.167547,0.267634,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.480322,,0,1.000000,SAFE,1,current,50000,175.0193,0.72721225,-0.16071831,1.38477957,-0.02434470,1.57079637,0.72804850,0.43579900,-0.07685885,-0.08929569,-0.01086619,0.00000000,0.43561051
15,2.641548,1787129412.050562,2557,50000,0,2557,9,1705,0.003520,0.225934,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.121478,0.190965,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.470939,,0,1.000000,SAFE,1,current,50000,153.6081,0.80388135,-0.17456879,1.36853766,-0.02625575,1.57079637,0.80453426,0.43105478,-0.07787122,-0.09131648,-0.01074441,0.00000000,0.43002397
16,2.796729,1787129412.204200,2530,50000,0,2530,9,1718,0.003557,0.224076,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.086639,0.132768,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.472781,,0,1.000000,SAFE,1,current,50000,162.3862,0.86207831,-0.18648621,1.35468709,-0.02802740,1.57079637,0.86251843,0.37502420,-0.07679651,-0.08925378,-0.01141665,0.00000000,0.37365298
17,2.955644,1787129412.366604,2666,50000,0,2666,30,1726,0.011253,0.223323,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.056947,0.085117,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.476588,,0,1.000000,SAFE,1,current,50000,181.8872,0.90972966,-0.19841097,1.34077060,-0.02975138,1.57079637,0.91001940,0.29985467,-0.07503868,-0.08757202,-0.01084841,0.00000000,0.29890836
18,3.139400,1787129412.548511,2612,50000,0,2612,15,1716,0.005743,0.224772,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.030836,0.042208,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.479130,,0,1.000000,SAFE,1,current,50000,166.7971,0.95263821,-0.21262825,1.32418752,-0.03168076,1.57079637,0.95277762,0.23350835,-0.07737040,-0.09024516,-0.01049971,0.00000000,0.23269029
19,3.303335,1787129412.715325,2521,50000,0,2521,30,1691,0.011900,0.223611,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.013396,0.016770,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.477087,,0,1.000000,SAFE,1,current,50000,183.8867,0.97807598,-0.22529761,1.30946028,-0.03351844,1.57079637,0.97810900,0.15517050,-0.07728320,-0.08983618,-0.01120987,0.00000000,0.15452149
20,3.488220,1787129412.899230,2559,50000,0,2559,17,1708,0.006643,0.223597,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.002157,0.002612,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.471967,,0,1.000000,SAFE,1,current,50000,169.9617,0.99224561,-0.23664650,1.29724216,-0.03559088,1.57079637,0.99225295,0.07664028,-0.06138352,-0.06608498,-0.01120932,0.00000000,0.07650133
21,3.669780,1787129413.069213,2582,50000,0,2582,24,1636,0.009295,0.224039,1,0,0,,,,,,,,,,1.200,,no_stable_track,REFERENCE_ARMED,1,0,0,0,0.000000,0.400001,0.000043,0.000081,1.040070,26,0.025471,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.399984,0.473148,,0,1.000000,SAFE,1,current,50000,177.1732,0.99478751,-0.23917744,1.29471123,-0.03691137,1.57079637,0.99478751,0.01400028,-0.01393987,-0.01393987,-0.00727301,0.00000000,0.01395990
22,3.839239,1787129413.246404,2646,50000,0,2646,20,1698,0.007559,0.224733,1,0,0,,,,,,,,,,1.200,,no_stable_track,RUNNING,1,5,5,0,0.170685,0.399973,0.000022,0.000033,1.206104,30,0.031420,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.399736,0.472470,,0,1.000000,SAFE,1,current,50000,181.5836,0.99479854,-0.23914443,1.29468930,-0.03695171,1.57079637,0.99481690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
23,4.032630,1787129413.428005,2567,50000,0,2567,25,1700,0.009739,0.224165,1,0,0,,,,,,,,,,1.200,,no_stable_track,RUNNING,1,10,5,0,0.378524,0.398570,0.000067,0.000161,1.413500,35,0.036262,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.397924,0.473931,,0,1.000000,SAFE,1,current,50000,178.7701,0.99365407,-0.23723337,1.29715407,-0.03657024,1.57079637,0.99366516,-0.00591790,0.00988184,0.01274502,0.00197255,0.00000000,-0.00595550
24,4.197346,1787129413.606796,2549,50000,0,2549,33,1706,0.012946,0.223987,1,0,0,,,,,,,,,,1.200,,no_stable_track,RUNNING,1,14,4,0,0.544079,0.396003,0.000099,0.000191,1.579134,39,0.037238,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.395241,0.460202,,0,1.000000,SAFE,1,current,50000,172.0650,0.99131393,-0.23359837,1.30192256,-0.03528276,1.57079637,0.99129927,-0.01420715,0.02206838,0.02894986,0.00781638,0.00000000,-0.01436348
