frame,t_s,timestamp,scene_points,robot_points,cluster_count,raw_point_count,roi_point_count,safety_roi_point_count,rho_retain,table_z_m,table_plane_valid,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,trigger_horizon_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_raw_speed_m_s,predicted_object_filtered_speed_m_s,predicted_object_raw_velocity_x_m_s,predicted_object_raw_velocity_y_m_s,predicted_object_raw_velocity_z_m_s,predicted_object_velocity_ema_alpha,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.091844,1787040831.523609,0,50000,0,0,0,0,0.000000,,0,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.591001,0.994846,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,92.9752,0.00000000,0.00000000,1.57080007,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.194035,1787040831.616619,2648,50000,0,2648,29,1669,0.010952,0.223604,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.591001,0.994846,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.373647,,0,1.000000,SAFE,1,current,50000,208.8250,0.00000000,0.00000734,1.57080007,0.00000000,1.57079637,0.00000000,0.00000000,0.00007179,0.00000000,0.00000000,0.00000000,0.00000000
2,0.383763,1787040831.825462,2655,50000,0,2655,29,1648,0.010923,0.224026,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.589494,0.991802,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.373342,,0,1.000000,SAFE,1,current,50000,154.7234,0.00308114,-0.00308481,1.56777012,-0.00141586,1.57079637,0.00304080,0.01623984,-0.01629784,-0.01596998,-0.00746259,0.00000000,0.01602718
3,0.532477,1787040831.980201,2421,50000,0,2421,20,1573,0.008261,0.226181,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.583996,0.980680,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.375187,,0,1.000000,SAFE,1,current,50000,160.4182,0.01416592,-0.01229890,1.55779672,-0.00319118,1.57079637,0.01428330,0.07453734,-0.06195824,-0.06706414,-0.01193781,0.00000000,0.07559793
4,0.698519,1787040832.140640,2598,50000,0,2598,15,1667,0.005774,0.224845,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.572176,0.957399,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.376969,,0,1.000000,SAFE,1,current,50000,183.6235,0.03744690,-0.02494993,1.54320550,-0.00499952,1.57079637,0.03752026,0.14021170,-0.07619191,-0.08787686,-0.01089087,0.00000000,0.13994657
5,0.885101,1787040832.324281,2622,50000,0,2622,32,1688,0.012204,0.224285,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.551291,0.917436,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.382878,,0,1.000000,SAFE,1,current,50000,173.7645,0.07741006,-0.03916720,1.52656722,-0.00700593,1.57079637,0.07759713,0.21418536,-0.07619848,-0.08917402,-0.01075350,0.00000000,0.21479482
6,1.051692,1787040832.498064,2469,50000,0,2469,42,1693,0.017011,0.223611,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.525431,0.869429,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.405530,,0,1.000000,SAFE,1,current,50000,185.9110,0.12541722,-0.05185491,1.51179969,-0.00883261,1.57079637,0.12575467,0.28817424,-0.07616096,-0.08864556,-0.01096507,0.00000000,0.28907694
7,1.239163,1787040832.684003,2342,50000,0,2342,20,1634,0.008540,0.223389,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.486731,0.799773,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.458227,,0,1.000000,SAFE,1,current,50000,173.2551,0.19507307,-0.06648301,1.49470305,-0.01094173,1.57079637,0.19562694,0.37155441,-0.07802837,-0.09119595,-0.01125033,0.00000000,0.37270885
8,1.415275,1787040832.857276,2456,50000,0,2456,18,1653,0.007329,0.224872,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.444253,0.725554,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.465047,,0,1.000000,SAFE,1,current,50000,175.9720,0.26929194,-0.07994834,1.47901130,-0.01281242,1.57079637,0.26995218,0.42143150,-0.07645919,-0.08910134,-0.01062223,0.00000000,0.42203546
9,1.590265,1787040833.033264,2408,50000,0,2408,12,1603,0.004983,0.224299,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.399457,0.649296,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.463282,,0,1.000000,SAFE,1,current,50000,149.3702,0.34555024,-0.09341000,1.46327543,-0.01474914,1.57079637,0.34628385,0.43578657,-0.07692818,-0.08992435,-0.01106759,0.00000000,0.43620587
