frame,t_s,track_id,age,center_x,center_y,center_z,instant_speed_m_s,window_speed_m_s,median_speed_m_s,raw_cluster_speed_m_s,window_velocity_x_m_s,window_velocity_y_m_s,window_velocity_z_m_s,raw_window_speed_m_s,filtered_speed_m_s,raw_window_velocity_x_m_s,raw_window_velocity_y_m_s,raw_window_velocity_z_m_s,velocity_ema_alpha,cluster_radius_raw_m,tracked_radius_m,risk_radius_m,raw_radius_m,association_error_m,valid_streak,dynamic_state,prediction_ready,dynamic_valid,block_reason
42,7.416702,1,1,0.558681,-0.483632,0.358415,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000,0.099803,0.108689,0.163689,0.099803,0.005735,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
43,7.602713,1,2,0.567398,-0.475990,0.358996,0.000000,0.040959,0.040959,0.054994,0.030759,0.026968,0.002051,0.063013,0.040959,0.047322,0.041489,0.003155,0.650,0.095402,0.117819,0.172819,0.095402,0.009612,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
44,7.791935,1,3,0.561980,-0.461699,0.369152,0.010783,0.054361,0.054361,0.108263,0.016509,0.047946,0.019589,0.066523,0.054361,0.008905,0.059210,0.028986,0.650,0.096930,0.115607,0.170607,0.096930,0.014124,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
45,7.982749,1,4,0.559170,-0.449742,0.366389,0.019676,0.060267,0.060267,0.086373,0.004344,0.057135,0.018680,0.062083,0.060267,0.000872,0.060427,0.014217,0.650,0.105528,0.126907,0.181907,0.105528,0.024695,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
46,8.175990,1,5,0.566980,-0.453524,0.366615,0.000000,0.057084,0.057084,0.026054,0.004371,0.054274,0.017144,0.042766,0.057084,0.010991,0.039877,0.010861,0.250,0.104001,0.125616,0.180616,0.104001,0.014713,0,0,0,0,"speed_ok,valid_streak_not_ready"
47,8.353174,1,6,0.568398,-0.454994,0.368214,0.000000,0.049866,0.049866,0.045179,0.004210,0.047383,0.014960,0.030643,0.049866,0.001335,0.028032,0.012306,0.250,0.106004,0.120685,0.175685,0.106004,0.017770,0,0,0,0,"speed_ok,valid_streak_not_ready"
48,8.531456,1,7,0.558714,-0.456694,0.364001,0.000000,0.037767,0.037767,0.057756,0.003577,0.036221,0.010081,0.010659,0.037767,-0.004411,0.006762,-0.006959,0.250,0.104642,0.118382,0.173382,0.104642,0.023855,0,0,0,0,"speed_ok,valid_streak_not_ready"
49,8.714744,1,8,0.573755,-0.447737,0.370665,0.000000,0.029061,0.029061,0.069558,0.005594,0.027258,0.008379,0.020947,0.029061,0.019928,0.002740,0.005843,0.250,0.108484,0.121078,0.176078,0.108484,0.010542,0,0,0,0,"speed_ok,valid_streak_not_ready"
50,8.871741,1,9,0.565304,-0.445132,0.366319,0.000000,0.025154,0.025154,0.024932,0.004525,0.023854,0.006575,0.012278,0.025154,-0.002403,0.012033,-0.000424,0.250,0.106007,0.119087,0.174087,0.106007,0.020616,0,0,0,0,"speed_ok,valid_streak_not_ready"
51,9.068159,1,10,0.589735,-0.441990,0.375194,0.013465,0.031188,0.031188,0.086042,0.020096,0.022306,0.008443,0.036853,0.031188,0.030309,0.018471,0.009915,0.650,0.112668,0.127296,0.182296,0.112668,0.013552,0,0,0,0,"speed_ok,valid_streak_not_ready"
52,9.239141,1,11,0.569266,-0.425811,0.373484,0.017415,0.040571,0.040571,0.106665,0.020772,0.032822,0.011712,0.047947,0.040571,0.014887,0.043570,0.013378,0.650,0.110195,0.129486,0.184486,0.110195,0.019613,0,0,0,0,"speed_ok,valid_streak_not_ready"
53,9.423012,1,12,0.580109,-0.424336,0.366143,0.021744,0.039353,0.039353,0.071606,0.017960,0.033958,0.008539,0.034990,0.039353,0.009014,0.033195,-0.006415,0.250,0.115292,0.133880,0.188880,0.115292,0.022254,0,0,0,0,"speed_ok,valid_streak_not_ready"
