x_m,y_m,z_m
0.5795955277538485,-0.16691556444907235,0.3883530265708287
0.5699149006233085,-0.04357551514321478,0.40431662584644623
0.5990393324919633,-0.06060993963716085,0.32975474763055157
0.5148270875012105,-0.012798832143877503,0.2962921188821787
0.568451209683086,-0.029858792453080818,0.28063915946016915
0.577827774514714,-0.0660685194000728,0.4200815416216708
0.5786011462098997,-0.1824238764677022,0.2871247945518788
0.575666980836776,-0.045402883576737905,0.3368117562578499
0.5770190260616033,-0.04422595498534213,0.43560530001448794
0.5284949817927287,-0.019531488767245725,0.2876243718985336
0.5982741710804109,-0.06169436916889004,0.2786246332805953
0.4834814205721547,-0.16103841806210456,0.4442198777203217
0.6103892535140936,-0.010561666876290315,0.2880340964337944
0.5846843956069815,-0.03694030982291182,0.294617061530092
0.5752969936552131,-0.075819810641597,0.445866583739808
0.5992941379761362,-0.10033378786405628,0.37975068579931254
0.5357231653015032,-0.1698096674985307,0.4475959752231102
0.5983941942065156,-0.06667513295202936,0.3452469787110004
0.5750980393935777,-0.18563313815936522,0.353779722681369
0.5742836758920088,-0.17421917616554247,0.414686736461536
0.49318734708596856,-0.15803985530721276,0.4478059020804901
0.5983237647367498,-0.08333416749059347,0.2879034415543512
0.5600301938637139,-0.11240786591494142,0.44760950617460266
0.5828911845586223,-0.18562246589706416,0.3438041453712064
0.6018230348409165,-0.07007287203678784,0.40872067785871447
0.5785882533346349,-0.042832794215476894,0.32650762901104435
0.5676221552413859,-0.03542083369305201,0.32087421386997184
0.6018208761947668,-0.15975100951989454,0.31383380955753576
0.49360811171207947,-0.16618022695663245,0.4426760931024393
0.5267377661906887,-0.15860281410879515,0.4454295476952024
0.589348758312701,-0.17348149197008794,0.2956088318135377
0.5080829057254115,-0.03690180471230869,0.45419922928438716
0.5710547690835562,-0.1721715691973006,0.39531071664604517
0.5760611793430532,-0.138118045619676,0.42472797228908754
0.5947891877811676,-0.11130865019912731,0.35864964573071423
0.6011813076033665,-0.054184731449471106,0.4012282487624056
0.5780525934820925,-0.16047344233655125,0.3990011165937464
0.5999041242939682,-0.13582683308809135,0.411768598540288
0.5828220369207021,-0.06334763930584392,0.45020775276520486
0.5995021239623485,-0.16691611876499063,0.303977745742117
0.5719278838157829,-0.09242938081784827,0.4410334904941125
0.5978812132970461,-0.07618110717698558,0.3981155659648785
0.5899300402603754,-0.1332740524179928,0.3387779057251778
0.6057633572413031,-0.12852577010738767,0.31464971671736747
0.6006472700947554,-0.017082633801772665,0.2790564978492928
0.5699445019212646,-0.18657792616195426,0.27606762326346024
0.5876416118864867,-0.13249723355757426,0.35764071052167873
0.5645118731070333,-0.18347407413038663,0.31856490273986593
0.6066489265197341,-0.11179674343686942,0.2758047808663067
0.5942738676965551,-0.1497774067114948,0.29640402146164113
0.552182003902635,-0.027458892892052035,0.3354572603182126
0.5308815592674202,-0.11301460018923838,0.45611930914400883
0.5807891858680896,-0.12332458843716827,0.428508745856346
0.5685074147961036,-0.037202601057795014,0.402458713750495
0.5980367873738104,-0.0749989939174101,0.28989565705174547
0.5849810160749713,-0.06982536609659884,0.4377794416480004
0.6023067564778396,-0.07082898775494292,0.2982334979243289
0.5087211626685774,-0.07104357029777443,0.4520203117291079
0.5662874511301877,-0.13414117371188616,0.4341360772797653
