frame,t_s,timestamp,scene_points,robot_points,cluster_count,raw_point_count,roi_point_count,safety_roi_point_count,rho_retain,table_z_m,table_plane_valid,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_raw_speed_m_s,predicted_object_filtered_speed_m_s,predicted_object_raw_velocity_x_m_s,predicted_object_raw_velocity_y_m_s,predicted_object_raw_velocity_z_m_s,predicted_object_velocity_ema_alpha,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
10,1.733615,1786969075.706331,2523,50000,0,2523,13,1711,0.005153,0.224317,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.361588,0.586034,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.454836,,0,1.000000,SAFE,1,current,50000,168.3903,0.40881273,-0.10457548,1.45027232,-0.01635207,1.57079637,0.40955368,0.44754779,-0.07880190,-0.09147660,-0.01148893,0.00000000,0.44772155
11,1.906260,1786969075.874750,2633,50000,0,2633,37,1697,0.014052,0.223203,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.316615,0.511862,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.465661,,0,1.000000,SAFE,1,current,50000,171.9849,0.48298395,-0.11763366,1.43501329,-0.01821909,1.57079637,0.48371017,0.42961655,-0.07563594,-0.08838376,-0.01081424,0.00000000,0.42953127
12,2.082152,1786969076.046765,2554,50000,0,2554,4,1718,0.001566,0.224211,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.269938,0.435498,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.451898,,0,1.000000,SAFE,1,current,50000,149.1485,0.55934858,-0.13109165,1.41929579,-0.02009346,1.57079637,0.56010056,0.43415676,-0.07651292,-0.08935892,-0.01065633,0.00000000,0.43430315
13,2.227598,1786969076.195936,2598,50000,0,2598,6,1679,0.002309,0.222272,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.229868,0.372231,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.456674,,0,1.000000,SAFE,1,current,50000,152.7291,0.62261480,-0.14225346,1.40628159,-0.02171839,1.57079637,0.62348044,0.43498058,-0.07674187,-0.08947782,-0.01117210,0.00000000,0.43576208
14,2.381136,1786969076.348680,2578,50000,0,2578,5,1659,0.001939,0.225475,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.189952,0.304589,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.450555,,0,1.000000,SAFE,1,current,50000,156.9972,0.69025689,-0.15417087,1.39238715,-0.02343870,1.57079637,0.69098675,0.44055566,-0.07761858,-0.09049504,-0.01120442,0.00000000,0.43967133
15,2.535939,1786969076.505697,2628,50000,0,2628,6,1623,0.002283,0.224222,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.149166,0.237120,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.455433,,0,1.000000,SAFE,1,current,50000,152.5905,0.75772661,-0.16608097,1.37847054,-0.02508931,1.57079637,0.75836116,0.43584337,-0.07693728,-0.08989904,-0.01066269,0.00000000,0.43522769
16,2.691368,1786969076.658315,2707,50000,0,2707,17,1677,0.006280,0.224549,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.110717,0.172940,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.432529,,0,1.000000,SAFE,1,current,50000,172.9133,0.82190603,-0.17800574,1.36453581,-0.02679128,1.57079637,0.82245994,0.41291885,-0.07672185,-0.08965356,-0.01095014,0.00000000,0.41239999
17,2.867371,1786969076.831247,2639,50000,0,2639,7,1667,0.002653,0.223302,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.073786,0.111405,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.470824,,0,1.000000,SAFE,1,current,50000,170.0167,0.88344091,-0.19144906,1.34884393,-0.02876468,1.57079637,0.88379306,0.34962252,-0.07638087,-0.08915648,-0.01121225,0.00000000,0.34847618
18,3.032392,1786969077.001281,2672,50000,0,2672,19,1709,0.007111,0.224054,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.045859,0.065815,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.464944,,0,1.000000,SAFE,1,current,50000,169.9915,0.92903084,-0.20415878,1.33402145,-0.03054367,1.57079637,0.92926925,0.27626835,-0.07701908,-0.08982210,-0.01078044,0.00000000,0.27557919
19,3.203123,1786969077.171289,2586,50000,0,2586,19,1685,0.007347,0.223667,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.023215,0.031508,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.466196,,0,1.000000,SAFE,1,current,50000,156.8445,0.96333790,-0.21723530,1.31875515,-0.03234834,1.57079637,0.96345156,0.20094238,-0.07659140,-0.08941735,-0.01057025,0.00000000,0.20021168
20,3.363878,1786969077.328151,2704,50000,0,2704,16,1725,0.005917,0.223704,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.008637,0.010964,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.468105,,0,1.000000,SAFE,1,current,50000,171.6017,0.98388249,-0.22933978,1.30488634,-0.03415301,1.57079637,0.98393017,0.12780073,-0.07529776,-0.08627303,-0.01122621,0.00000000,0.12739028
21,3.530038,1786969077.499770,2714,50000,0,2714,37,1677,0.013633,0.223146,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.001126,0.001383,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.465781,,0,1.000000,SAFE,1,current,50000,161.9994,0.99347073,-0.23783126,1.29595101,-0.03602004,1.57079637,0.99346709,0.05770456,-0.05110400,-0.05377518,-0.01123628,0.00000000,0.05739570
22,3.700657,1786969077.661803,2695,50000,0,2695,27,1701,0.010019,0.224664,1,0,0,,,,,,,,,,,no_stable_track,REFERENCE_ARMED,1,0,0,0,0.000000,0.400001,0.000021,0.000040,1.040070,26,0.025511,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.399984,0.467605,,0,1.000000,SAFE,1,current,50000,157.5740,0.99480593,-0.23921412,1.29467082,-0.03693337,1.57079637,0.99480957,0.00782566,-0.00810496,-0.00750321,-0.00535309,0.00000000,0.00786828
23,3.851097,1786969077.819395,2735,50000,0,2735,30,1770,0.010969,0.223435,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,5,5,0,0.170685,0.399973,0.000033,0.000044,1.206104,30,0.031413,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.399733,0.467061,,0,1.000000,SAFE,1,current,50000,182.1083,0.99479121,-0.23912242,1.29469657,-0.03695538,1.57079637,0.99481326,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
24,4.032608,1786969078.001533,2656,50000,0,2656,20,1637,0.007530,0.223934,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,10,5,0,0.378524,0.398570,0.000066,0.000279,1.413500,35,0.036380,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.397629,0.469734,,0,1.000000,SAFE,1,current,50000,183.6928,0.99370551,-0.23733240,1.29703665,-0.03662893,1.57079637,0.99373114,-0.00598144,0.00986174,0.01289219,0.00179854,0.00000000,-0.00596174
25,4.217462,1786969078.185245,2680,50000,0,2680,32,1684,0.011940,0.221915,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,14,4,0,0.544079,0.396003,0.000178,0.000308,1.579134,39,0.036739,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.394943,0.470960,,0,1.000000,SAFE,1,current,50000,175.0748,0.99104977,-0.23320955,1.30242133,-0.03514338,1.57079637,0.99103880,-0.01436672,0.02230331,0.02912940,0.00803634,0.00000000,-0.01456470
26,4.393329,1786969078.360340,2768,50000,0,2768,21,1701,0.007587,0.224426,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,19,5,0,0.750702,0.391954,0.000299,0.000565,1.786746,44,0.037271,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.391241,0.461743,,0,1.000000,SAFE,1,current,50000,179.2388,0.98774129,-0.22813666,1.30899453,-0.03357346,1.57079637,0.98774129,-0.01881244,0.02884515,0.03737611,0.00892677,0.00000000,-0.01875008
27,4.572424,1786969078.539598,2667,50000,0,2667,23,1706,0.008624,0.223953,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,23,4,0,0.915797,0.388643,0.000101,0.000209,1.953083,48,0.036680,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.387532,0.474704,,0,1.000000,SAFE,1,current,50000,167.7851,0.98449510,-0.22317383,1.31542826,-0.03217227,1.57079637,0.98449135,-0.01812549,0.02771057,0.03592349,0.00782369,0.00000000,-0.01814645
28,4.742381,1786969078.707401,2718,50000,0,2718,38,1724,0.013981,0.222917,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,27,4,0,1.081442,0.385326,0.000003,0.000015,2.119122,52,0.036068,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.384435,0.468339,,0,1.000000,SAFE,1,current,50000,168.7294,0.98129654,-0.21838339,1.32161617,-0.03086279,1.57079637,0.98129284,-0.01881980,0.02818612,0.03640862,0.00770479,0.00000000,-0.01881945
29,4.906657,1786969078.876148,2606,50000,0,2606,26,1724,0.009977,0.222785,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,31,4,0,1.247735,0.382031,0.000001,0.000194,2.285482,56,0.035723,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.380825,0.467578,,0,1.000000,SAFE,1,current,50000,163.6256,0.97819340,-0.21376902,1.32745576,-0.02955697,1.57079637,0.97818971,-0.01888985,0.02808922,0.03554754,0.00794895,0.00000000,-0.01888985
30,5.073337,1786969079.039791,2707,50000,0,2707,25,1711,0.009235,0.225621,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,35,4,0,1.413500,0.378642,0.000001,0.000018,2.451738,60,0.035184,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.377733,0.463033,,0,1.000000,SAFE,1,current,50000,168.5578,0.97495449,-0.20906292,1.33339787,-0.02821447,1.57079637,0.97492880,-0.01943196,0.02823437,0.03564982,0.00805436,0.00000000,-0.01956392
31,5.238016,1786969079.208365,2685,50000,0,2685,38,1717,0.014153,0.225087,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,39,4,0,1.579134,0.375341,0.000000,0.000176,2.617346,64,0.035114,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.374536,0.470349,,0,1.000000,SAFE,1,current,50000,160.4455,0.97187704,-0.20465396,1.33898425,-0.02703704,1.57079637,0.97187704,-0.01868756,0.02677305,0.03392290,0.00714989,0.00000000,-0.01853157
32,5.398817,1786969079.368829,2746,50000,0,2746,36,1750,0.013110,0.223498,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,43,4,0,1.745168,0.372034,0.000099,0.000176,2.783472,68,0.034725,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.370740,0.466332,,0,1.000000,SAFE,1,current,50000,172.5088,0.96868217,-0.20013861,1.34472108,-0.02590728,1.57079637,0.96867853,-0.01986844,0.02808034,0.03567654,0.00702578,0.00000000,-0.01989106
33,5.573122,1786969079.541356,2665,50000,0,2665,19,1742,0.007129,0.225158,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,47,4,0,1.911397,0.368727,0.000099,0.000029,2.949602,72,0.034102,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.367722,0.448716,,0,1.000000,SAFE,1,current,50000,171.0693,0.96536624,-0.19551690,1.35056794,-0.02475552,1.57079637,0.96537733,-0.01902364,0.02651502,0.03354373,0.00660770,0.00000000,-0.01893918
34,5.746835,1786969079.712442,2616,50000,0,2616,8,1638,0.003058,0.224755,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,51,4,0,2.077656,0.365443,0.000206,0.000147,3.115937,76,0.033335,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.364634,0.466163,,0,1.000000,SAFE,1,current,50000,160.0568,0.96191835,-0.19080715,1.35647714,-0.02353407,1.57079637,0.96191835,-0.01984824,0.02711230,0.03401712,0.00703147,0.00000000,-0.01991206
35,5.899497,1786969079.872516,2568,50000,0,2568,17,1631,0.006620,0.224234,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,55,4,0,2.243925,0.362031,0.000099,0.000180,3.282155,80,0.033298,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.361529,0.464044,,0,1.000000,SAFE,1,current,50000,166.8644,0.95882988,-0.18664028,1.36165643,-0.02250335,1.57079637,0.95887023,-0.02023085,0.02729481,0.03392657,0.00675163,0.00000000,-0.01996652
36,6.072572,1786969080.039410,2635,50000,0,2635,17,1686,0.006452,0.223820,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,59,4,0,2.410167,0.358739,0.000002,0.000018,3.448258,84,0.032906,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.357848,0.459567,,0,1.000000,SAFE,1,current,50000,168.2735,0.95543694,-0.18210658,1.36726117,-0.02140661,1.57079637,0.95544058,-0.01960380,0.02619491,0.03238326,0.00633678,0.00000000,-0.01981594
37,6.235177,1786969080.207702,2629,50000,0,2629,22,1742,0.008368,0.223064,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,63,4,0,2.575769,0.355428,0.000000,0.000018,3.613459,88,0.032565,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.354528,0.465506,,0,1.000000,SAFE,1,current,50000,171.5249,0.95209533,-0.17773063,1.37263119,-0.02041991,1.57079637,0.95211369,-0.02055046,0.02691147,0.03302487,0.00606806,0.00000000,-0.02045992
38,6.409271,1786969080.379247,2539,50000,0,2539,23,1696,0.009059,0.222844,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,67,4,0,2.741887,0.352142,0.000201,0.000334,3.779311,92,0.031908,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.350838,0.469633,,0,1.000000,SAFE,1,current,50000,179.9433,0.94856304,-0.17313826,1.37829447,-0.01940387,1.57079637,0.94851905,-0.02028959,0.02637874,0.03253004,0.00583618,0.00000000,-0.02064771
39,6.589834,1786969080.559209,2621,50000,0,2621,25,1702,0.009538,0.223614,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,71,4,0,2.908046,0.348719,0.000395,0.000616,3.945146,96,0.031031,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.347132,0.474761,,0,1.000000,SAFE,1,current,50000,165.7271,0.94483268,-0.16843218,1.38402033,-0.01837315,1.57079637,0.94483268,-0.02065961,0.02606343,0.03171119,0.00570836,0.00000000,-0.02041600
