axis,offset_m,predicted_clearance_m,predicted_tau_s,predicted_nearest_link,current_clearance_m,reference_clearance_m,candidate_clearance_m,clearance_improvement_m,fast_ms,accepted_steps,max_delta_q_rad,local_repair_ready,formal_scene_feasible,rejection_reasons
x,0.08000000000000024,0.14808952999280253,0.5,left_link,0.17632977541071787,0.1140614469484218,0.11479888865416049,0.000737441705738695,52.68026597332209,1,0.025500000000000078,False,False,insufficient_clearance_improvement
x,0.09000000000000025,0.1530094705615773,0.5,left_link,0.18134044404090371,0.11896226157001022,0.1295031072215423,0.010540845651532071,46.50419601239264,1,0.016996519642320407,True,False,
x,0.10000000000000026,0.15814027113555892,0.5,left_link,0.18654629813886253,0.12409363219963859,0.13455304273536145,0.010459410535722857,46.51539199403487,1,0.017033701229716036,True,False,
x,0.11000000000000026,0.16347303699319912,0.5,left_link,0.19193950537909954,0.12944496520156412,0.13982178792218652,0.010376822720622403,46.86920900712721,1,0.01706506938556651,True,False,
x,0.12000000000000027,0.16899904535975088,0.5,left_link,0.19751238711094926,0.13500589254246714,0.1452994230899438,0.01029353054747667,46.513183013303205,1,0.017090849354745585,True,False,
x,0.13000000000000028,0.17470977906415333,0.5,left_link,0.20325744321000894,0.14076631869117467,0.15008765276614505,0.009321334074970378,45.50922999624163,1,0.015523621847025715,True,False,
x,0.1400000000000003,0.18059695382594101,0.5,left_link,0.20916737231997867,0.14671645776617626,0.15596632414520856,0.009249866379032301,50.00340798869729,1,0.015544246274726059,True,False,
x,0.1500000000000003,0.18665253969410114,0.5,left_link,0.2152350878581789,0.15284686182713364,0.16302575998759516,0.010178898160461525,45.453077007550746,1,0.017387914091822942,True,False,
x,0.1600000000000003,0.19286877720164772,0.5,left_link,0.22057130530720787,0.15914844127250627,0.16924892132727182,0.010100480054765548,45.464523980626836,1,0.017401366750817493,True,False,
x,0.17000000000000032,0.19923818881573238,0.5,left_link,0.22605245213479158,0.1656124783223717,0.17563542313263963,0.010022944810267942,45.72536697378382,1,0.017410385437006903,True,False,
x,0.18000000000000033,0.2057535862586519,0.5,left_link,0.23168209525220312,0.17223063454487647,0.1821771247927758,0.009946490247899342,45.383216987829655,1,0.017415172882434327,True,False,
x,0.19000000000000034,0.21240807425506245,0.5,left_link,0.2374549763944525,0.1789949533368489,0.18886623672147057,0.009871283384621676,45.22842000005767,1,0.01741593074361547,True,False,
x,0.20000000000000034,0.21872527959955598,0.5,gripper_base_link,0.24336595810968709,0.18589785820287658,0.1956953212705988,0.009797463067722223,45.58328998973593,1,0.01741285873995746,True,False,
