frame,t_s,cluster_index,dynamic_tracker_input,radius_in_legacy_band,point_count,center_x,center_y,center_z,raw_radius_m,bbox_dx_m,bbox_dy_m,bbox_dz_m,raw_centroid_speed_m_s
56,8.719111,0,1,0,215,0.648755,-0.575085,0.367790,0.127643,0.151965,0.239304,0.216815,0.067482
57,8.872937,0,1,0,204,0.644059,-0.564288,0.369406,0.119817,0.145114,0.202821,0.200729,0.077151
58,9.017369,0,1,0,220,0.643770,-0.555423,0.371825,0.126308,0.152895,0.228522,0.207555,0.063032
59,9.180066,0,1,0,224,0.643724,-0.551348,0.364562,0.127763,0.134640,0.237369,0.212784,0.051552
60,9.334481,0,1,0,212,0.649434,-0.547243,0.373319,0.120843,0.145206,0.217508,0.203829,0.073911
61,9.491668,0,1,0,256,0.645513,-0.548145,0.367402,0.134358,0.186695,0.246051,0.215893,0.045372
62,9.649317,0,1,0,248,0.646120,-0.545755,0.376007,0.124018,0.162756,0.240198,0.193264,0.057696
63,9.826187,0,1,0,262,0.644693,-0.539241,0.379623,0.127071,0.175071,0.227904,0.199727,0.044554
64,9.995591,0,1,0,275,0.643153,-0.535381,0.368706,0.138594,0.144120,0.279926,0.218727,0.064865
65,10.169783,0,1,0,268,0.644646,-0.521864,0.380542,0.128751,0.150836,0.235391,0.205515,0.105301
66,10.330942,0,1,0,293,0.638486,-0.522957,0.371585,0.135639,0.197134,0.260984,0.214765,0.067802
67,10.507173,0,1,0,252,0.644650,-0.511372,0.380485,0.127866,0.153537,0.227857,0.202834,0.091108
68,10.667979,0,1,0,252,0.642502,-0.497372,0.384482,0.128725,0.149946,0.230341,0.198234,0.091566
69,10.835334,0,1,0,261,0.644585,-0.483337,0.367075,0.131936,0.183648,0.254012,0.212331,0.133106
70,11.001424,0,1,0,259,0.646960,-0.479239,0.368213,0.132669,0.152460,0.233123,0.213436,0.029228
71,11.155174,0,1,0,243,0.642385,-0.468034,0.387923,0.126173,0.154331,0.223946,0.201481,0.149460
72,11.307376,0,1,0,264,0.645612,-0.454173,0.368501,0.130826,0.176927,0.251602,0.217717,0.159684
73,11.465011,0,1,0,249,0.646220,-0.450575,0.376244,0.128750,0.160629,0.230434,0.207700,0.054689
74,11.618849,0,1,0,278,0.644085,-0.451165,0.371230,0.132027,0.162529,0.247771,0.208964,0.034492
75,11.799691,0,1,0,270,0.646424,-0.436948,0.376864,0.131345,0.151497,0.219794,0.211730,0.091369
76,11.949840,0,1,0,250,0.642644,-0.430603,0.384740,0.132512,0.164981,0.224809,0.205135,0.067565
77,12.102770,0,1,0,251,0.647866,-0.428530,0.374766,0.131281,0.138496,0.217204,0.220439,0.078298
78,12.267928,0,1,0,262,0.645433,-0.424749,0.376538,0.128273,0.161597,0.213974,0.210474,0.028730
