frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
10,1.538809,1786454305.296718,2659,50000,1,1,0,0.291501,left_link,0,0.639701,-0.576851,0.365442,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.027646,0.022919,-0.015375,0.001626,0.115787,10,0.008526,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.011964,0.000000,0.306700,,0,1.000000,SAFE,1,current,50000,150.5192,0.00000000,-0.19623215,1.34603786,-0.02373581,1.57079637,0.00000000,0.00000000,-0.13570880,-0.13568351,-0.01886070,0.00000000,0.00000000
11,1.692049,1786454305.447254,2479,50000,1,1,0,0.290753,left_link,0,0.639456,-0.576996,0.367918,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.003604,-0.001386,0.003298,-0.000436,0.116356,11,0.025483,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.000000,0.304608,,0,1.000000,SAFE,1,current,50000,161.6097,0.00000000,-0.20742331,1.33486521,-0.02651617,1.57079637,0.00000000,0.00000000,-0.07303048,-0.07290971,-0.01814391,0.00000000,0.00000000
12,1.859078,1786454305.608893,2590,50000,1,1,0,0.294228,left_link,0,0.639762,-0.576789,0.364310,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.016227,-0.004913,-0.015272,-0.002437,0.120740,12,0.021371,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.000000,0.306548,,0,1.000000,SAFE,1,current,50000,159.0805,0.00000000,-0.21015234,1.33215809,-0.02852992,1.57079637,0.00000000,0.00000000,-0.01633859,-0.01620745,-0.01205624,0.00000000,0.00000000
13,2.015150,1786454305.767992,2545,50000,1,1,0,0.292425,left_link,0,0.634813,-0.575637,0.378405,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.013898,0.008986,-0.007028,0.007937,0.114539,13,0.019537,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.000000,0.306403,,0,1.000000,SAFE,1,current,50000,153.2167,0.00000000,-0.21021469,1.33206999,-0.02858861,1.57079637,0.00000000,0.00000000,-0.00039947,-0.00056446,-0.00037602,0.00000000,0.00000000
14,2.166579,1786454305.921224,2540,50000,1,1,0,0.289613,left_link,0,0.640374,-0.581273,0.374301,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590633,0.869422,0.000000,0,,0.015614,-0.014542,0.005600,0.000988,0.118842,14,0.013939,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.000000,0.304521,,0,1.000000,SAFE,1,current,50000,149.2668,0.00061990,-0.21094096,1.33130348,-0.02932222,1.57079637,0.00043283,0.00409363,-0.00479608,-0.00506186,-0.00484454,0.00000000,0.00285827
15,2.314753,1786454306.070507,2523,50000,1,1,0,0.298723,left_link,0,0.644937,-0.581363,0.365144,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.587032,0.863120,0.000000,0,,0.007781,0.006199,0.004484,-0.001419,0.115582,15,0.026736,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.000000,0.309463,,0,1.000000,SAFE,1,current,50000,149.3278,0.00671249,-0.21672910,1.32527328,-0.03310028,1.57079637,0.00678952,0.04111801,-0.03906334,-0.04069693,-0.02549762,0.00000000,0.04290037
16,2.465759,1786454306.219851,2587,50000,1,1,0,0.307142,left_link,0,0.640576,-0.574978,0.367127,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.577880,0.847861,0.000000,0,,0.017037,0.008154,0.013924,0.005468,0.119076,16,0.014993,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.000000,0.318699,,0,1.000000,SAFE,1,current,50000,158.9439,0.02197149,-0.22754613,1.31162441,-0.03762663,1.57079637,0.02207419,0.10104865,-0.07163284,-0.09038599,-0.02997450,0.00000000,0.10121868
17,2.629976,1786454306.378812,2581,50000,2,1,0,0.317237,left_link,0,0.645088,-0.579995,0.372409,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.560839,0.820021,0.000000,0,,0.020099,0.016781,-0.010690,0.002846,0.118155,17,0.016051,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.000000,0.328598,,0,1.000000,SAFE,1,current,50000,151.2659,0.04981182,-0.24034755,1.29322934,-0.04267384,1.57080007,0.05003924,0.16953375,-0.07795430,-0.11201680,-0.03073502,0.00002250,0.17029319
18,2.775036,1786454306.530094,2668,50000,1,1,0,0.339423,left_link,0,0.640763,-0.578589,0.369345,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.539507,0.785901,0.000000,0,,0.011278,-0.009656,-0.000305,-0.005819,0.118481,18,0.018845,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.000000,0.350434,,0,1.000000,SAFE,1,current,50000,153.9244,0.08393182,-0.25157905,1.27688825,-0.04695076,1.57080007,0.08422893,0.23521265,-0.07742644,-0.11265038,-0.02948375,0.00000000,0.23569307
19,2.929640,1786454306.684038,2589,50000,1,1,0,0.368373,left_link,0,0.646750,-0.578478,0.369383,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.509863,0.739485,0.000000,0,,0.038772,0.034149,-0.010896,0.014778,0.114023,19,0.008517,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.000000,0.378858,,0,1.000000,SAFE,1,current,50000,153.4290,0.13034704,-0.26358449,1.25946510,-0.05156147,1.57080007,0.13074686,0.30022073,-0.07765307,-0.11269560,-0.02982277,0.00000000,0.30088505
20,3.082480,1786454306.837484,2591,50000,1,1,0,0.403325,left_link,0,0.643592,-0.579111,0.368528,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.474174,0.684759,0.000000,0,,0.015523,-0.011692,-0.009187,-0.004455,0.117393,20,0.025991,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.000000,0.414436,,0,1.000000,SAFE,1,current,50000,148.8594,0.18507402,-0.27524516,1.24255919,-0.05611350,1.57080364,0.18566458,0.35806785,-0.07629344,-0.11061201,-0.02978301,0.00002340,0.35931588
21,3.233616,1786454306.986360,2249,50000,1,1,0,0.434329,left_link,0,0.643279,-0.576394,0.367471,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.432579,0.622164,0.000000,0,,0.025060,-0.014418,0.016959,-0.011511,0.118590,21,0.021354,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.000000,0.445333,,0,1.000000,SAFE,1,current,50000,153.6763,0.24766892,-0.28687280,1.22568619,-0.06062150,1.57081473,0.24831448,0.41416123,-0.07693469,-0.11164077,-0.02982735,0.00007335,0.41452514
22,3.385842,1786454307.140054,2323,50000,1,1,0,0.479147,upperArm_Link,0,0.641727,-0.579475,0.368444,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.387049,0.554826,0.000000,0,,0.019145,-0.019044,0.001599,0.001142,0.122038,22,0.030143,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.000000,0.478388,,0,1.000000,SAFE,1,current,50000,153.0270,0.31500658,-0.29888561,1.20818603,-0.06518819,1.57081103,0.31585389,0.44235301,-0.07891427,-0.11496166,-0.02999941,-0.00002428,0.44367832
23,3.542089,1786454307.293096,2334,50000,1,1,0,0.483791,upperArm_Link,0,0.633842,-0.578016,0.376204,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.340703,0.487206,0.000000,0,,0.055427,-0.054428,0.009098,-0.005184,0.117752,23,0.028992,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.000000,0.482370,,0,1.000000,SAFE,1,current,50000,156.0283,0.38262668,-0.31090939,1.19078135,-0.06980257,1.57081473,0.38346297,0.43277928,-0.07695406,-0.11139266,-0.02953278,0.00002365,0.43270870
24,3.695060,1786454307.449143,2411,50000,1,1,0,0.490915,upperArm_Link,0,0.636055,-0.579245,0.378821,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.293955,0.419575,0.000000,0,,0.019257,0.014201,0.007890,0.010340,0.116011,24,0.013641,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.000000,0.488011,,0,1.000000,SAFE,1,current,50000,151.9927,0.45025778,-0.32292220,1.17331052,-0.07451966,1.57081831,0.45109043,0.44211709,-0.07852998,-0.11421012,-0.03083644,0.00002338,0.44209332
25,3.845682,1786454307.601151,2426,50000,1,1,0,0.496317,upperArm_Link,0,0.644036,-0.580996,0.364187,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.248561,0.354126,0.000000,0,,0.024897,-0.000358,-0.021518,0.012519,0.124602,25,0.022989,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.000000,0.479148,,0,1.000000,SAFE,1,current,50000,150.3987,0.51570642,-0.33454981,1.15639353,-0.07902033,1.57081831,0.51655370,0.43452089,-0.07719704,-0.11231380,-0.02988047,0.00000000,0.43461804
26,4.007100,1786454307.751566,2580,50000,1,1,0,0.473631,upperArm_Link,0,0.637074,-0.578056,0.364572,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.200218,0.284312,0.000000,0,,0.022778,-0.018248,-0.012330,-0.005815,0.123677,26,0.037935,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.013113,0.000000,0.464429,,0,1.000000,SAFE,1,current,50000,157.6758,0.58552003,-0.34695876,1.13838708,-0.08371907,1.57082200,0.58638930,0.43250135,-0.07687447,-0.11155148,-0.02910914,0.00002289,0.43263760
27,4.156201,1786454307.909259,2588,50000,1,1,0,0.503283,upperArm_Link,0,0.639226,-0.583238,0.380631,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.155531,0.219355,0.000000,0,,0.048902,0.041744,-0.020241,0.015463,0.114528,27,0.011489,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.000000,0.494737,,0,1.000000,SAFE,1,current,50000,150.9823,0.65047711,-0.35859007,1.12148499,-0.08822708,1.57082200,0.65115565,0.43565939,-0.07800981,-0.11336029,-0.03023464,0.00000000,0.43438015
28,4.309360,1786454308.060261,2599,50000,1,1,0,0.484712,upperArm_Link,0,0.643371,-0.579547,0.362929,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.112954,0.157113,0.000000,0,,0.027858,-0.019723,-0.012561,-0.015142,0.121239,28,0.028999,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.000000,0.482726,,0,1.000000,SAFE,1,current,50000,150.2562,0.71271986,-0.37061024,1.10404348,-0.09296983,1.57082939,0.71323335,0.40639292,-0.07848163,-0.11387844,-0.03096622,0.00004826,0.40531531
