index,x,y,z
0,0.48742241,-0.39100265,0.53957778
1,0.48742241,-0.38700265,0.53957778
2,0.48742241,-0.38300265,0.53957778
3,0.48742241,-0.37900265,0.53957778
4,0.48742241,-0.37500265,0.53957778
5,0.48742241,-0.37100265,0.53957778
6,0.48742241,-0.36700265,0.53957778
7,0.48742241,-0.36300265,0.53957778
8,0.48742241,-0.35900265,0.53957778
9,0.48742241,-0.35500265,0.53957778
10,0.48742241,-0.35100265,0.53957778
11,0.48742241,-0.34700265,0.53957778
12,0.48742241,-0.34300265,0.53957778
13,0.48742241,-0.33900265,0.53957778
14,0.48742241,-0.33500265,0.53957778
15,0.48742241,-0.33100265,0.53957778
16,0.48742241,-0.32700265,0.53957778
17,0.48742241,-0.32300265,0.53957778
18,0.48742241,-0.31900265,0.53957778
19,0.48742241,-0.31500265,0.53957778
20,0.48742241,-0.31100265,0.53957778
21,0.48742241,-0.30700265,0.53957778
22,0.48742241,-0.30300265,0.53957778
23,0.48742241,-0.29900265,0.53957778
24,0.48742241,-0.29500265,0.53957778
25,0.48742241,-0.29100265,0.53957778
26,0.48742241,-0.28700265,0.53957778
27,0.48742241,-0.28300265,0.53957778
28,0.48742241,-0.27900265,0.53957778
29,0.48742241,-0.27500265,0.53957778
30,0.48742241,-0.27100265,0.53957778
31,0.48742241,-0.26700265,0.53957778
32,0.48742241,-0.26300265,0.53957778
33,0.48742241,-0.25900265,0.53957778
34,0.48742241,-0.25500265,0.53957778
35,0.48742241,-0.25100265,0.53957778
36,0.48742241,-0.24700265,0.53957778
37,0.48742241,-0.24300265,0.53957778
38,0.48742241,-0.23900265,0.53957778
39,0.48742241,-0.23500265,0.53957778
40,0.48742241,-0.23100265,0.53957778
41,0.48742241,-0.22700265,0.53957778
42,0.48742241,-0.22300265,0.53957778
43,0.48742241,-0.21900265,0.53957778
44,0.48742241,-0.21500265,0.53957778
45,0.48742241,-0.21100265,0.53957778
46,0.48742241,-0.20700265,0.53957778
47,0.48742241,-0.20300265,0.53957778
48,0.48742241,-0.19900265,0.53957778
49,0.48742241,-0.19500265,0.53957778
50,0.48742241,-0.19100265,0.53957778
51,0.48742241,-0.18700265,0.53957778
52,0.48742241,-0.18300265,0.53957778
53,0.48742241,-0.17900265,0.53957778
54,0.48742241,-0.17500265,0.53957778
55,0.48742241,-0.17100265,0.53957778
56,0.48742241,-0.16700265,0.53957778
57,0.48742241,-0.16300265,0.53957778
58,0.48742241,-0.15900265,0.53957778
59,0.48742241,-0.15500265,0.53957778
60,0.48742241,-0.15100265,0.53957778
61,0.48742241,-0.14700265,0.53957778
62,0.48742241,-0.14300265,0.53957778
63,0.48742241,-0.13900265,0.53957778
64,0.48742241,-0.13500265,0.53957778
65,0.48742241,-0.13100265,0.53957778
66,0.48742241,-0.12700265,0.53957778
67,0.48742241,-0.12300265,0.53957778
68,0.48742241,-0.11900265,0.53957778
69,0.48742241,-0.11500265,0.53957778
70,0.48742241,-0.11100265,0.53957778
71,0.48742241,-0.10700265,0.53957778
72,0.48742241,-0.10300265,0.53957778
73,0.48742241,-0.09900265,0.53957778
74,0.48742241,-0.09500265,0.53957778
75,0.48742241,-0.09100265,0.53957778
76,0.48742241,-0.08700265,0.53957778
77,0.48742241,-0.08300265,0.53957778
78,0.48742241,-0.07900265,0.53957778
79,0.48742241,-0.07500265,0.53957778
80,0.48742241,-0.07100265,0.53957778
81,0.48742241,-0.06700265,0.53957778
82,0.48742241,-0.06300265,0.53957778
83,0.48742241,-0.05900265,0.53957778
84,0.48742241,-0.05500265,0.53957778
85,0.48742241,-0.05100265,0.53957778
86,0.48742241,-0.04700265,0.53957778
87,0.48742241,-0.04300265,0.53957778
88,0.48742241,-0.03900265,0.53957778
89,0.48742241,-0.03500265,0.53957778
90,0.48742241,-0.03100265,0.53957778
91,0.48742241,-0.02700265,0.53957778
92,0.48742241,-0.02300265,0.53957778
93,0.48742241,-0.01900265,0.53957778
94,0.48742241,-0.01500265,0.53957778
95,0.48742241,-0.01100265,0.53957778
96,0.48742241,-0.00700265,0.53957778
97,0.48742241,-0.00300265,0.53957778
98,0.48742241,0.00099735,0.53957778
99,0.48742241,0.00499735,0.53957778
100,0.48742241,0.00899735,0.53957778
