frame,t_s,track_id,age,center_x,center_y,center_z,instant_speed_m_s,window_speed_m_s,median_speed_m_s,raw_cluster_speed_m_s,window_velocity_x_m_s,window_velocity_y_m_s,window_velocity_z_m_s,cluster_radius_raw_m,tracked_radius_m,risk_radius_m,raw_radius_m,association_error_m,valid_streak,dynamic_state,prediction_ready,dynamic_valid,block_reason
26,4.250579,1,5,0.580158,-0.627668,0.362365,0.000000,0.043312,0.043312,0.044996,0.015395,0.040446,0.001765,0.118673,0.156091,0.211091,0.118673,0.005034,0,0,0,0,"speed_ok,valid_streak_not_ready"
27,4.416868,1,6,0.563509,-0.660108,0.356913,0.015399,0.058267,0.058267,0.059778,-0.037119,-0.044881,-0.001718,0.127751,0.154254,0.209254,0.127751,0.031032,0,0,0,0,"speed_ok,valid_streak_not_ready"
28,4.565553,1,7,0.567169,-0.654614,0.359187,0.000000,0.037384,0.037384,0.053545,-0.019525,-0.030802,-0.008220,0.126546,0.160880,0.215880,0.126546,0.029723,0,0,0,0,"speed_ok,valid_streak_not_ready"
29,4.721479,1,8,0.568717,-0.653218,0.356866,0.000000,0.030522,0.030522,0.009959,-0.022985,-0.019419,-0.005118,0.121403,0.156454,0.211454,0.121403,0.029089,0,0,0,0,"speed_ok,valid_streak_not_ready"
30,4.881213,1,9,0.562762,-0.646733,0.355651,0.000000,0.042386,0.042386,0.014099,-0.027650,-0.030302,-0.010671,0.122447,0.149158,0.204158,0.122447,0.028133,0,0,0,0,"speed_ok,valid_streak_not_ready"
31,5.031328,1,10,0.569452,-0.636625,0.346207,0.000000,0.042365,0.042365,0.052062,0.009507,0.037565,-0.017126,0.135544,0.163357,0.218357,0.135544,0.028059,0,0,0,0,"speed_ok,valid_streak_not_ready"
32,5.188068,1,11,0.561425,-0.631839,0.352767,0.000000,0.039128,0.039128,0.074692,-0.009230,0.036597,-0.010316,0.127335,0.161939,0.216939,0.127335,0.031784,0,0,0,0,"speed_ok,valid_streak_not_ready"
33,5.342218,1,12,0.565875,-0.626891,0.355103,0.000000,0.042788,0.042788,0.039447,-0.004582,0.042447,-0.002842,0.121158,0.153678,0.208678,0.121158,0.026527,0,0,0,0,"speed_ok,valid_streak_not_ready"
34,5.505502,1,13,0.571768,-0.627550,0.360224,0.000000,0.034360,0.034360,0.064101,0.014274,0.030403,0.007247,0.124003,0.152575,0.207575,0.124003,0.028493,0,0,0,0,"speed_ok,valid_streak_not_ready"
35,5.663727,1,14,0.575986,-0.618895,0.354003,0.000000,0.032381,0.032381,0.061376,0.010351,0.028086,0.012351,0.123489,0.151191,0.206191,0.123489,0.020554,0,0,0,0,"speed_ok,valid_streak_not_ready"
