frame,t_s,cluster_index,dynamic_tracker_input,radius_in_legacy_band,point_count,center_x,center_y,center_z,raw_radius_m,bbox_dx_m,bbox_dy_m,bbox_dz_m,raw_centroid_speed_m_s
56,9.176521,0,1,0,301,0.583387,-0.424933,0.365779,0.131634,0.157132,0.257985,0.239196,0.045396
57,9.336075,0,1,0,275,0.585392,-0.417462,0.366699,0.132397,0.170564,0.248181,0.219059,0.048447
58,9.495139,0,1,0,277,0.579716,-0.413739,0.360469,0.130938,0.186307,0.247081,0.244131,0.058404
59,9.648881,0,1,0,285,0.579959,-0.415372,0.368465,0.132863,0.174942,0.261557,0.212923,0.052211
60,9.802983,0,1,0,271,0.582488,-0.410072,0.367854,0.127383,0.173543,0.227066,0.245942,0.039059
61,9.962853,0,1,0,280,0.582757,-0.407064,0.363499,0.135472,0.186614,0.248076,0.214871,0.034003
62,10.133993,0,1,0,297,0.575248,-0.408620,0.364539,0.141093,0.210176,0.254149,0.224673,0.044783
63,10.288432,0,1,0,272,0.586586,-0.395985,0.366553,0.128058,0.151319,0.232247,0.207880,0.110052
64,10.441880,0,1,0,273,0.583672,-0.395047,0.364009,0.133751,0.175247,0.257655,0.224914,0.025504
65,10.599794,0,1,0,284,0.582100,-0.381167,0.370501,0.128876,0.167789,0.239735,0.203680,0.099266
66,10.775143,0,1,0,276,0.585878,-0.368753,0.367001,0.132265,0.166380,0.236019,0.242787,0.076436
67,10.932990,0,1,0,265,0.590703,-0.356232,0.364886,0.130151,0.155126,0.227617,0.218110,0.084303
68,11.090135,0,1,0,281,0.587050,-0.332165,0.373527,0.127717,0.160972,0.229429,0.206142,0.164342
69,11.252607,0,1,0,275,0.590166,-0.322563,0.364130,0.128817,0.156156,0.225698,0.215905,0.086329
70,11.411090,0,1,0,258,0.587234,-0.323683,0.366125,0.127298,0.152060,0.229217,0.207862,0.023386
71,11.567331,0,1,0,250,0.587897,-0.317055,0.372719,0.125973,0.181894,0.210227,0.200949,0.058816
72,11.742208,0,1,0,269,0.585590,-0.309404,0.365914,0.128876,0.151551,0.230144,0.203712,0.061540
73,11.898657,0,1,0,248,0.586871,-0.288662,0.373082,0.129826,0.151572,0.212393,0.215523,0.137576
74,12.058448,0,1,0,248,0.588423,-0.275090,0.373226,0.135478,0.193212,0.228336,0.207690,0.086643
75,12.239985,0,1,0,264,0.589567,-0.250226,0.370619,0.129669,0.175423,0.234393,0.201177,0.142290
76,12.390733,0,1,0,268,0.587133,-0.231459,0.370429,0.132046,0.168190,0.225140,0.204625,0.119798
