R_det,R_keep,R_over,T_dec_ms_mean,T_dec_ms_std,delta_r,frames,method,scene,sigma_c,visible_frames
1.0,1.0,0.0,10.50632866284263,8.767039166235772,0.02,126,ours,B,0.021975363248805852,126
1.0,1.0,0.0,7.684747911139672,1.2767680073044148,0.03,126,ours,B,0.022025805894021033,126
1.0,1.0,0.0,6.571807303569383,0.8065229651456874,0.04,126,ours,B,0.016846040455399402,126
1.0,0.9994078084683389,0.0005921915316611237,5.857551064793139,0.5337019580507123,0.05,126,ours,B,0.016296487775208018,126
1.0,0.9980965272196608,0.0019034727803391993,5.714391742552084,0.6022498117189722,0.06,126,ours,B,0.016243746411232062,126
1.0,0.9899327439617613,0.010067256038238659,5.422563686604715,0.6658978623151139,0.08,126,ours,B,0.01616601844168546,126
1.0,0.9819804576794552,0.018019542320544812,5.155389828215693,0.43564281479940525,0.1,126,ours,B,0.01597228068009586,126
