N_res,R_false,R_res,T_dec_ms_mean,T_dec_ms_std,delta_r,frames,method,scene
0.4942528735632184,0.39080459770114945,0.2945592587202251,9.180066003143017,1.7957287297106475,0.02,87,ours,A
0.11494252873563218,0.11494252873563218,0.1655184960582171,9.245256024905235,1.7033812924858145,0.03,87,ours,A
0.04597701149425287,0.04597701149425287,0.11220269499933293,8.211678644674349,1.0318118669408516,0.04,87,ours,A
0.0,0.0,0.06670305014856588,6.046022121237869,0.6649977044717881,0.05,87,ours,A
0.0,0.0,0.04874232905620103,5.953623183960117,0.5523507050683504,0.06,87,ours,A
0.0,0.0,0.022894006087283397,5.500721502995611,0.5401575706216811,0.08,87,ours,A
0.0,0.0,0.007241015440222203,5.222759348736412,0.3472614183816499,0.1,87,ours,A
