frame,timestamp,scene_points,robot_points,cluster_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_points,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,risk_state_current,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad
0,1786000975.120279,0,50000,0,,,,0,,,,SAFE,0.01482617,0.00525262,1.58147025,0.00535165,1.57114112,-0.00780923
1,1786000975.857895,2185,50000,1,0.099271,right_link,0,151,0.567780,0.031923,0.372007,SLOW,0.01482617,0.00525262,1.58147025,0.00535165,1.57114112,-0.00780923
2,1786000976.223855,2479,50000,1,0.095601,right_link,0,178,0.574433,0.043610,0.376894,SLOW,0.01482617,0.00525262,1.58147025,0.00535165,1.57114112,-0.00780923
3,1786000976.378981,2408,50000,2,0.098506,right_link,0,176,0.570902,0.033947,0.365696,SLOW,0.01482617,0.00525262,1.58147025,0.00535165,1.57114112,-0.00780923
4,1786000976.527746,2686,50000,1,0.100325,right_link,0,187,0.571189,0.040406,0.375816,WARNING,0.01482617,0.00525262,1.58147025,0.00535165,1.57114112,-0.00780923
5,1786000976.725781,2621,50000,1,0.090806,right_link,0,188,0.571908,0.038857,0.363320,SLOW,0.01482617,0.00525262,1.58147025,0.00535165,1.57114112,-0.00780923
6,1786000976.881920,2668,50000,1,0.099642,right_link,0,196,0.574130,0.040075,0.372947,SLOW,0.01482617,0.00525262,1.58147025,0.00535165,1.57114112,-0.00780923
7,1786000977.018208,2657,50000,1,0.094479,right_link,0,191,0.571102,0.040482,0.370298,SLOW,0.01482617,0.00525262,1.58147025,0.00535165,1.57114112,-0.00780923
8,1786000977.166855,2675,50000,1,0.096082,right_link,0,201,0.569033,0.043550,0.367260,SLOW,0.01482617,0.00525262,1.58147025,0.00535165,1.57114112,-0.00780923
9,1786000977.305960,2673,50000,1,0.096088,right_link,0,206,0.572456,0.041137,0.373577,SLOW,0.01482617,0.00525262,1.58147025,0.00535165,1.57114112,-0.00780923
10,1786000977.439166,2688,50000,1,0.095390,right_link,0,195,0.571413,0.039612,0.368851,SLOW,0.01482617,0.00525262,1.58147025,0.00535165,1.57114112,-0.00780923
11,1786000977.580163,2742,50000,1,0.094514,right_link,0,201,0.572594,0.037974,0.373135,SLOW,0.01482617,0.00525262,1.58147025,0.00535165,1.57114112,-0.00780923
12,1786000977.715480,2677,50000,1,0.100636,right_link,0,210,0.568568,0.041735,0.366251,WARNING,0.01482617,0.00525262,1.58147025,0.00535165,1.57114112,-0.00780923
13,1786000977.845750,2654,50000,1,0.096967,right_link,0,217,0.568586,0.042640,0.369050,SLOW,0.01482617,0.00525262,1.58147025,0.00535165,1.57114112,-0.00780923
14,1786000977.984651,2757,50000,1,0.092413,right_link,0,225,0.569587,0.041839,0.373027,SLOW,0.01482617,0.00525262,1.58147025,0.00535165,1.57114112,-0.00780923
15,1786000978.113983,2681,50000,2,0.098318,right_link,0,195,0.574850,0.043239,0.375379,SLOW,0.01482617,0.00525262,1.58147025,0.00535165,1.57114112,-0.00780923
16,1786000978.242000,2744,50000,2,0.094539,right_link,0,208,0.568770,0.041527,0.367496,SLOW,0.01482617,0.00525262,1.58147025,0.00535165,1.57114112,-0.00780923
17,1786000978.383030,2761,50000,1,0.102234,right_link,0,206,0.571792,0.037652,0.371356,WARNING,0.01482617,0.00525262,1.58147025,0.00535165,1.57114112,-0.00780923
18,1786000978.517793,2736,50000,1,0.090645,right_link,0,225,0.566093,0.041418,0.368386,SLOW,0.01482617,0.00525262,1.58147025,0.00535165,1.57114112,-0.00780923
19,1786000978.650485,2707,50000,1,0.097724,right_link,0,204,0.571859,0.039292,0.373747,SLOW,0.01482617,0.00525262,1.58147025,0.00535165,1.57114112,-0.00780923
20,1786000978.826776,2712,50000,1,0.095530,right_link,0,238,0.563363,0.037596,0.363759,SLOW,0.01482617,0.00525262,1.58147025,0.00535165,1.57114112,-0.00780923
21,1786000978.960774,2677,50000,1,0.094922,right_link,0,206,0.572369,0.044082,0.370257,SLOW,0.01482617,0.00525262,1.58147025,0.00535165,1.57114112,-0.00780923
