frame,t_s,timestamp,scene_points,robot_points,cluster_count,raw_point_count,roi_point_count,safety_roi_point_count,rho_retain,table_z_m,table_plane_valid,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
10,1.739182,1786951055.010268,3517,50000,0,3517,7,1703,0.001990,0.223866,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.379990,0.616673,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.471099,,0,1.000000,SAFE,1,current,50000,161.2616,0.37817371,-0.09920182,1.45651889,-0.01557812,1.57079637,0.37911636,0.43285550,-0.07630614,-0.08947840,-0.01094112,0.00000000,0.43280838
11,1.901701,1786951055.171548,3633,50000,0,3633,20,1718,0.005505,0.224897,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.337908,0.546885,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.469693,,0,1.000000,SAFE,1,current,50000,165.7774,0.44796160,-0.11148971,1.44219160,-0.01736444,1.57079637,0.44891161,0.42941364,-0.07560894,-0.08815760,-0.01099151,0.00000000,0.42945894
12,2.068436,1786951055.337343,3630,50000,0,3630,26,1768,0.007163,0.224381,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.292700,0.472710,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.457690,,0,1.000000,SAFE,1,current,50000,184.1637,0.52213645,-0.12457723,1.42689586,-0.01917278,1.57079256,0.52312315,0.44486826,-0.07849320,-0.09173717,-0.01084563,-0.00002288,0.44508829
13,2.251741,1786951055.521525,3681,50000,0,3681,6,1751,0.001630,0.224016,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.244619,0.394163,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.467886,,0,1.000000,SAFE,1,current,50000,162.1657,0.60068363,-0.13841304,1.41078961,-0.02114251,1.57079256,0.60162258,0.42850511,-0.07547967,-0.08786578,-0.01074563,0.00000000,0.42824465
14,2.415313,1786951055.683719,3626,50000,0,3626,9,1705,0.002482,0.224361,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.200577,0.322060,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.471692,,0,1.000000,SAFE,1,current,50000,163.6472,0.67278606,-0.15110442,1.39595246,-0.02300954,1.57079637,0.67363703,0.44079876,-0.07758884,-0.09070701,-0.01141408,0.00002332,0.44026091
15,2.582317,1786951055.847388,3623,50000,0,3623,21,1724,0.005796,0.223317,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.155683,0.250134,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.433713,,0,1.000000,SAFE,1,current,50000,180.8266,0.74471241,-0.16379213,1.38114095,-0.02476286,1.57079637,0.74557072,0.43068746,-0.07597269,-0.08868980,-0.01049869,0.00000000,0.43073136
16,2.762816,1786951056.028232,3652,50000,0,3652,26,1658,0.007119,0.224978,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.110714,0.172944,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.452213,,0,1.000000,SAFE,1,current,50000,172.2282,0.82190239,-0.17802408,1.36453581,-0.02679128,1.57079637,0.82245994,0.42764812,-0.07884788,-0.09199583,-0.01123786,0.00000000,0.42598182
17,2.929835,1786951056.200478,3550,50000,0,3550,17,1687,0.004789,0.222867,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.075680,0.114556,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.480055,,0,1.000000,SAFE,1,current,50000,170.0844,0.88029003,-0.19071546,1.34974265,-0.02866197,1.57079637,0.88068253,0.34958674,-0.07598762,-0.08857169,-0.01120048,0.00000000,0.34859856
18,3.101355,1786951056.370579,3628,50000,0,3628,18,1819,0.004961,0.223597,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.046605,0.067019,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.482056,,0,1.000000,SAFE,1,current,50000,177.1650,0.92782766,-0.20379198,1.33447635,-0.03049598,1.57079637,0.92806607,0.27715437,-0.07623883,-0.08900574,-0.01069268,0.00000000,0.27625606
19,3.280510,1786951056.547762,3517,50000,0,3517,31,1787,0.008814,0.222381,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.023209,0.030698,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.457481,,0,1.000000,SAFE,1,current,50000,177.7736,0.96414852,-0.21763511,1.31831133,-0.03240703,1.57079637,0.96425855,0.20273411,-0.07726896,-0.09022914,-0.01066697,0.00000000,0.20201748
