frame,t_s,track_id,age,center_x,center_y,center_z,instant_speed_m_s,window_speed_m_s,median_speed_m_s,raw_cluster_speed_m_s,window_velocity_x_m_s,window_velocity_y_m_s,window_velocity_z_m_s,raw_window_speed_m_s,filtered_speed_m_s,raw_window_velocity_x_m_s,raw_window_velocity_y_m_s,raw_window_velocity_z_m_s,velocity_ema_alpha,cluster_radius_raw_m,tracked_radius_m,risk_radius_m,raw_radius_m,association_error_m,valid_streak,dynamic_state,prediction_ready,dynamic_valid,block_reason
35,6.248728,1,1,0.524617,-0.480467,0.362230,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000,0.091181,0.105105,0.160105,0.091181,0.012215,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
36,6.429535,1,2,0.558974,-0.470093,0.374182,0.018830,0.135991,0.135991,0.181891,0.123516,0.037294,0.042972,0.209217,0.135991,0.190024,0.057376,0.066110,0.650,0.093241,0.111021,0.166021,0.093241,0.017909,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
37,6.615499,1,3,0.544805,-0.462872,0.364726,0.000000,0.118570,0.118570,0.086799,0.106347,0.040008,0.033890,0.073647,0.118570,0.055279,0.048180,0.006836,0.250,0.096352,0.109744,0.164744,0.096352,0.022655,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
38,6.796112,1,4,0.545724,-0.459949,0.368670,0.000000,0.098732,0.098732,0.051222,0.086468,0.039441,0.026752,0.055185,0.098732,0.038655,0.037576,0.011796,0.250,0.097980,0.117222,0.172222,0.097980,0.015279,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
39,6.976854,1,5,0.554610,-0.453718,0.368584,0.010528,0.083604,0.083604,0.090864,0.071258,0.038329,0.021044,0.055977,0.083604,0.041264,0.036801,0.008742,0.250,0.106031,0.118701,0.173701,0.106031,0.021686,1,1,1,0,valid_streak_not_ready
40,7.171119,1,6,0.535951,-0.444034,0.363967,0.014855,0.062503,0.062503,0.092010,0.048471,0.037073,0.013521,0.048920,0.062503,-0.031076,0.035175,-0.013789,0.250,0.102816,0.129224,0.184224,0.102816,0.030084,2,1,1,1,
41,7.362123,1,7,0.545131,-0.447686,0.367170,0.000000,0.049879,0.049879,0.041850,0.035083,0.033973,0.010148,0.020554,0.049879,0.000436,0.020288,0.003265,0.250,0.104631,0.119586,0.174586,0.104631,0.025359,3,1,1,1,
42,7.551409,1,8,0.541627,-0.435030,0.367453,0.000000,0.041263,0.041263,0.027089,0.023945,0.032846,0.007100,0.033581,0.041263,-0.005443,0.033098,-0.001616,0.250,0.106737,0.129137,0.184137,0.106737,0.030333,4,1,1,1,
43,7.736696,1,9,0.561713,-0.432033,0.370678,0.012924,0.038169,0.038169,0.050221,0.020490,0.031576,0.006323,0.030431,0.038169,0.009433,0.028798,0.002782,0.250,0.107952,0.128388,0.183388,0.107952,0.021246,5,1,1,1,
44,7.910179,1,10,0.551012,-0.412521,0.366530,0.022885,0.045556,0.045556,0.130537,0.023600,0.038608,0.005276,0.047248,0.045556,0.020318,0.042515,0.003458,0.650,0.114876,0.139741,0.194741,0.114876,0.022281,6,1,1,1,
