frame,t_s,track_id,age,center_x,center_y,center_z,instant_speed_m_s,window_speed_m_s,median_speed_m_s,raw_cluster_speed_m_s,window_velocity_x_m_s,window_velocity_y_m_s,window_velocity_z_m_s,cluster_radius_raw_m,tracked_radius_m,risk_radius_m,raw_radius_m,association_error_m,valid_streak,dynamic_state,prediction_ready,dynamic_valid,block_reason
44,5.953955,6,6,0.686884,-0.363108,0.388525,0.058284,0.094619,0.094619,0.114068,-0.091730,-0.008572,-0.021557,0.141147,0.167240,0.222240,0.141147,0.038777,2,1,1,1,
45,6.094663,6,7,0.678763,-0.367175,0.390272,0.063542,0.077421,0.077421,0.129400,-0.069568,-0.032709,-0.009186,0.139557,0.171240,0.226240,0.139557,0.032179,3,1,1,1,
46,6.227521,6,8,0.664660,-0.362186,0.385760,0.069970,0.097959,0.097959,0.106622,-0.096041,-0.010262,-0.016331,0.141812,0.187256,0.242256,0.141812,0.029397,4,1,1,1,
47,6.375143,6,9,0.666491,-0.362075,0.391760,0.064283,0.064964,0.064964,0.056976,-0.064776,0.000754,-0.004877,0.140871,0.174162,0.229162,0.140871,0.021380,5,1,1,1,
48,6.501966,6,10,0.652119,-0.360289,0.386890,0.066077,0.063365,0.063365,0.121430,-0.063088,0.005117,-0.002967,0.136899,0.173790,0.228790,0.136899,0.026179,6,1,1,1,
49,6.627988,6,11,0.634367,-0.360690,0.384760,0.074922,0.084481,0.084481,0.138726,-0.082970,0.012120,-0.010302,0.144386,0.184025,0.239025,0.144386,0.025773,7,1,1,1,
50,6.768777,6,12,0.617009,-0.369133,0.390547,0.081615,0.089179,0.089179,0.116266,-0.087813,-0.012802,0.008822,0.144293,0.183608,0.238608,0.144293,0.030049,8,1,1,1,
51,6.904144,6,13,0.615679,-0.361800,0.375529,0.079301,0.099104,0.099104,0.124817,-0.094403,0.000511,-0.030155,0.144027,0.189676,0.244676,0.144027,0.020113,9,1,1,1,
52,7.045291,6,14,0.596471,-0.376546,0.384745,0.083555,0.106786,0.106786,0.139550,-0.102432,-0.029924,-0.003948,0.139787,0.179574,0.234574,0.139787,0.027790,10,1,1,1,
53,7.188471,6,15,0.567204,-0.374532,0.381480,0.096590,0.123018,0.123018,0.138262,-0.120348,-0.024803,-0.005876,0.138290,0.172572,0.227572,0.138290,0.035901,11,1,1,1,
54,7.328400,6,16,0.564638,-0.375018,0.380360,0.095631,0.095886,0.095886,0.103006,-0.093554,-0.010513,-0.018198,0.141283,0.183805,0.238805,0.141283,0.026171,12,1,1,1,
55,7.468462,6,17,0.561267,-0.368572,0.378096,0.088480,0.097464,0.097464,0.083994,-0.096612,-0.012025,0.004557,0.139921,0.175601,0.230601,0.139921,0.018138,13,1,1,1,
56,7.609307,6,18,0.547084,-0.380847,0.378873,0.087289,0.088710,0.088710,0.048725,-0.087762,-0.007644,-0.010435,0.141861,0.174167,0.229167,0.141861,0.027906,14,1,1,1,
57,7.747847,6,19,0.550657,-0.370087,0.373373,0.075990,0.033704,0.033704,0.023922,-0.029422,0.007904,-0.014416,0.142272,0.178543,0.233543,0.142272,0.025997,15,1,1,1,
58,7.875796,6,20,0.547369,-0.372886,0.371339,0.067439,0.035767,0.035767,0.040489,-0.031514,0.003891,-0.016462,0.142650,0.177641,0.232641,0.142650,0.028197,16,1,1,1,
59,8.005380,6,21,0.550929,-0.376290,0.378161,0.000000,0.024386,0.024386,0.022410,-0.019541,-0.014588,0.000124,0.139175,0.180146,0.235146,0.139175,0.020508,0,0,0,0,"speed_ok,valid_streak_not_ready"
