frame,timestamp,scene_points,robot_points,cluster_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_points,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,risk_state_current,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad
0,1786089572.710051,0,50000,0,,,,0,,,,SAFE,0.86983252,-0.42900157,1.02396309,-0.11782440,1.57078528,0.86984718
1,1786089572.830796,2257,50000,1,0.170092,upperArm_Link,0,274,0.674365,-0.012406,0.398424,SAFE,0.86983252,-0.42900157,1.02396309,-0.11782440,1.57078528,0.86984718
2,1786089572.984849,2205,50000,1,0.141970,upperArm_Link,0,273,0.664677,-0.012949,0.396008,WARNING,0.86983252,-0.42900157,1.02396309,-0.11782440,1.57078528,0.86984718
3,1786089573.113561,2250,50000,1,0.172357,upperArm_Link,0,262,0.683810,-0.008593,0.405440,SAFE,0.86983252,-0.42900157,1.02396309,-0.11782440,1.57078528,0.86984718
4,1786089573.240927,2266,50000,1,0.174397,upperArm_Link,0,248,0.683082,-0.007494,0.401697,SAFE,0.86983252,-0.42900157,1.02396309,-0.11782440,1.57078528,0.86984718
5,1786089573.368959,2380,50000,1,0.147019,upperArm_Link,0,280,0.672998,-0.012169,0.395363,WARNING,0.86983252,-0.42900157,1.02396309,-0.11782440,1.57078528,0.86984718
6,1786089573.499668,2334,50000,1,0.166739,upperArm_Link,0,280,0.678552,-0.010305,0.401738,SAFE,0.86983252,-0.42900157,1.02396309,-0.11782440,1.57078528,0.86984718
7,1786089573.623082,2338,50000,1,0.130184,upperArm_Link,0,321,0.668922,-0.008737,0.400925,WARNING,0.86983252,-0.42900157,1.02396309,-0.11782440,1.57078528,0.86984718
8,1786089573.754314,2425,50000,1,0.159562,upperArm_Link,0,291,0.677105,-0.008789,0.400364,SAFE,0.86983252,-0.42900157,1.02396309,-0.11782440,1.57078528,0.86984718
9,1786089573.888214,2398,50000,1,0.175185,upperArm_Link,0,247,0.680405,-0.009892,0.405744,SAFE,0.86983252,-0.42900157,1.02396309,-0.11782440,1.57078528,0.86984718
10,1786089574.020304,2377,50000,1,0.153711,upperArm_Link,0,286,0.670914,-0.012816,0.393698,SAFE,0.86983252,-0.42900157,1.02396309,-0.11782440,1.57078528,0.86984718
11,1786089574.159564,2401,50000,1,0.171323,upperArm_Link,0,262,0.687482,-0.009468,0.403056,SAFE,0.86983252,-0.42900157,1.02396309,-0.11782440,1.57078528,0.86984718
12,1786089574.300393,2408,50000,1,0.132617,upperArm_Link,0,272,0.665395,-0.011742,0.396129,WARNING,0.86983252,-0.42900157,1.02396309,-0.11782440,1.57078528,0.86984718
13,1786089574.440420,2369,50000,1,0.172645,upperArm_Link,0,269,0.669068,-0.012140,0.404883,SAFE,0.86983252,-0.42900157,1.02396309,-0.11782440,1.57078528,0.86984718
14,1786089574.573858,2457,50000,1,0.143520,upperArm_Link,0,298,0.676134,-0.011058,0.400466,WARNING,0.86983252,-0.42900157,1.02396309,-0.11782440,1.57078528,0.86984718
