frame,t_s,timestamp,scene_points,robot_points,cluster_count,raw_point_count,roi_point_count,safety_roi_point_count,rho_retain,table_z_m,table_plane_valid,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_raw_speed_m_s,predicted_object_filtered_speed_m_s,predicted_object_raw_velocity_x_m_s,predicted_object_raw_velocity_y_m_s,predicted_object_raw_velocity_z_m_s,predicted_object_velocity_ema_alpha,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.098856,1786968940.295885,0,50000,0,0,0,0,0.000000,,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.591001,0.994846,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,99.8933,0.00000000,0.00000000,1.57079637,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.213402,1786968940.395814,2936,50000,0,2936,36,1698,0.012262,0.223187,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.590990,0.994824,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.362830,,0,1.000000,SAFE,1,current,50000,222.2908,0.00002201,-0.00001834,1.57079637,-0.00001100,1.57079637,0.00001834,0.00019213,-0.00016011,0.00000000,-0.00009607,0.00000000,0.00016011
2,0.395013,1786968940.618122,3161,50000,0,3161,33,1678,0.010440,0.222413,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.588908,0.990837,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.359061,,0,1.000000,SAFE,1,current,50000,156.8641,0.00403116,-0.00402383,1.56684947,-0.00171297,1.57079637,0.00400549,0.02207552,-0.02205533,-0.02173273,-0.00937149,0.00000000,0.02195434
3,0.563796,1786968940.775005,3293,50000,0,3293,37,1690,0.011236,0.224339,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.581699,0.976106,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.373250,,0,1.000000,SAFE,1,current,50000,181.1710,0.01873996,-0.01533969,1.55436730,-0.00364969,1.57079637,0.01887567,0.08714593,-0.06704369,-0.07395373,-0.01147458,0.00000000,0.08810214
4,0.743103,1786968940.956197,3233,50000,0,3233,35,1710,0.010826,0.224071,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.566836,0.947056,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.390434,,0,1.000000,SAFE,1,current,50000,182.3137,0.04779074,-0.02917916,1.53826094,-0.00558641,1.57079637,0.04798881,0.16201730,-0.07718324,-0.08982581,-0.01080115,0.00000000,0.16236505
5,0.928736,1786968941.138528,3004,50000,0,3004,46,1697,0.015313,0.223834,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.543422,0.902676,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.410212,,0,1.000000,SAFE,1,current,50000,177.8477,0.09217021,-0.04340744,1.52168870,-0.00760382,1.57079637,0.09241230,0.23907003,-0.07664705,-0.08927383,-0.01086772,0.00000000,0.23930717
6,1.099751,1786968941.316395,2657,50000,0,2657,22,1604,0.008280,0.224653,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.514220,0.849016,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.426719,,0,1.000000,SAFE,1,current,50000,190.0217,0.14582980,-0.05650230,1.50639665,-0.00950753,1.57079637,0.14624062,0.31377193,-0.07657159,-0.08941954,-0.01113183,0.00000000,0.31475859
7,1.294727,1786968941.506446,2510,50000,0,2510,28,1711,0.011155,0.224167,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.471471,0.772868,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.462052,,0,1.000000,SAFE,1,current,50000,172.9528,0.22197805,-0.07147886,1.48888564,-0.01163865,1.57079637,0.22261629,0.39055296,-0.07681249,-0.08981134,-0.01093021,0.00000000,0.39171929
8,1.465386,1786968941.679417,2540,50000,0,2540,21,1711,0.008268,0.223698,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.427813,0.699552,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.454922,,0,1.000000,SAFE,1,current,50000,187.1221,0.29529458,-0.08456272,1.47366703,-0.01348734,1.57079637,0.29620427,0.42960817,-0.07666666,-0.08917555,-0.01083263,0.00000000,0.43119880
9,1.648925,1786968941.866559,2603,50000,0,2603,17,1739,0.006531,0.222604,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.381305,0.618862,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.443544,,0,1.000000,SAFE,1,current,50000,167.3068,0.37598389,-0.09879833,1.45699942,-0.01552676,1.57079637,0.37694860,0.43962992,-0.07756173,-0.09081225,-0.01111166,0.00000000,0.43992967
