frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.111347,1786348322.722008,0,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,111.7114,0.00000000,0.00000000,1.57080007,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.218655,1786348322.833755,2722,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,157.9222,0.00000000,-0.00004035,1.57078171,-0.00003301,1.57079637,0.00000000,0.00000000,-0.00037600,-0.00017108,-0.00030764,0.00000000,0.00000000
2,0.348777,1786348322.991696,2732,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,128.8517,0.00000000,-0.00231819,1.56854045,-0.00164328,1.57079637,0.00000000,0.00000000,-0.01750557,-0.01722436,-0.01237511,0.00000000,0.00000000
3,0.482197,1786348323.120568,2689,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,134.3567,0.00000000,-0.01025581,1.56044888,-0.00421823,1.57079637,0.00000000,0.00000000,-0.05949326,-0.06064718,-0.01929957,0.00000000,0.00000000
4,0.610905,1786348323.254944,2633,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,128.9070,0.00000000,-0.02540843,1.54534018,-0.00657677,1.57079637,0.00000000,0.00000000,-0.11772843,-0.11738720,-0.01832471,0.00000000,0.00000000
5,0.746850,1786348323.383870,2708,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,132.3438,-0.00000367,-0.04816487,1.52189052,-0.00910405,1.57079637,0.00000000,-0.00002698,-0.16739482,-0.17249407,-0.01859043,0.00000000,0.00000000
6,0.878332,1786348323.516272,2752,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,137.3299,0.00000000,-0.07492314,1.49096167,-0.01163132,1.57079637,0.00000000,0.00002790,-0.20351190,-0.23523156,-0.01922134,0.00000000,0.00000000
7,1.011127,1786348323.653632,2581,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.8009,0.00000000,-0.10129993,1.45648956,-0.01399720,1.57079637,0.00000000,0.00000000,-0.19862800,-0.25958904,-0.01781603,0.00000000,0.00000000
8,1.146250,1786348323.783453,2647,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,136.9136,0.00000000,-0.12873311,1.42021644,-0.01652447,1.57079637,0.00000000,0.00000000,-0.20302512,-0.26844701,-0.01870361,0.00000000,0.00000000
9,1.285705,1786348323.920386,2738,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,136.1851,0.00000000,-0.15691456,1.38638628,-0.01906641,1.57079637,0.00000000,0.00000000,-0.20208190,-0.24258739,-0.01822761,0.00000000,0.00000000
