frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.091637,1786348359.425417,0,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,92.0499,0.00000000,0.00000000,1.57080007,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.197802,1786348359.517499,2612,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,174.8591,0.00000000,0.00000734,1.57080364,-0.00000367,1.57079637,0.00000000,0.00000000,0.00006910,0.00003369,-0.00003455,0.00000000,0.00000000
2,0.345299,1786348359.692387,2525,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.7746,0.00000000,-0.00217147,1.56877148,-0.00155524,1.57079637,0.00000000,0.00000000,-0.01477182,-0.01377758,-0.01051933,0.00000000,0.00000000
3,0.488762,1786348359.822194,2720,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,143.0940,0.00000000,-0.01073265,1.55999398,-0.00431360,1.57079637,0.00000000,0.00000000,-0.05967515,-0.06118301,-0.01922696,0.00000000,0.00000000
4,0.623380,1786348359.965327,2702,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,131.7217,-0.00000367,-0.02690499,1.54383266,-0.00677118,1.57079637,0.00000000,-0.00002725,-0.12013535,-0.12005353,-0.01825599,0.00000000,0.00000000
5,0.749215,1786348360.097068,2624,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.3337,0.00000000,-0.04818322,1.52185023,-0.00910405,1.57079637,0.00000000,0.00002915,-0.16909547,-0.17469167,-0.01853899,0.00000000,0.00000000
6,0.879749,1786348360.226431,2621,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,128.5506,0.00000000,-0.07495249,1.49089563,-0.01163132,1.57079637,0.00000000,0.00000000,-0.20507606,-0.23713933,-0.01936111,0.00000000,0.00000000
7,1.007367,1786348360.355015,2687,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.2974,0.00000000,-0.10039026,1.45785046,-0.01390549,1.57079637,0.00000000,0.00000000,-0.19932787,-0.25893871,-0.01782023,0.00000000,0.00000000
8,1.138107,1786348360.484331,2588,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,130.4738,0.00000000,-0.12674505,1.42282438,-0.01631906,1.57079637,0.00000000,0.00000000,-0.20158076,-0.26790518,-0.01846071,0.00000000,0.00000000
9,1.274173,1786348360.614838,2650,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,133.2091,0.00000000,-0.15402049,1.38963974,-0.01880965,1.57079637,0.00000000,0.00000000,-0.20045693,-0.24388577,-0.01830424,0.00000000,0.00000000
10,1.410302,1786348360.748080,2683,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,130.9606,0.00000000,-0.17948762,1.36269438,-0.02135893,1.57079637,0.00000000,0.00000000,-0.18708106,-0.19794007,-0.01872695,0.00000000,0.00000000
11,1.539678,1786348360.879071,2699,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.4486,0.00000000,-0.19675303,1.34548032,-0.02383485,1.57079637,0.00000000,0.00000000,-0.13345146,-0.13305456,-0.01913741,0.00000000,0.00000000
12,1.663231,1786348361.008550,2562,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,136.8060,0.00000000,-0.20607349,1.33620393,-0.02596230,1.57079637,0.00000000,0.00000000,-0.07543699,-0.07508024,-0.01721897,0.00000000,0.00000000
13,1.799380,1786348361.145375,2600,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,121.1648,0.00000000,-0.20981486,1.33242226,-0.02819613,1.57079637,0.00000000,0.00000000,-0.02747997,-0.02777602,-0.01640723,0.00000000,0.00000000
14,1.918759,1786348361.266559,2577,50000,1,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.0529,0.00000000,-0.21020001,1.33209574,-0.02857761,1.57079637,0.00000000,0.00000000,-0.00322630,-0.00273512,-0.00319551,0.00000000,0.00000000
15,2.052125,1786348361.395642,2535,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.190998,,,1,1.000000,SAFE,0,current,50000,131.9596,0.00000000,-0.21022569,1.33205533,-0.02858494,1.57079637,0.00000000,0.00000000,-0.00019251,-0.00030301,-0.00005501,0.00000000,0.00000000
16,2.187504,1786348361.527621,2617,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.190817,,,1,1.000000,SAFE,0,current,50000,130.5758,0.00016139,-0.21018167,1.33206272,-0.02858127,1.57079637,0.00010270,0.00119216,0.00032515,0.00005459,0.00002710,0.00000000,0.00075865
17,2.313095,1786348361.658216,2562,50000,1,0,0,,,,,,,,,,SAFE,SAFE,,-0.189940,,,1,1.000000,SAFE,0,current,50000,131.3744,0.00140485,-0.20971216,1.33256888,-0.02854826,1.57079637,0.00139018,0.00990088,0.00373837,0.00403025,0.00026284,0.00000000,0.01025136
18,2.448835,1786348361.789609,2663,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.187794,,,1,1.000000,SAFE,0,current,50000,136.8097,0.00421823,-0.20852374,1.33418286,-0.02823648,1.57079637,0.00420723,0.02072615,0.00875514,0.01189015,0.00229690,0.00000000,0.02075317
19,2.584056,1786348361.926449,2614,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.185532,,,1,1.000000,SAFE,0,current,50000,131.7063,0.00830808,-0.20686211,1.33635068,-0.02765693,1.57079637,0.00833743,0.03024575,0.01228827,0.01603173,0.00428595,0.00000000,0.03054414
20,2.720479,1786348362.058174,2620,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.183044,,,1,1.000000,SAFE,0,current,50000,131.4715,0.01270972,-0.20509779,1.33845615,-0.02717275,1.57079637,0.01277207,0.03226452,0.01293263,0.01543339,0.00354911,0.00000000,0.03250651
21,2.850417,1786348362.189676,2672,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.179941,,,1,1.000000,SAFE,0,current,50000,125.7783,0.01751850,-0.20321977,1.34086967,-0.02668490,1.57079637,0.01754051,0.03700829,0.01445322,0.01857432,0.00375446,0.00000000,0.03669777
22,2.968687,1786348362.315483,2596,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.177532,,,1,1.000000,SAFE,0,current,50000,131.6731,0.02147263,-0.20171586,1.34279168,-0.02629609,1.57079637,0.02144329,0.03343309,0.01271594,0.01625104,0.00328748,0.00000000,0.03299890
23,3.103164,1786348362.447175,2629,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.174731,,,1,1.000000,SAFE,0,current,50000,130.3802,0.02607234,-0.19995888,1.34499252,-0.02585593,1.57079637,0.02607234,0.03420445,0.01306530,0.01636595,0.00327314,0.00000000,0.03442265
24,3.230916,1786348362.577600,2613,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.172336,,,1,1.000000,SAFE,0,current,50000,139.6970,0.03054734,-0.19828627,1.34714198,-0.02543411,1.57079637,0.03054000,0.03502880,0.01309265,0.01682530,0.00330190,0.00000000,0.03497138
25,3.371529,1786348362.717328,2555,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.169838,,,1,1.000000,SAFE,0,current,50000,130.9674,0.03537079,-0.19653662,1.34928775,-0.02498294,1.57079637,0.03533411,0.03430314,0.01244304,0.01526013,0.00320859,0.00000000,0.03409445
26,3.502847,1786348362.848325,2641,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.166836,,,1,1.000000,SAFE,0,current,50000,129.9253,0.03983845,-0.19491167,1.35131991,-0.02457579,1.57079637,0.03984946,0.03402164,0.01237408,0.01547509,0.00310049,0.00000000,0.03438475
27,3.632828,1786348362.978270,2612,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.164335,,,1,1.000000,SAFE,0,current,50000,130.4790,0.04429878,-0.19330141,1.35331523,-0.02417230,1.57079256,0.04436113,0.03431515,0.01238844,0.01535088,0.00310418,-0.00002935,0.03471024
28,3.766761,1786348363.108779,2763,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.161942,,,1,1.000000,SAFE,0,current,50000,132.3028,0.04896084,-0.19172417,1.35537314,-0.02376148,1.57079637,0.04899752,0.03480894,0.01177637,0.01536523,0.00306735,0.00002848,0.03461724
29,3.897774,1786348363.241111,2679,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.158839,,,1,1.000000,SAFE,0,current,50000,131.9974,0.05347251,-0.19014324,1.35729516,-0.02337634,1.57079637,0.05343950,0.03443672,0.01206688,0.01467034,0.00293972,0.00000000,0.03390477
30,4.025420,1786348363.373128,2631,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.157031,,,1,1.000000,SAFE,0,current,50000,116.4946,0.05795484,-0.18861733,1.35911441,-0.02300954,1.57079637,0.05793650,0.03511548,0.01195428,0.01425240,0.00287361,0.00000000,0.03523044
31,4.145149,1786348363.489652,2664,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.153937,,,1,1.000000,SAFE,0,current,50000,130.4082,0.06209971,-0.18724549,1.36090803,-0.02266841,1.57079637,0.06208871,0.03461870,0.01145789,0.01498065,0.00284913,0.00000000,0.03467994
32,4.278073,1786348363.620079,2625,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.151538,,,1,1.000000,SAFE,0,current,50000,129.4742,0.06661139,-0.18578196,1.36274934,-0.02230895,1.57079637,0.06657838,0.03394169,0.01101028,0.01385230,0.00270429,0.00000000,0.03377617
33,4.408884,1786348363.749573,2580,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.149031,,,1,1.000000,SAFE,0,current,50000,132.8415,0.07111573,-0.18433307,1.36443675,-0.02196415,1.57079637,0.07111573,0.03443415,0.01107622,0.01289964,0.00263583,0.00000000,0.03468647
