frame,t_s,cluster_index,dynamic_prefilter_ok,point_count,center_x,center_y,center_z,raw_radius_m,bbox_dx_m,bbox_dy_m,bbox_dz_m,raw_centroid_speed_m_s
49,6.541556,0,0,288,0.648771,-0.519570,0.397033,0.134475,0.107808,0.217630,0.255716,0.056286
50,6.671610,0,0,300,0.648143,-0.523308,0.393431,0.144150,0.117692,0.250737,0.251704,0.039203
51,6.803800,0,0,286,0.651802,-0.513990,0.396538,0.137492,0.101408,0.251165,0.248224,0.079645
52,6.929704,0,0,295,0.648722,-0.510560,0.393089,0.140471,0.116477,0.244983,0.251530,0.045963
53,7.056023,0,0,299,0.649657,-0.507811,0.405171,0.139587,0.101752,0.224105,0.253904,0.096328
54,7.190687,0,0,319,0.649611,-0.495521,0.402611,0.140578,0.129817,0.251565,0.258816,0.095885
55,7.320759,0,0,317,0.649271,-0.486507,0.407606,0.139230,0.148796,0.227853,0.240767,0.077517
56,7.440733,0,0,339,0.649735,-0.482177,0.395891,0.149245,0.127751,0.246770,0.254661,0.105268
57,7.556188,0,0,304,0.652276,-0.473071,0.397177,0.144239,0.129047,0.232000,0.261199,0.080748
58,7.695063,0,0,312,0.650098,-0.469290,0.398699,0.145658,0.127483,0.237038,0.262419,0.035234
59,7.830710,0,0,296,0.652995,-0.465719,0.396330,0.140797,0.133371,0.237699,0.255563,0.038447
60,7.958840,0,0,304,0.653928,-0.463188,0.401872,0.142357,0.109812,0.249951,0.256868,0.046770
61,8.095726,0,0,316,0.650501,-0.461554,0.399646,0.144871,0.130478,0.252102,0.261710,0.032401
62,8.224711,0,0,317,0.653275,-0.450098,0.391394,0.147420,0.142414,0.256100,0.263239,0.106653
63,8.357001,0,0,267,0.656066,-0.437520,0.404413,0.136850,0.108203,0.221647,0.251514,0.140244
64,8.489153,0,0,304,0.654696,-0.438044,0.395885,0.140155,0.130524,0.229501,0.248717,0.065928
65,8.615845,0,0,316,0.653565,-0.430258,0.401314,0.145679,0.130812,0.246641,0.262154,0.074804
66,8.748982,0,0,289,0.653683,-0.422401,0.408413,0.142451,0.112682,0.224579,0.245249,0.080546
67,8.880929,0,0,325,0.656436,-0.419067,0.395098,0.148465,0.133815,0.246735,0.252072,0.105221
68,9.007612,0,0,330,0.653079,-0.418080,0.392397,0.147359,0.133373,0.254631,0.253578,0.036290
69,9.139783,0,0,325,0.657280,-0.397134,0.390018,0.148471,0.163989,0.239059,0.254894,0.158727
70,9.265708,0,0,319,0.659895,-0.390750,0.399779,0.140777,0.113574,0.225851,0.251293,0.094177
71,9.386637,0,0,317,0.656613,-0.391066,0.399021,0.145324,0.135837,0.228000,0.267159,0.027291
72,9.502182,0,0,304,0.658125,-0.387257,0.403128,0.145107,0.126575,0.229532,0.258213,0.051380
73,9.632613,0,0,314,0.661120,-0.368944,0.402551,0.143902,0.128365,0.223296,0.273002,0.140517
74,9.762698,0,0,300,0.661012,-0.369674,0.403693,0.135388,0.119704,0.223190,0.243435,0.010447
75,9.894172,0,0,322,0.659130,-0.365478,0.397101,0.144812,0.134123,0.237344,0.264572,0.061299
76,10.031458,0,0,301,0.661488,-0.361138,0.398255,0.144931,0.111398,0.233379,0.263873,0.037980
77,10.169621,0,0,287,0.664324,-0.347289,0.395532,0.144523,0.156281,0.225012,0.257539,0.107719
78,10.293593,0,0,301,0.658420,-0.347783,0.395643,0.146113,0.130563,0.238254,0.272636,0.044592
79,10.424879,0,0,307,0.664361,-0.342594,0.398505,0.143313,0.147695,0.242549,0.260370,0.064757
80,10.553744,0,0,297,0.662812,-0.335036,0.402136,0.142936,0.151320,0.233399,0.246771,0.067448
81,10.697378,0,0,318,0.663820,-0.328655,0.398082,0.142584,0.130152,0.229811,0.250134,0.052731
81,10.697378,1,1,31,-0.926646,0.153304,0.044401,0.067225,0.112112,0.058276,0.109604,
82,10.829287,0,0,322,0.663559,-0.325558,0.399822,0.145487,0.145862,0.237679,0.258976,0.026964
83,10.967009,0,0,308,0.663991,-0.325034,0.407684,0.139684,0.126372,0.234786,0.258120,0.059738
84,11.094645,0,0,308,0.664961,-0.316746,0.398655,0.145365,0.112236,0.225186,0.256705,0.092424
