frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.096904,1786347775.533488,0,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,97.2878,0.00000000,0.00000000,1.57080007,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.198319,1786347775.630841,2655,50000,1,0,0,0.330074,left_link,0,0.632793,-0.605661,0.351169,,,,SAFE,SAFE,,0.000000,0.342053,,0,1.000000,SAFE,1,current,50000,175.3185,0.00000000,0.00001100,1.57080734,0.00000000,1.57079637,0.00000000,0.00000000,0.00010851,0.00007170,0.00000000,0.00000000,0.00000000
2,0.350789,1786347775.806183,2648,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,128.3567,0.00000000,-0.00200274,1.56894767,-0.00144520,1.57079637,0.00000000,0.00000000,-0.01320748,-0.01219691,-0.00947860,0.00000000,0.00000000
3,0.480684,1786347775.934558,2736,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,134.4827,0.00000000,-0.00940482,1.56133652,-0.00402016,1.57079637,0.00000000,0.00000000,-0.05698519,-0.05859476,-0.01982339,0.00000000,0.00000000
4,0.613654,1786347776.069070,2739,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.5913,0.00000000,-0.02398524,1.54676700,-0.00638970,1.57079637,0.00000000,0.00000000,-0.10965224,-0.10957032,-0.01782021,0.00000000,0.00000000
5,0.746144,1786347776.198681,2635,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,133.1165,0.00000000,-0.04630152,1.52388227,-0.00891698,1.57079637,0.00000000,0.00000000,-0.16843648,-0.17272694,-0.01907507,0.00000000,0.00000000
6,0.877495,1786347776.331817,2664,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,131.6005,0.00000000,-0.07189702,1.49471784,-0.01136355,1.57079637,0.00000000,0.00000000,-0.19486320,-0.22203410,-0.01862622,0.00000000,0.00000000
7,1.011374,1786347776.463438,2703,50000,1,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,125.3671,0.00000000,-0.09926784,1.45929563,-0.01381379,1.57079637,0.00000000,0.00000000,-0.20444448,-0.26458378,-0.01830192,0.00000000,0.00000000
8,1.134694,1786347776.588824,2775,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,141.5695,0.00000000,-0.12466894,1.42551303,-0.01613932,1.57079637,0.00000000,0.00000000,-0.20597873,-0.27394472,-0.01885783,0.00000000,0.00000000
9,1.279653,1786347776.730414,2727,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,132.3211,0.00000000,-0.15398015,1.38969839,-0.01881698,1.57079637,0.00000000,0.00000000,-0.20220244,-0.24706616,-0.01847175,0.00000000,0.00000000
10,1.394232,1786347776.862755,2603,50000,2,0,0,0.336456,left_link,0,0.637242,-0.607769,0.352890,,,,SAFE,SAFE,,0.000000,0.350402,,0,1.000000,SAFE,1,current,50000,142.9682,0.00000000,-0.17530973,1.36692357,-0.02088942,1.57079637,0.00000000,0.00000000,-0.18615591,-0.19876932,-0.01808738,0.00000000,0.00000000
11,1.551528,1786347777.005743,2673,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,130.8684,0.00000000,-0.19673468,1.34550238,-0.02383118,1.57079637,0.00000000,0.00000000,-0.13620834,-0.13618446,-0.01870212,0.00000000,0.00000000
12,1.681074,1786347777.136641,2631,50000,1,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.5742,0.00000000,-0.20653933,1.33572710,-0.02615304,1.57079637,0.00000000,0.00000000,-0.07568441,-0.07545770,-0.01792301,0.00000000,0.00000000
13,1.810790,1786347777.266246,2563,50000,1,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,128.8181,0.00000000,-0.20986256,1.33238554,-0.02824382,1.57079637,0.00000000,0.00000000,-0.02561936,-0.02576065,-0.01611816,0.00000000,0.00000000
14,1.941691,1786347777.395094,2621,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,127.8233,0.00000000,-0.21020369,1.33208835,-0.02857761,1.57079637,0.00000000,0.00000000,-0.00260603,-0.00227033,-0.00254994,0.00000000,0.00000000
15,2.075836,1786347777.522937,2664,50000,1,0,0,,,,,,,,,,SAFE,SAFE,,-0.191000,,,1,1.000000,SAFE,0,current,50000,134.8721,0.00000000,-0.21022204,1.33206272,-0.02858494,1.57079637,0.00000000,0.00000000,-0.00013674,-0.00019106,-0.00005469,0.00000000,0.00000000
16,2.205644,1786347777.657828,2654,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.190705,,,1,1.000000,SAFE,0,current,50000,129.3950,0.00018707,-0.21016701,1.33207381,-0.02858127,1.57079637,0.00011738,0.00144112,0.00042393,0.00008541,0.00002827,0.00000000,0.00090423
17,2.344140,1786347777.787243,2736,50000,1,0,0,,,,,,,,,,SAFE,SAFE,,-0.189729,,,1,1.000000,SAFE,0,current,50000,139.3420,0.00171664,-0.20956178,1.33274865,-0.02852992,1.57079637,0.00171297,0.01104415,0.00436999,0.00487267,0.00037077,0.00000000,0.01152087
18,2.471304,1786347777.926616,2747,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.187966,,,1,1.000000,SAFE,0,current,50000,129.3019,0.00447866,-0.20840636,1.33432591,-0.02819246,1.57079637,0.00448233,0.02172029,0.00908612,0.01240340,0.00265376,0.00000000,0.02177798
19,2.601286,1786347778.055938,2617,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.185043,,,1,1.000000,SAFE,0,current,50000,129.1972,0.00846581,-0.20679609,1.33643496,-0.02763859,1.57079637,0.00849515,0.03067458,0.01238835,0.01622570,0.00426113,0.00000000,0.03087212
20,2.731202,1786347778.185155,2642,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.182642,,,1,1.000000,SAFE,0,current,50000,129.3973,0.01287111,-0.20503177,1.33853316,-0.02715808,1.57079637,0.01293714,0.03390877,0.01358049,0.01615042,0.00369863,0.00000000,0.03419110
21,2.858666,1786347778.314572,2659,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.180140,,,1,1.000000,SAFE,0,current,50000,127.9145,0.01717004,-0.20335181,1.34067523,-0.02671792,1.57079637,0.01719572,0.03372649,0.01317981,0.01680525,0.00345323,0.00000000,0.03340995
22,2.988677,1786347778.442506,2636,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.177729,,,1,1.000000,SAFE,0,current,50000,130.3152,0.02164503,-0.20164984,1.34285772,-0.02628142,1.57079637,0.02161569,0.03442015,0.01309095,0.01678693,0.00335737,0.00000000,0.03399694
23,3.120815,1786347778.572840,2712,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.174630,,,1,1.000000,SAFE,0,current,50000,133.5094,0.02624841,-0.19989653,1.34505856,-0.02584126,1.57079637,0.02623740,0.03483769,0.01326884,0.01665566,0.00333111,0.00000000,0.03497649
24,3.253255,1786347778.706381,2691,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.172234,,,1,1.000000,SAFE,0,current,50000,132.4025,0.03071607,-0.19822757,1.34722257,-0.02541577,1.57079637,0.03071973,0.03373343,0.01260162,0.01633951,0.00321271,0.00000000,0.03384420
