frame,timestamp,scene_points,robot_points,cluster_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_points,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,risk_state_current,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad
0,1786088932.803632,0,50000,0,,,,0,,,,SAFE,0.86983252,-0.42900524,1.02395201,-0.11783173,1.57077789,0.86985087
1,1786088932.925493,2463,50000,1,0.245915,upperArm_Link,0,259,0.699999,-0.050312,0.376872,SAFE,0.86983252,-0.42900524,1.02395201,-0.11783173,1.57077789,0.86985087
2,1786088933.098697,2160,50000,1,0.269359,left_link,0,227,0.701934,-0.057832,0.363949,SAFE,0.86983252,-0.42900524,1.02395201,-0.11783173,1.57077789,0.86985087
3,1786088933.242546,2508,50000,1,0.254582,upperArm_Link,0,291,0.699223,-0.055574,0.370152,SAFE,0.86983252,-0.42900524,1.02395201,-0.11783173,1.57077789,0.86985087
4,1786088933.376927,2467,50000,1,0.250590,upperArm_Link,0,251,0.693502,-0.054353,0.374049,SAFE,0.86983252,-0.42900524,1.02395201,-0.11783173,1.57077789,0.86985087
5,1786088933.508098,2564,50000,1,0.269657,left_link,0,267,0.694367,-0.049843,0.370948,SAFE,0.86983252,-0.42900524,1.02395201,-0.11783173,1.57077789,0.86985087
6,1786088933.646405,2523,50000,1,0.241024,upperArm_Link,0,276,0.688271,-0.050469,0.371352,SAFE,0.86983252,-0.42900524,1.02395201,-0.11783173,1.57077789,0.86985087
7,1786088933.764328,2581,50000,1,0.246117,upperArm_Link,0,268,0.694264,-0.047055,0.366659,SAFE,0.86983252,-0.42900524,1.02395201,-0.11783173,1.57077789,0.86985087
8,1786088933.895806,2499,50000,1,0.267927,left_link,0,256,0.689991,-0.050999,0.370557,SAFE,0.86983252,-0.42900524,1.02395201,-0.11783173,1.57077789,0.86985087
9,1786088934.029969,2688,50000,1,0.249607,upperArm_Link,0,268,0.695733,-0.051947,0.371214,SAFE,0.86983252,-0.42900524,1.02395201,-0.11783173,1.57077789,0.86985087
10,1786088934.159613,2692,50000,1,0.239863,upperArm_Link,0,299,0.684585,-0.052080,0.366039,SAFE,0.86983252,-0.42900524,1.02395201,-0.11783173,1.57077789,0.86985087
11,1786088934.288064,2497,50000,1,0.262762,left_link,0,257,0.691390,-0.047100,0.360274,SAFE,0.86983252,-0.42900524,1.02395201,-0.11783173,1.57077789,0.86985087
12,1786088934.418462,2565,50000,1,0.239077,upperArm_Link,0,265,0.690375,-0.048586,0.365359,SAFE,0.86983252,-0.42900524,1.02395201,-0.11783173,1.57077789,0.86985087
13,1786088934.550958,2700,50000,1,0.239549,upperArm_Link,0,286,0.688582,-0.047386,0.365931,SAFE,0.86983252,-0.42900524,1.02395201,-0.11783173,1.57077789,0.86985087
14,1786088934.683952,2550,50000,1,0.270805,left_link,0,295,0.696785,-0.055024,0.372539,SAFE,0.86983252,-0.42900524,1.02395201,-0.11783173,1.57077789,0.86985087
15,1786088934.816148,2538,50000,1,0.244625,upperArm_Link,0,256,0.693843,-0.044018,0.373016,SAFE,0.86983252,-0.42900524,1.02395201,-0.11783173,1.57077789,0.86985087
16,1786088934.951551,2556,50000,1,0.234941,upperArm_Link,0,276,0.685308,-0.049317,0.366408,SAFE,0.86983252,-0.42900524,1.02395201,-0.11783173,1.57077789,0.86985087
17,1786088935.086160,2473,50000,1,0.267981,left_link,0,228,0.701263,-0.047615,0.372008,SAFE,0.86983252,-0.42900524,1.02395201,-0.11783173,1.57077789,0.86985087
18,1786088935.215395,2571,50000,1,0.240715,upperArm_Link,0,265,0.683256,-0.044717,0.366723,SAFE,0.86983252,-0.42900524,1.02395201,-0.11783173,1.57077789,0.86985087
19,1786088935.345880,2687,50000,1,0.242905,upperArm_Link,0,294,0.695029,-0.049053,0.371366,SAFE,0.86983252,-0.42900524,1.02395201,-0.11783173,1.57077789,0.86985087
20,1786088935.483804,2612,50000,1,0.267108,left_link,0,244,0.695635,-0.044809,0.373498,SAFE,0.86983252,-0.42900524,1.02395201,-0.11783173,1.57077789,0.86985087
21,1786088935.631092,2708,50000,1,0.235154,upperArm_Link,0,259,0.689740,-0.043816,0.385431,SAFE,0.86983252,-0.42900524,1.02395201,-0.11783173,1.57077789,0.86985087
22,1786088935.764262,2659,50000,1,0.249308,upperArm_Link,0,309,0.690599,-0.056481,0.371278,SAFE,0.86983252,-0.42900524,1.02395201,-0.11783173,1.57077432,0.86985087
23,1786088935.903503,2664,50000,1,0.269300,left_link,0,277,0.694048,-0.049529,0.370525,SAFE,0.86983252,-0.42900524,1.02395201,-0.11783173,1.57077789,0.86985087
24,1786088936.041983,2613,50000,1,0.236634,upperArm_Link,0,282,0.689523,-0.050590,0.364513,SAFE,0.86983252,-0.42900524,1.02395201,-0.11783173,1.57077789,0.86985087
25,1786088936.176519,2647,50000,1,0.237501,upperArm_Link,0,292,0.690761,-0.049430,0.365426,SAFE,0.86983252,-0.42900524,1.02394831,-0.11783173,1.57077789,0.86985087
26,1786088936.309182,2545,50000,1,0.270969,left_link,0,288,0.695085,-0.055686,0.363674,SAFE,0.86983252,-0.42900524,1.02395201,-0.11783173,1.57077789,0.86985087
27,1786088936.439884,2630,50000,1,0.240085,upperArm_Link,0,293,0.692443,-0.051115,0.371474,SAFE,0.86983252,-0.42900524,1.02395201,-0.11783173,1.57077789,0.86985087
