x_offset_m,lane_x_m,center_y_m,center_z_m,speed_y_m_s,trigger_current_m,trigger_predicted_m,trigger_ok,best_coarse_m,local1_ready,fast_m,fast_ms,feasible
-0.1,0.5616191677688149,-0.2705344879104726,0.37322664049160986,0.08,0.1665161082382854,0.11517396582528547,True,0.09475265584100359,False,nan,nan,False
-0.1,0.5616191677688149,-0.2705344879104726,0.37322664049160986,0.1,0.1665161082382854,0.10515285670825875,True,0.07345558568828106,False,nan,nan,False
-0.1,0.5616191677688149,-0.2705344879104726,0.37322664049160986,0.12,0.1665161082382854,0.09518613686109242,True,0.052213842356959445,False,nan,nan,False
-0.075,0.586619167768815,-0.2705344879104726,0.37322664049160986,0.08,0.16787598295003303,0.11674368229864648,True,0.09184247478000648,False,nan,nan,False
-0.075,0.586619167768815,-0.2705344879104726,0.37322664049160986,0.1,0.16787598295003303,0.1067731749004015,True,0.059912518806571335,False,nan,nan,False
-0.075,0.586619167768815,-0.2705344879104726,0.37322664049160986,0.12,0.16787598295003303,0.09686008887359496,True,0.04026779676604658,False,nan,nan,False
-0.05,0.6116191677688149,-0.2705344879104726,0.37322664049160986,0.08,0.17104764781921716,0.12040343693796582,True,0.08896715374383288,False,nan,nan,False
-0.05,0.6116191677688149,-0.2705344879104726,0.37322664049160986,0.1,0.17104764781921716,0.11054874333875142,True,0.06959461692115781,False,nan,nan,False
-0.05,0.6116191677688149,-0.2705344879104726,0.37322664049160986,0.12,0.17104764781921716,0.10075819087988178,True,0.050577380692577,False,nan,nan,False
-0.025,0.6366191677688149,-0.2705344879104726,0.37322664049160986,0.08,0.1759818208485368,0.1260778985249341,True,0.09758117884885595,False,nan,nan,False
-0.025,0.6366191677688149,-0.2705344879104726,0.37322664049160986,0.1,0.1759818208485368,0.11639701652812434,True,0.0764847583940769,False,nan,nan,False
-0.025,0.6366191677688149,-0.2705344879104726,0.37322664049160986,0.12,0.1759818208485368,0.1057899754903214,True,0.05547824372780588,False,nan,nan,False
0.0,0.6616191677688149,-0.2705344879104726,0.37322664049160986,0.08,0.1826053076637943,0.13200343034359005,True,0.1039793679474377,False,nan,nan,False
0.0,0.6616191677688149,-0.2705344879104726,0.37322664049160986,0.1,0.1826053076637943,0.12150125323514138,True,0.08338647117694506,False,nan,nan,False
0.0,0.6616191677688149,-0.2705344879104726,0.37322664049160986,0.12,0.1826053076637943,0.11102077219192238,True,0.06296533087096057,False,nan,nan,False
0.025,0.6866191677688149,-0.2705344879104726,0.37322664049160986,0.08,0.19082606003609393,0.13891123286880394,True,0.1125224649253311,True,0.1254868375211284,45.64717900939286,True
0.025,0.6866191677688149,-0.2705344879104726,0.37322664049160986,0.1,0.19082606003609393,0.1286424404060933,True,0.0925620908177226,False,nan,nan,False
0.025,0.6866191677688149,-0.2705344879104726,0.37322664049160986,0.12,0.19082606003609393,0.11841087136047376,True,0.07286545352755211,False,nan,nan,False
0.05,0.711619167768815,-0.2705344879104726,0.37322664049160986,0.08,0.19890831577964035,0.14771419125734195,False,nan,False,nan,nan,False
0.05,0.711619167768815,-0.2705344879104726,0.37322664049160986,0.1,0.19890831577964035,0.1377267805118917,True,0.10376896960041909,False,nan,nan,False
0.05,0.711619167768815,-0.2705344879104726,0.37322664049160986,0.12,0.19890831577964035,0.12779365590749006,True,0.08488267347048473,False,nan,nan,False
0.075,0.7366191677688149,-0.2705344879104726,0.37322664049160986,0.08,0.20809825107745433,0.15825401093427846,False,nan,False,nan,nan,False
0.075,0.7366191677688149,-0.2705344879104726,0.37322664049160986,0.1,0.20809825107745433,0.14858195038070593,False,nan,False,nan,nan,False
0.075,0.7366191677688149,-0.2705344879104726,0.37322664049160986,0.12,0.20809825107745433,0.13898122821157674,True,0.09872576813102862,False,nan,nan,False
0.1,0.7616191677688149,-0.2705344879104726,0.37322664049160986,0.08,0.21874455649981478,0.170363404914787,False,nan,False,nan,nan,False
0.1,0.7616191677688149,-0.2705344879104726,0.37322664049160986,0.1,0.21874455649981478,0.16102760264384586,False,nan,False,nan,nan,False
0.1,0.7616191677688149,-0.2705344879104726,0.37322664049160986,0.12,0.21874455649981478,0.1517790175403553,False,nan,False,nan,nan,False
