frame,timestamp,scene_points,robot_points,cluster_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_points,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,risk_state_current,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad
0,1786086452.876623,0,50000,0,,,,0,,,,SAFE,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078528,0.86984348
1,1786086452.979213,2294,50000,2,0.081915,upperArm_Link,1,93,0.469969,-0.110658,0.373566,SLOW,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078528,0.86984348
2,1786086453.133459,2232,50000,2,0.075793,upperArm_Link,0,113,0.468368,-0.109355,0.370321,SLOW,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078528,0.86984348
3,1786086453.262169,2465,50000,2,0.077967,upperArm_Link,0,103,0.475430,-0.104266,0.374788,SLOW,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078528,0.86984348
4,1786086453.395843,2578,50000,2,0.070729,upperArm_Link,1,107,0.475381,-0.109453,0.372548,SLOW,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078528,0.86984348
5,1786086453.525482,2672,50000,2,0.071407,upperArm_Link,1,111,0.476247,-0.112112,0.371263,SLOW,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078528,0.86984348
6,1786086453.655187,2648,50000,1,0.303538,upperArm_Link,0,164,0.789481,-0.144666,0.379625,SAFE,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078528,0.86984348
7,1786086453.788322,2533,50000,2,0.073953,upperArm_Link,0,106,0.474830,-0.109959,0.373981,SLOW,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078528,0.86984348
8,1786086453.924278,2662,50000,2,0.075400,upperArm_Link,1,117,0.472933,-0.112267,0.369994,SLOW,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078528,0.86984348
9,1786086454.055986,2658,50000,2,0.074364,upperArm_Link,1,111,0.473880,-0.113306,0.372137,SLOW,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078528,0.86984348
10,1786086454.188235,2748,50000,1,0.074801,upperArm_Link,0,319,0.667960,-0.133690,0.366537,SLOW,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078528,0.86984348
11,1786086454.320788,2714,50000,2,0.077473,upperArm_Link,0,119,0.472204,-0.109150,0.371743,SLOW,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078528,0.86984348
12,1786086454.452043,2531,50000,2,0.084313,upperArm_Link,1,105,0.475435,-0.109060,0.373009,SLOW,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078528,0.86984348
13,1786086454.586411,2699,50000,2,0.078078,upperArm_Link,0,114,0.473638,-0.108259,0.370541,SLOW,0.86983252,-0.42900524,1.02395940,-0.11782806,1.57078528,0.86984348
14,1786086454.718675,2635,50000,2,0.077248,upperArm_Link,1,125,0.469003,-0.110642,0.372065,SLOW,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078528,0.86984718
15,1786086454.856803,2742,50000,2,0.074771,upperArm_Link,0,105,0.483116,-0.109562,0.374629,SLOW,0.86983252,-0.42900524,1.02395940,-0.11782806,1.57078528,0.86984348
16,1786086454.984659,2668,50000,2,0.075679,upperArm_Link,1,107,0.481729,-0.106712,0.373871,SLOW,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078528,0.86984348
17,1786086455.116861,2693,50000,2,0.078625,upperArm_Link,1,110,0.470602,-0.108590,0.373723,SLOW,0.86983252,-0.42900524,1.02395940,-0.11782806,1.57078528,0.86984348
18,1786086455.250041,2841,50000,2,0.078358,upperArm_Link,1,111,0.478676,-0.112717,0.372148,SLOW,0.86983252,-0.42900524,1.02395940,-0.11782806,1.57078171,0.86984348
19,1786086455.410558,2780,50000,2,0.084128,upperArm_Link,0,108,0.475838,-0.105630,0.374160,SLOW,0.86983252,-0.42900157,1.02395940,-0.11783173,1.57078528,0.86984348
20,1786086455.551493,2729,50000,2,0.079288,upperArm_Link,1,115,0.469415,-0.110086,0.371252,SLOW,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078528,0.86984348
21,1786086455.694222,2700,50000,2,0.075862,upperArm_Link,0,116,0.480306,-0.108721,0.374753,SLOW,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078528,0.86984348
22,1786086455.836017,2707,50000,2,0.075621,upperArm_Link,0,105,0.468668,-0.113412,0.370160,SLOW,0.86983252,-0.42900524,1.02395940,-0.11782806,1.57078528,0.86984348
23,1786086455.975916,2648,50000,2,0.076531,upperArm_Link,1,106,0.479558,-0.105949,0.373796,SLOW,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078528,0.86984348
24,1786086456.118827,2735,50000,2,0.077305,upperArm_Link,0,109,0.473434,-0.109507,0.372974,SLOW,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078528,0.86984348
25,1786086456.261143,2750,50000,2,0.077847,upperArm_Link,0,101,0.478397,-0.109105,0.372962,SLOW,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078528,0.86984348
26,1786086456.392710,2699,50000,2,0.078844,upperArm_Link,1,112,0.475912,-0.109205,0.373694,SLOW,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078528,0.86984348
27,1786086456.527929,2581,50000,2,0.082274,upperArm_Link,0,97,0.487588,-0.109890,0.373634,SLOW,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078528,0.86984348
28,1786086456.658331,2667,50000,2,0.075515,upperArm_Link,1,118,0.467007,-0.107488,0.372306,SLOW,0.86983979,-0.42900157,1.02395940,-0.11782806,1.57078528,0.86984348
29,1786086456.785004,2736,50000,2,0.083016,upperArm_Link,1,113,0.479773,-0.106520,0.375954,SLOW,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078528,0.86984348
30,1786086456.923329,2617,50000,2,0.088666,upperArm_Link,0,101,0.481781,-0.109114,0.373871,SLOW,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078528,0.86984348
31,1786086457.059489,2592,50000,2,0.076327,upperArm_Link,0,118,0.473816,-0.106148,0.371210,SLOW,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078528,0.86984348
32,1786086457.189197,2748,50000,2,0.074252,upperArm_Link,1,105,0.470063,-0.110160,0.374530,SLOW,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078528,0.86984348
33,1786086457.322479,2757,50000,2,0.080234,upperArm_Link,1,114,0.475457,-0.108230,0.370211,SLOW,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078528,0.86984348
34,1786086457.459937,2656,50000,2,0.080599,upperArm_Link,0,126,0.479589,-0.108705,0.373163,SLOW,0.86983979,-0.42900157,1.02395940,-0.11782806,1.57078528,0.86984348
35,1786086457.595722,2748,50000,2,0.075385,upperArm_Link,1,120,0.470038,-0.107560,0.372373,SLOW,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078528,0.86984348
36,1786086457.716738,2701,50000,1,0.358127,upperArm_Link,0,186,0.806051,-0.138515,0.380681,SAFE,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078528,0.86984348
37,1786086457.847639,2771,50000,2,0.077770,upperArm_Link,0,114,0.467795,-0.106612,0.372142,SLOW,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078528,0.86984348
