path,index,tcp_x,tcp_y,tcp_z,obstacle_clearance_m,table_clearance_m
reference,0,0.5874733859267433,0.4,0.5395647174286985,0.4070524302951065,0.1196136034670438
reference,1,0.5874733859267433,0.39333333333333337,0.5395647174286985,0.40044638373415425,0.1196136034670438
reference,2,0.5874733859267433,0.3866666666666667,0.5395647174286985,0.3938423801106976,0.1196136034670438
reference,3,0.5874733859267433,0.38,0.5395647174286985,0.3872405239455781,0.1196136034670438
reference,4,0.5874733859267433,0.37333333333333335,0.5395647174286985,0.3806409269757017,0.1196136034670438
reference,5,0.5874733859267433,0.3666666666666667,0.5395647174286985,0.37404370878426213,0.1196136034670438
reference,6,0.5874733859267433,0.36,0.5395647174286985,0.3674489974978013,0.1196136034670438
reference,7,0.5874733859267433,0.35333333333333333,0.5395647174286985,0.3608569305584714,0.1196136034670438
reference,8,0.5874733859267433,0.3466666666666667,0.5395647174286985,0.3542676555810769,0.1196136034670438
reference,9,0.5874733859267433,0.34,0.5395647174286985,0.347681331305885,0.1196136034670438
reference,10,0.5874733859267433,0.33333333333333337,0.5395647174286985,0.3410981286598352,0.1196136034670438
reference,11,0.5874733859267433,0.32666666666666666,0.5395647174286985,0.33451823194071084,0.1196136034670438
reference,12,0.5874733859267433,0.32,0.5395647174286985,0.32794184014109257,0.1196136034670438
reference,13,0.5874733859267433,0.31333333333333335,0.5395647174286985,0.3213691684315741,0.1196136034670438
reference,14,0.5874733859267433,0.3066666666666667,0.5395647174286985,0.3148004498258634,0.1196136034670438
reference,15,0.5874733859267433,0.30000000000000004,0.5395647174286985,0.30823593705410024,0.1196136034670438
reference,16,0.5874733859267433,0.29333333333333333,0.5395647174286985,0.3016759046751355,0.1196136034670438
reference,17,0.5874733859267433,0.2866666666666667,0.5395647174286985,0.29512065146375743,0.1196136034670438
reference,18,0.5874733859267433,0.28,0.5395647174286985,0.2885705031151184,0.1196136034670438
reference,19,0.5874733859267433,0.2733333333333333,0.5395647174286985,0.2820258153161186,0.1196136034670438
reference,20,0.5874733859267433,0.2666666666666667,0.5395647174286985,0.2754869772425173,0.1196136034670438
reference,21,0.5874733859267433,0.26,0.5395647174286985,0.26895441555141997,0.1196136034670438
reference,22,0.5874733859267433,0.25333333333333335,0.5395647174286985,0.2624285989519463,0.1196136034670438
reference,23,0.5874733859267433,0.2466666666666667,0.5395647174286985,0.25591004345286233,0.1196136034670438
reference,24,0.5874733859267433,0.24,0.5395647174286985,0.24939931840544236,0.1196136034670438
reference,25,0.5874733859267433,0.23333333333333334,0.5395647174286985,0.24289705348365478,0.1196136034670438
reference,26,0.5874733859267433,0.22666666666666668,0.5395647174286985,0.23640394677304474,0.1196136034670438
reference,27,0.5874733859267433,0.22,0.5395647174286985,0.22992077417578552,0.1196136034670438
reference,28,0.5874733859267433,0.21333333333333335,0.5395647174286985,0.22344840038407404,0.1196136034670438
reference,29,0.5874733859267433,0.20666666666666667,0.5395647174286985,0.21698779172962526,0.1196136034670438
reference,30,0.5874733859267433,0.2,0.5395647174286985,0.21054003128641807,0.1196136034670438
reference,31,0.5874733859267433,0.19333333333333336,0.5395647174286985,0.20410633669085695,0.1196136034670438
reference,32,0.5874733859267433,0.18666666666666668,0.5395647174286985,0.19768808125308387,0.1196136034670438
reference,33,0.5874733859267433,0.18,0.5395647174286985,0.19128681907172598,0.1196136034670438
reference,34,0.5874733859267433,0.17333333333333334,0.5395647174286985,0.18490431504029714,0.1196136034670438
reference,35,0.5874733859267433,0.16666666666666666,0.5395647174286985,0.17854258085776784,0.1196136034670438
reference,36,0.5874733859267433,0.16000000000000003,0.5395647174286985,0.17220391844285243,0.1196136034670438
reference,37,0.5874733859267433,0.15333333333333332,0.5395647174286985,0.16589097252015086,0.1196136034670438
reference,38,0.5874733859267433,0.14666666666666667,0.5395647174286985,0.15960679462096602,0.1196136034670438
reference,39,0.5874733859267433,0.14,0.5395647174286985,0.1533549213542425,0.1196136034670438
reference,40,0.5874733859267433,0.13333333333333336,0.5395647174286985,0.14713947059453986,0.1196136034670438
reference,41,0.5874733859267433,0.12666666666666665,0.5395647174286985,0.14096526025587258,0.1196136034670438
reference,42,0.5874733859267433,0.12000000000000005,0.5395647174286985,0.13483795563586407,0.1196136034670438
reference,43,0.5874733859267433,0.11333333333333334,0.5395647174286985,0.1287642529974894,0.1196136034670438
reference,44,0.5874733859267433,0.10666666666666669,0.5395647174286985,0.12275210918282656,0.1196136034670438
reference,45,0.5874733859267433,0.09999999999999998,0.5395647174286985,0.11681102968706576,0.1196136034670438
reference,46,0.5874733859267433,0.09333333333333338,0.5395647174286985,0.11095243076725027,0.1196136034670438
reference,47,0.5874733859267433,0.08666666666666667,0.5395647174286985,0.10519009467939096,0.1196136034670438
reference,48,0.5874733859267433,0.07999999999999996,0.5395647174286985,0.09954074056910513,0.1196136034670438
reference,49,0.5874733859267433,0.07333333333333336,0.5395647174286985,0.09402473576842138,0.1196136034670438
reference,50,0.5874733859267433,0.06666666666666665,0.5395647174286985,0.08866697089946118,0.1196136034670438
reference,51,0.5874733859267433,0.06,0.5395647174286985,0.08338987741863348,0.1196136034670438
reference,52,0.5874733859267433,0.053333333333333344,0.5395647174286985,0.07695902047305408,0.1196136034670438
reference,53,0.5874733859267433,0.04666666666666669,0.5395647174286985,0.07057194128928357,0.1196136034670438
reference,54,0.5874733859267433,0.03999999999999998,0.5395647174286985,0.06424169869635374,0.1196136034670438
reference,55,0.5874733859267433,0.033333333333333326,0.5395647174286985,0.05798690968086681,0.1196136034670438
reference,56,0.5874733859267433,0.026666666666666672,0.5395647174286985,0.05183489583446464,0.1196136034670438
reference,57,0.5874733859267433,0.020000000000000018,0.5395647174286985,0.045827066749809374,0.1196136034670438
reference,58,0.5874733859267433,0.013333333333333308,0.5395647174286985,0.040028396876493226,0.1196136034670438
reference,59,0.5874733859267433,0.00666666666666671,0.5395647174286985,0.033836960693663286,0.1196136034670438
reference,60,0.5874733859267433,0.0,0.5395647174286985,0.02762945498681704,0.1196136034670438
reference,61,0.5874733859267433,-0.006666666666666654,0.5395647174286985,0.02169614126155791,0.1196136034670438
reference,62,0.5874733859267433,-0.013333333333333308,0.5395647174286985,0.01633851882219716,0.1196136034670438
reference,63,0.5874733859267433,-0.020000000000000018,0.5395647174286985,0.012076302058151234,0.1196136034670438
reference,64,0.5874733859267433,-0.026666666666666672,0.5395647174286985,0.00863468152392034,0.1196136034670438
reference,65,0.5874733859267433,-0.033333333333333326,0.5395647174286985,0.009600378509634053,0.1196136034670438
reference,66,0.5874733859267433,-0.040000000000000036,0.5395647174286985,0.006271151675203289,0.1196136034670438
reference,67,0.5874733859267433,-0.04666666666666669,0.5395647174286985,0.004641995349283873,0.1196136034670438
reference,68,0.5874733859267433,-0.053333333333333344,0.5395647174286985,0.006399280410777545,0.1196136034670438
reference,69,0.5874733859267433,-0.05999999999999994,0.5395647174286985,0.002378626017087111,0.1196136034670438
reference,70,0.5874733859267433,-0.06666666666666671,0.5395647174286985,0.0029684804020528918,0.1196136034670438
reference,71,0.5874733859267433,-0.07333333333333336,0.5395647174286985,0.0028342350270982586,0.1196136034670438
reference,72,0.5874733859267433,-0.07999999999999996,0.5395647174286985,0.004753509058044181,0.1196136034670438
reference,73,0.5874733859267433,-0.08666666666666661,0.5395647174286985,0.0006232752072248024,0.1196136034670438
reference,74,0.5874733859267433,-0.09333333333333338,0.5395647174286985,0.0014886089971699048,0.1196136034670438
reference,75,0.5874733859267433,-0.09999999999999998,0.5395647174286985,0.002646374445045113,0.1196136034670438
reference,76,0.5874733859267433,-0.10666666666666669,0.5395647174286985,0.0020497129218885646,0.1196136034670438
reference,77,0.5874733859267433,-0.11333333333333329,0.5395647174286985,0.002503964013429282,0.1196136034670438
reference,78,0.5874733859267433,-0.12,0.5395647174286985,0.0017459251063844598,0.1196136034670438
reference,79,0.5874733859267433,-0.1266666666666667,0.5395647174286985,0.0030478426851721454,0.1196136034670438
reference,80,0.5874733859267433,-0.1333333333333333,0.5395647174286985,0.0014594701636821796,0.1196136034670438
reference,81,0.5874733859267433,-0.14,0.5395647174286985,0.001395137948752421,0.1196136034670438
reference,82,0.5874733859267433,-0.14666666666666672,0.5395647174286985,0.0011478630893949396,0.1196136034670438
reference,83,0.5874733859267433,-0.15333333333333332,0.5395647174286985,0.0014926760863349983,0.1196136034670438
reference,84,0.5874733859267433,-0.15999999999999992,0.5395647174286985,0.0022211352032346413,0.1196136034670438
reference,85,0.5874733859267433,-0.16666666666666674,0.5395647174286985,0.00243153668963215,0.1196136034670438
reference,86,0.5874733859267433,-0.17333333333333334,0.5395647174286985,0.002392861533543559,0.1196136034670438
reference,87,0.5874733859267433,-0.17999999999999994,0.5395647174286985,0.003581959596700466,0.1196136034670438
reference,88,0.5874733859267433,-0.18666666666666665,0.5395647174286985,0.004473172217658396,0.1196136034670438
reference,89,0.5874733859267433,-0.19333333333333336,0.5395647174286985,0.00484404823574474,0.1196136034670438
reference,90,0.5874733859267433,-0.20000000000000007,0.5395647174286985,0.0009415352999815205,0.1196136034670438
reference,91,0.5874733859267433,-0.20666666666666667,0.5395647174286985,0.003970002875209638,0.1196136034670438
reference,92,0.5874733859267433,-0.21333333333333326,0.5395647174286985,0.0030419118413014326,0.1196136034670438
reference,93,0.5874733859267433,-0.22000000000000008,0.5395647174286985,0.005454504019890024,0.1196136034670438
reference,94,0.5874733859267433,-0.22666666666666668,0.5395647174286985,0.0063753853369184705,0.1196136034670438
reference,95,0.5874733859267433,-0.23333333333333328,0.5395647174286985,0.00959896982969779,0.1196136034670438
reference,96,0.5874733859267433,-0.2400000000000001,0.5395647174286985,0.011177847068843868,0.1196136034670438
reference,97,0.5874733859267433,-0.2466666666666667,0.5395647174286985,0.01570468711201729,0.1196136034670438
reference,98,0.5874733859267433,-0.2533333333333333,0.5395647174286985,0.02138268033636451,0.1196136034670438
reference,99,0.5874733859267433,-0.26,0.5395647174286985,0.02750799389880759,0.1196136034670438
reference,100,0.5874733859267433,-0.2666666666666667,0.5395647174286985,0.0338385774995847,0.1196136034670438
reference,101,0.5874733859267433,-0.2733333333333333,0.5395647174286985,0.04027775831576097,0.1196136034670438
reference,102,0.5874733859267433,-0.28,0.5395647174286985,0.04666441777260541,0.1196136034670438
reference,103,0.5874733859267433,-0.2866666666666666,0.5395647174286985,0.05305240040454754,0.1196136034670438
reference,104,0.5874733859267433,-0.29333333333333333,0.5395647174286985,0.059501557796426706,0.1196136034670438
reference,105,0.5874733859267433,-0.30000000000000004,0.5395647174286985,0.06599395775832433,0.1196136034670438
reference,106,0.5874733859267433,-0.30666666666666664,0.5395647174286985,0.07251798694049873,0.1196136034670438
reference,107,0.5874733859267433,-0.31333333333333335,0.5395647174286985,0.07906581617921919,0.1196136034670438
reference,108,0.5874733859267433,-0.32000000000000006,0.5395647174286985,0.08563198605170115,0.1196136034670438
reference,109,0.5874733859267433,-0.32666666666666666,0.5395647174286985,0.09221257870334314,0.1196136034670438
reference,110,0.5874733859267433,-0.33333333333333337,0.5395647174286985,0.09880471241783285,0.1196136034670438
reference,111,0.5874733859267433,-0.33999999999999997,0.5395647174286985,0.10540622187380563,0.1196136034670438
reference,112,0.5874733859267433,-0.3466666666666667,0.5395647174286985,0.1120154494359513,0.1196136034670438
reference,113,0.5874733859267433,-0.3533333333333334,0.5395647174286985,0.11863110512785097,0.1196136034670438
reference,114,0.5874733859267433,-0.36,0.5395647174286985,0.12524816257647062,0.1196136034670438
reference,115,0.5874733859267433,-0.3666666666666667,0.5395647174286985,0.13183602320899246,0.1196136034670438
reference,116,0.5874733859267433,-0.3733333333333334,0.5395647174286985,0.13843142956435442,0.1196136034670438
