index,path,tcp_x,tcp_y,tcp_z,obstacle_clearance_m,table_clearance_m
0,reference,0.48742240622790306,0.4,0.5395777780043234,0.22185882130203421,0.1288359970487763
1,reference,0.48742240622790306,0.39333333333333337,0.5395777780043234,0.21608311918630985,0.1288359970487763
2,reference,0.48742240622790306,0.3866666666666667,0.5395777780043234,0.21036012239474206,0.1288359970487763
3,reference,0.48742240622790306,0.38,0.5395777780043234,0.20469425170108133,0.1288359970487763
4,reference,0.48742240622790306,0.37333333333333335,0.5395777780043234,0.19909038438329793,0.1288359970487763
5,reference,0.48742240622790306,0.3666666666666667,0.5395777780043234,0.19355390597247546,0.1288359970487763
6,reference,0.48742240622790306,0.36,0.5395777780043234,0.18809076736885122,0.1288359970487763
7,reference,0.48742240622790306,0.35333333333333333,0.5395777780043234,0.1827075474918693,0.1288359970487763
8,reference,0.48742240622790306,0.3466666666666667,0.5395777780043234,0.17733086803929352,0.1288359970487763
9,reference,0.48742240622790306,0.34,0.5395777780043234,0.17098982629586845,0.1288359970487763
10,reference,0.48742240622790306,0.33333333333333337,0.5395777780043234,0.1646745078107177,0.1288359970487763
11,reference,0.48742240622790306,0.32666666666666666,0.5395777780043234,0.15838798956234607,0.1288359970487763
12,reference,0.48742240622790306,0.32,0.5395777780043234,0.15212807927626548,0.1288359970487763
13,reference,0.48742240622790306,0.31333333333333335,0.5395777780043234,0.14587839685474369,0.1288359970487763
14,reference,0.48742240622790306,0.3066666666666667,0.5395777780043234,0.1396672822189339,0.1288359970487763
15,reference,0.48742240622790306,0.30000000000000004,0.5395777780043234,0.13350011859479927,0.1288359970487763
16,reference,0.48742240622790306,0.29333333333333333,0.5395777780043234,0.12738328970519044,0.1288359970487763
17,reference,0.48742240622790306,0.2866666666666667,0.5395777780043234,0.12132440898803665,0.1288359970487763
18,reference,0.48742240622790306,0.28,0.5395777780043234,0.11533260954892674,0.1288359970487763
19,reference,0.48742240622790306,0.2733333333333333,0.5395777780043234,0.10941891209166203,0.1288359970487763
20,reference,0.48742240622790306,0.2666666666666667,0.5395777780043234,0.10359669256385289,0.1288359970487763
21,reference,0.48742240622790306,0.26,0.5395777780043234,0.09788227615817333,0.1288359970487763
22,reference,0.48742240622790306,0.25333333333333335,0.5395777780043234,0.09229568868874245,0.1288359970487763
23,reference,0.48742240622790306,0.2466666666666667,0.5395777780043234,0.08686159798232188,0.1288359970487763
24,reference,0.48742240622790306,0.24,0.5395777780043234,0.08161047203909942,0.1288359970487763
25,reference,0.48742240622790306,0.23333333333333334,0.5395777780043234,0.07657995806825471,0.1288359970487763
26,reference,0.48742240622790306,0.22666666666666668,0.5395777780043234,0.07181643055677134,0.1288359970487763
27,reference,0.48742240622790306,0.22,0.5395777780043234,0.06604214691494478,0.1288359970487763
28,reference,0.48742240622790306,0.21333333333333335,0.5395777780043234,0.060019332900361565,0.1288359970487763
29,reference,0.48742240622790306,0.20666666666666667,0.5395777780043234,0.05414761641441453,0.1288359970487763
30,reference,0.48742240622790306,0.2,0.5395777780043234,0.04848192749684793,0.1288359970487763
31,reference,0.48742240622790306,0.19333333333333336,0.5395777780043234,0.04291891513526311,0.1288359970487763
32,reference,0.48742240622790306,0.18666666666666668,0.5395777780043234,0.03710613823507594,0.1288359970487763
33,reference,0.48742240622790306,0.18,0.5395777780043234,0.031632050232985306,0.1288359970487763
34,reference,0.48742240622790306,0.17333333333333334,0.5395777780043234,0.02670574091937042,0.1288359970487763
35,reference,0.48742240622790306,0.16666666666666666,0.5395777780043234,0.022686901133734696,0.1288359970487763
36,reference,0.48742240622790306,0.16000000000000003,0.5395777780043234,0.02012668022650682,0.1288359970487763
37,reference,0.48742240622790306,0.15333333333333332,0.5395777780043234,0.01807068318999188,0.1288359970487763
38,reference,0.48742240622790306,0.14666666666666667,0.5395777780043234,0.011925904717430895,0.1288359970487763
39,reference,0.48742240622790306,0.14,0.5395777780043234,0.0068405924154501686,0.1288359970487763
40,reference,0.48742240622790306,0.13333333333333336,0.5395777780043234,0.005376061001999457,0.1288359970487763
41,reference,0.48742240622790306,0.12666666666666665,0.5395777780043234,0.004083859860456308,0.1288359970487763
42,reference,0.48742240622790306,0.12000000000000005,0.5395777780043234,0.006686807806283818,0.1288359970487763
43,reference,0.48742240622790306,0.11333333333333334,0.5395777780043234,0.010003760891899666,0.1288359970487763
44,reference,0.48742240622790306,0.10666666666666669,0.5395777780043234,0.009880383086512089,0.1288359970487763
45,reference,0.48742240622790306,0.09999999999999998,0.5395777780043234,0.006349889240078202,0.1288359970487763
46,reference,0.48742240622790306,0.09333333333333338,0.5395777780043234,0.0021241788683571804,0.1288359970487763
47,reference,0.48742240622790306,0.08666666666666667,0.5395777780043234,0.004491608456675771,0.1288359970487763
48,reference,0.48742240622790306,0.07999999999999996,0.5395777780043234,0.002940381199355851,0.1288359970487763
49,reference,0.48742240622790306,0.07333333333333336,0.5395777780043234,0.004762576900553579,0.1288359970487763
50,reference,0.48742240622790306,0.06666666666666665,0.5395777780043234,0.007392397726806361,0.1288359970487763
51,reference,0.48742240622790306,0.06,0.5395777780043234,0.0015196684586533964,0.1288359970487763
52,reference,0.48742240622790306,0.053333333333333344,0.5395777780043234,0.004666758802209336,0.1288359970487763
53,reference,0.48742240622790306,0.04666666666666669,0.5395777780043234,0.0032763439591535558,0.1288359970487763
54,reference,0.48742240622790306,0.03999999999999998,0.5395777780043234,0.0016486977852201092,0.1288359970487763
55,reference,0.48742240622790306,0.033333333333333326,0.5395777780043234,0.00462875182200742,0.1288359970487763
56,reference,0.48742240622790306,0.026666666666666672,0.5395777780043234,0.004565956250705594,0.1288359970487763
57,reference,0.48742240622790306,0.020000000000000018,0.5395777780043234,0.003105090113389966,0.1288359970487763
58,reference,0.48742240622790306,0.013333333333333308,0.5395777780043234,0.001061052862431144,0.1288359970487763
59,reference,0.48742240622790306,0.00666666666666671,0.5395777780043234,0.0026839509639719696,0.1288359970487763
60,reference,0.48742240622790306,0.0,0.5395777780043234,0.0040509887270127306,0.1288359970487763
61,reference,0.48742240622790306,-0.006666666666666654,0.5395777780043234,0.0031839832561436922,0.1288359970487763
62,reference,0.48742240622790306,-0.013333333333333308,0.5395777780043234,0.0035295322698654305,0.1288359970487763
63,reference,0.48742240622790306,-0.020000000000000018,0.5395777780043234,0.003235190566415242,0.1288359970487763
64,reference,0.48742240622790306,-0.026666666666666672,0.5395777780043234,0.0019674623221343102,0.1288359970487763
65,reference,0.48742240622790306,-0.033333333333333326,0.5395777780043234,0.003032321440563563,0.1288359970487763
66,reference,0.48742240622790306,-0.040000000000000036,0.5395777780043234,0.002308098409767127,0.1288359970487763
67,reference,0.48742240622790306,-0.04666666666666669,0.5395777780043234,0.0025363111536326997,0.1288359970487763
68,reference,0.48742240622790306,-0.053333333333333344,0.5395777780043234,0.004586145869988471,0.1288359970487763
69,reference,0.48742240622790306,-0.05999999999999994,0.5395777780043234,0.0028413382107403086,0.1288359970487763
70,reference,0.48742240622790306,-0.06666666666666671,0.5395777780043234,0.006492488838511709,0.1288359970487763
