condition,trial,direction,t_s,q_ref_1,q_ref_2,q_ref_3,q_ref_4,q_ref_5,q_ref_6,q_act_1,q_act_2,q_act_3,q_act_4,q_act_5,q_act_6,qd_ref_1,qd_ref_2,qd_ref_3,qd_ref_4,qd_ref_5,qd_ref_6,qd_act_1,qd_act_2,qd_act_3,qd_act_4,qd_act_5,qd_act_6,qdd_act_1,qdd_act_2,qdd_act_3,qdd_act_4,qdd_act_5,qdd_act_6,control_period_ms,status_delay_ms,rgbd_delay_ms,online_min_clearance_m,risk_state,speed_scale,hold,completed
B1_no_obstacle_nubs,0,forward,0.220000,0.00019948,-0.59986036,1.39982046,0.00015959,0.99986036,-0.00013964,-0.00057352,-0.60151409,1.40154601,-0.00192144,1.00229039,-0.00118549,0.00268211,0.00187747,-0.00241390,0.00214568,-0.00187747,-0.00187747,-0.12118645,-0.08331995,0.04534822,-0.07554674,0.06277635,0.04778763,2.01067496,5.07661302,-2.80046721,2.88213160,0.23920791,1.04539946,15.1775,16.9768,19.6127,,SAFE,1.000,0,1
B1_no_obstacle_nubs,0,forward,0.240000,0.00025800,-0.59981940,1.39976780,0.00020640,0.99981940,-0.00018060,-0.00194274,-0.60237036,1.40190802,0.00081261,0.99961214,0.00051940,0.00317554,0.00222288,-0.00285798,0.00254043,-0.00222288,-0.00222288,0.04286725,0.12964466,-0.08718741,0.09784544,-0.03206072,-0.01834075,3.24257967,3.30673107,-3.44316737,3.41080463,0.97603703,-1.01034038,22.4561,14.9612,12.5425,,SAFE,1.000,0,1
B1_no_obstacle_nubs,0,forward,0.260000,0.00032676,-0.59977127,1.39970591,0.00026141,0.99977127,-0.00022873,0.00114117,-0.59632830,1.39805851,0.00199238,1.00100796,-0.00191912,0.00370766,0.00259536,-0.00333689,0.00296613,-0.00259536,-0.00259536,0.00851674,0.04894929,-0.09237848,0.06088544,0.10181783,0.00737402,-0.44888969,-5.85363407,2.68516662,-1.69696854,1.92145894,2.41080600,21.7789,11.8423,19.4721,,SAFE,1.000,0,1
B1_no_obstacle_nubs,0,forward,0.280000,0.00040656,-0.59971541,1.39963410,0.00032524,0.99971541,-0.00028459,-0.00160208,-0.60041239,1.39821288,0.00324803,1.00368486,0.00081436,0.00427781,0.00299447,-0.00385003,0.00342225,-0.00299447,-0.00299447,0.02491166,-0.10450070,0.02021925,0.02996670,0.04479764,0.07809149,0.86306523,1.87425550,2.50588406,-2.30022692,-5.85865776,-1.21504233,18.5659,8.7250,21.1960,,SAFE,1.000,0,1
B1_no_obstacle_nubs,0,forward,0.300000,0.00049813,-0.59965131,1.39955169,0.00039850,0.99965131,-0.00034869,0.00213764,-0.60050833,1.39886728,0.00319105,1.00279987,0.00120454,0.00488535,0.00341974,-0.00439681,0.00390828,-0.00341974,-0.00341974,0.04303935,0.12391951,0.00785688,-0.03112363,-0.13252848,-0.04122768,0.46714403,6.11158837,1.32109303,-2.95443389,-2.78673770,-3.69114163,23.5189,12.3282,25.9069,,SAFE,1.000,0,1
B1_no_obstacle_nubs,0,forward,0.320000,0.00060221,-0.59957845,1.39945801,0.00048177,0.99957845,-0.00042155,0.00011950,-0.59545561,1.39852716,0.00200309,0.99838372,-0.00083475,0.00552960,0.00387072,-0.00497664,0.00442368,-0.00387072,-0.00387072,0.04359743,0.13996283,0.07306298,-0.08821065,-0.06667187,-0.06955417,1.28703130,-5.75177735,1.26089171,0.65573700,2.69624896,-1.29723051,20.0157,11.3648,21.6047,,SAFE,1.000,0,1
B1_no_obstacle_nubs,0,forward,0.340000,0.00071955,-0.59949631,1.39935240,0.00057564,0.99949631,-0.00050369,0.00388154,-0.59490981,1.40178980,-0.00033738,1.00013299,-0.00157762,0.00620993,0.00434695,-0.00558894,0.00496794,-0.00434695,-0.00434695,0.09452060,-0.10615158,0.05829255,-0.00489415,-0.02467852,-0.09311690,-2.67570967,-6.37306805,-4.85494125,0.86603449,2.25720384,4.23550835,18.2052,12.4439,23.6403,,SAFE,1.000,0,1
B1_no_obstacle_nubs,0,forward,0.360000,0.00085085,-0.59940441,1.39923424,0.00068068,0.99940441,-0.00059559,0.00390032,-0.59970167,1.40085886,0.00180732,0.99739658,-0.00455943,0.00692569,0.00484798,-0.00623312,0.00554055,-0.00484798,-0.00484798,-0.06343096,-0.11495989,-0.12113467,-0.05356927,0.02361628,0.09986616,-4.67369315,1.69959035,-3.06353166,-0.00130132,3.05149887,5.99192899,17.5165,11.9214,14.9838,,SAFE,1.000,0,1
B1_no_obstacle_nubs,0,forward,0.380000,0.00099681,-0.59930223,1.39910287,0.00079745,0.99930223,-0.00069777,0.00134430,-0.59950821,1.39694441,-0.00248015,1.00107764,0.00241702,0.00767624,0.00537337,-0.00690861,0.00614099,-0.00537337,-0.00537337,-0.09242712,-0.03816797,-0.06424871,-0.00494621,0.09738143,0.14656026,3.01791600,1.04370202,3.52915489,5.64938941,-1.49450840,-4.74004878,22.0248,11.2228,14.4592,,SAFE,1.000,0,1
B1_no_obstacle_nubs,0,forward,0.400000,0.00115812,-0.59918931,1.39895769,0.00092650,0.99918931,-0.00081069,0.00020324,-0.60122839,1.39828891,0.00160947,1.00129183,0.00130298,0.00846094,0.00592266,-0.00761484,0.00676875,-0.00592266,-0.00592266,0.05728568,-0.07321181,0.02003152,0.17240630,-0.03616405,-0.08973579,5.64846152,2.83390028,1.76549518,0.19250642,-1.44164448,-4.26458755,23.1377,14.7425,11.4657,,SAFE,1.000,0,1
B1_no_obstacle_nubs,0,forward,0.420000,0.00133547,-0.59906517,1.39879808,0.00106838,0.99906517,-0.00093483,0.00363572,-0.60243668,1.39774568,0.00441610,0.99963108,-0.00117241,0.00927915,0.00649541,-0.00835124,0.00742332,-0.00649541,-0.00649541,0.13351134,0.07518804,0.00637109,0.00275405,0.03971566,-0.02402324,-1.30838290,3.34272129,-0.35073345,-6.37875224,1.23994146,1.81588057,18.8571,15.5266,16.6481,,SAFE,1.000,0,1
B1_no_obstacle_nubs,0,forward,0.440000,0.00152951,-0.59892934,1.39862344,0.00122361,0.99892934,-0.00107066,0.00554369,-0.59822087,1.39854375,0.00171963,1.00288046,0.00034205,0.01013025,0.00709118,-0.00911723,0.00810420,-0.00709118,-0.00709118,0.00495036,0.06049704,0.00600218,-0.08274379,0.01343361,-0.01710057,-5.84894823,-2.53179740,0.19444555,2.39316561,-5.21051826,0.40827371,18.8701,10.6845,21.8093,,SAFE,1.000,0,1
