frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.117937,1786346512.905354,0,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,current,50000,118.3003,0.00000000,0.00000367,1.57080007,0.00000000,1.57079256,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.219123,1786346513.023674,0,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,current,50000,100.9860,0.00000000,-0.00001834,1.57079256,-0.00001834,1.57079256,0.00000000,0.00000000,-0.00021750,-0.00007422,-0.00018125,0.00000000,0.00000000
2,0.318922,1786346513.124702,2456,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,current,50000,158.1915,0.00000000,-0.00113709,1.56975460,-0.00088766,1.57079256,0.00000000,0.00000000,-0.01121005,-0.01040049,-0.00871076,0.00000000,0.00000000
3,0.457288,1786346513.282911,2423,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,current,50000,130.5504,0.00000000,-0.00780556,1.56294310,-0.00363868,1.57079256,0.00000000,0.00000000,-0.04819447,-0.04922813,-0.01988220,0.00000000,0.00000000
4,0.588839,1786346513.413493,2507,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,current,50000,128.2913,0.00000000,-0.02126356,1.54943740,-0.00603757,1.57079256,0.00000000,0.00000000,-0.10230255,-0.10266517,-0.01823545,0.00000000,0.00000000
5,0.712623,1786346513.541802,2511,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,current,50000,128.4523,0.00000000,-0.04082148,1.52962995,-0.00835210,1.57079256,0.00000000,0.00000000,-0.15800051,-0.16001640,-0.01869812,0.00000000,0.00000000
6,0.843119,1786346513.670273,2500,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,current,50000,130.4220,0.00000000,-0.06586678,1.50196218,-0.01080234,1.57079256,0.00000000,0.00000000,-0.19192316,-0.21201917,-0.01877631,0.00000000,0.00000000
7,0.974362,1786346513.800715,2551,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,current,50000,130.0877,0.00000000,-0.09215187,1.46867847,-0.01316822,1.57079256,0.00000000,0.00000000,-0.20027888,-0.25360485,-0.01802678,0.00000000,0.00000000
8,1.102894,1786346513.930821,2578,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,current,50000,128.8830,0.00000000,-0.11855434,1.43344343,-0.01556344,1.57079256,0.00000000,0.00000000,-0.20541472,-0.27413331,-0.01863514,0.00000000,0.00000000
9,1.235909,1786346514.059732,2512,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,current,50000,132.8852,0.00000000,-0.14598751,1.39885390,-0.01810539,1.57078898,0.00000000,0.00000000,-0.20624147,-0.26004267,-0.01911023,-0.00002689,0.00000000
10,1.366240,1786346514.192636,2364,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,current,50000,129.9647,0.00000000,-0.17095213,1.37135458,-0.02043092,1.57078898,0.00000000,0.00000000,-0.19154800,-0.21099621,-0.01784329,0.00000000,0.00000000
