index,u,x,y,z,rx,ry,rz
24,0.300000,0.58749838,0.16000000,0.53950217,3.14157454,-0.00000374,1.57078181
25,0.312500,0.58749838,0.15000000,0.53950217,3.14157454,-0.00000374,1.57078181
26,0.325000,0.58749838,0.14000000,0.53950217,3.14157454,-0.00000374,1.57078181
27,0.337500,0.58749838,0.13000000,0.53950217,3.14157454,-0.00000374,1.57078181
28,0.350000,0.58749838,0.12000000,0.53950217,3.14157454,-0.00000374,1.57078181
29,0.362500,0.58749838,0.11000000,0.53950217,3.14157454,-0.00000374,1.57078181
30,0.375000,0.58749838,0.10000000,0.53950217,3.14157454,-0.00000374,1.57078181
31,0.387500,0.58749838,0.09000000,0.53950217,3.14157454,-0.00000374,1.57078181
32,0.400000,0.58749838,0.08000000,0.53950217,3.14157454,-0.00000374,1.57078181
33,0.412500,0.58749838,0.07000000,0.53950217,3.14157454,-0.00000374,1.57078181
34,0.425000,0.58749838,0.06000000,0.53950217,3.14157454,-0.00000374,1.57078181
35,0.437500,0.58749838,0.05000000,0.53950217,3.14157454,-0.00000374,1.57078181
36,0.450000,0.58749838,0.04000000,0.53950217,3.14157454,-0.00000374,1.57078181
37,0.462500,0.58749838,0.03000000,0.53950217,3.14157454,-0.00000374,1.57078181
38,0.475000,0.58749838,0.02000000,0.53950217,3.14157454,-0.00000374,1.57078181
39,0.487500,0.58749838,0.01000000,0.53950217,3.14157454,-0.00000374,1.57078181
40,0.500000,0.58749838,0.00000000,0.53950217,3.14157454,-0.00000374,1.57078181
41,0.512500,0.58749838,-0.01000000,0.53950217,3.14157454,-0.00000374,1.57078181
42,0.525000,0.58749838,-0.02000000,0.53950217,3.14157454,-0.00000374,1.57078181
43,0.537500,0.58749838,-0.03000000,0.53950217,3.14157454,-0.00000374,1.57078181
44,0.550000,0.58749838,-0.04000000,0.53950217,3.14157454,-0.00000374,1.57078181
45,0.562500,0.58749838,-0.05000000,0.53950217,3.14157454,-0.00000374,1.57078181
46,0.575000,0.58749838,-0.06000000,0.53950217,3.14157454,-0.00000374,1.57078181
47,0.587500,0.58749838,-0.07000000,0.53950217,3.14157454,-0.00000374,1.57078181
48,0.600000,0.58749838,-0.08000000,0.53950217,3.14157454,-0.00000374,1.57078181
49,0.612500,0.58749838,-0.09000000,0.53950217,3.14157454,-0.00000374,1.57078181
50,0.625000,0.58749838,-0.10000000,0.53950217,3.14157454,-0.00000374,1.57078181
51,0.637500,0.58749838,-0.11000000,0.53950217,3.14157454,-0.00000374,1.57078181
52,0.650000,0.58749838,-0.12000000,0.53950217,3.14157454,-0.00000374,1.57078181
53,0.662500,0.58749838,-0.13000000,0.53950217,3.14157454,-0.00000374,1.57078181
54,0.675000,0.58749838,-0.14000000,0.53950217,3.14157454,-0.00000374,1.57078181
55,0.687500,0.58749838,-0.15000000,0.53950217,3.14157454,-0.00000374,1.57078181
56,0.700000,0.58749838,-0.16000000,0.53950217,3.14157454,-0.00000374,1.57078181
57,0.712500,0.58749838,-0.17000000,0.53950217,3.14157454,-0.00000374,1.57078181
58,0.725000,0.58749838,-0.18000000,0.53950217,3.14157454,-0.00000374,1.57078181
59,0.737500,0.58749838,-0.19000000,0.53950217,3.14157454,-0.00000374,1.57078181
60,0.750000,0.58749838,-0.20000000,0.53950217,3.14157454,-0.00000374,1.57078181
61,0.762500,0.58749838,-0.21000000,0.53950217,3.14157454,-0.00000374,1.57078181
62,0.775000,0.58749838,-0.22000000,0.53950217,3.14157454,-0.00000374,1.57078181
63,0.787500,0.58749838,-0.23000000,0.53950217,3.14157454,-0.00000374,1.57078181
