scenario_id,angle_deg,center_x_m,center_y_m,center_z_m,speed_m_s,velocity_x_m_s,velocity_y_m_s,trigger_current_m,trigger_predicted_m,trigger_ok,predictive_gain_m,local1_ready,coarse_m,fast_m,fast_ms,hold_start_m,hold_min_m,hold_end_m,hold_min_tau_s,tail_safe,moving_away,feasible
1,-85.0,0.36,-0.24,0.3662453006383523,0.08,-0.07969557584733965,0.006972459419812651,0.0020956546124651643,-0.03872784036999316,False,0.040823494982458325,False,nan,nan,nan,nan,nan,nan,nan,False,False,False
2,-85.0,0.36,-0.24,0.3662453006383523,0.1,-0.09961946980917456,0.008715574274765815,0.0020956546124651643,-0.04862169958928925,False,0.05071735420175441,False,nan,nan,nan,nan,nan,nan,nan,False,False,False
3,-85.0,0.36,-0.24,0.3662453006383523,0.12,-0.11954336377100946,0.010458689129718975,0.0020956546124651643,-0.05839673194677353,False,0.06049238655923869,False,nan,nan,nan,nan,nan,nan,nan,False,False,False
4,-85.0,0.36,-0.24,0.3662453006383523,0.14,-0.13946725773284438,0.012201803984672141,0.0020956546124651643,-0.06814162632999182,False,0.07023728094245699,False,nan,nan,nan,nan,nan,nan,nan,False,False,False
5,-85.0,0.36,-0.2,0.3662453006383523,0.08,-0.07969557584733965,0.006972459419812651,-0.0129963503936332,-0.05450519378315849,False,0.04150884338952529,False,nan,nan,nan,nan,nan,nan,nan,False,False,False
6,-85.0,0.36,-0.2,0.3662453006383523,0.1,-0.09961946980917456,0.008715574274765815,-0.0129963503936332,-0.06470307503060985,False,0.05170672463697665,False,nan,nan,nan,nan,nan,nan,nan,False,False,False
7,-85.0,0.36,-0.2,0.3662453006383523,0.12,-0.11954336377100946,0.010458689129718975,-0.0129963503936332,-0.07481055854441185,False,0.06181420815077865,False,nan,nan,nan,nan,nan,nan,nan,False,False,False
8,-85.0,0.36,-0.2,0.3662453006383523,0.14,-0.13946725773284438,0.012201803984672141,-0.0129963503936332,-0.08534393520849695,False,0.07234758481486375,False,nan,nan,nan,nan,nan,nan,nan,False,False,False
9,-85.0,0.36,-0.16,0.3662453006383523,0.08,-0.07969557584733965,0.006972459419812651,-0.02405418770438808,-0.0654465619762593,False,0.041392374271871216,False,nan,nan,nan,nan,nan,nan,nan,False,False,False
10,-85.0,0.36,-0.16,0.3662453006383523,0.1,-0.09961946980917456,0.008715574274765815,-0.02405418770438808,-0.07602202468743682,False,0.05196783698304874,False,nan,nan,nan,nan,nan,nan,nan,False,False,False
11,-85.0,0.36,-0.16,0.3662453006383523,0.12,-0.11954336377100946,0.010458689129718975,-0.02405418770438808,-0.08653858404895905,False,0.06248439634457097,False,nan,nan,nan,nan,nan,nan,nan,False,False,False
12,-85.0,0.36,-0.16,0.3662453006383523,0.14,-0.13946725773284438,0.012201803984672141,-0.02405418770438808,-0.09697013299009499,False,0.07291594528570691,False,nan,nan,nan,nan,nan,nan,nan,False,False,False
13,-85.0,0.36,-0.12,0.3662453006383523,0.08,-0.07969557584733965,0.006972459419812651,-0.03759465340956078,-0.07898234074948737,False,0.04138768733992659,False,nan,nan,nan,nan,nan,nan,nan,False,False,False
14,-85.0,0.36,-0.12,0.3662453006383523,0.1,-0.09961946980917456,0.008715574274765815,-0.03759465340956078,-0.08944093371989412,False,0.05184628031033334,False,nan,nan,nan,nan,nan,nan,nan,False,False,False
15,-85.0,0.36,-0.12,0.3662453006383523,0.12,-0.11954336377100946,0.010458689129718975,-0.03759465340956078,-0.09979145985242305,False,0.06219680644286227,False,nan,nan,nan,nan,nan,nan,nan,False,False,False
16,-85.0,0.36,-0.12,0.3662453006383523,0.14,-0.13946725773284438,0.012201803984672141,-0.03759465340956078,-0.10997521819257142,False,0.07238056478301064,False,nan,nan,nan,nan,nan,nan,nan,False,False,False
17,-85.0,0.36,-0.08,0.3662453006383523,0.08,-0.07969557584733965,0.006972459419812651,-0.0435852433747219,-0.08226227532143192,False,0.03867703194671002,False,nan,nan,nan,nan,nan,nan,nan,False,False,False
18,-85.0,0.36,-0.08,0.3662453006383523,0.1,-0.09961946980917456,0.008715574274765815,-0.0435852433747219,-0.09267437345687432,False,0.04908913008215242,False,nan,nan,nan,nan,nan,nan,nan,False,False,False
19,-85.0,0.36,-0.08,0.3662453006383523,0.12,-0.11954336377100946,0.010458689129718975,-0.0435852433747219,-0.10295737528286428,False,0.059372131908142375,False,nan,nan,nan,nan,nan,nan,nan,False,False,False
20,-85.0,0.36,-0.08,0.3662453006383523,0.14,-0.13946725773284438,0.012201803984672141,-0.0435852433747219,-0.11303735000180133,False,0.06945210662707943,False,nan,nan,nan,nan,nan,nan,nan,False,False,False
21,-85.0,0.42,-0.24,0.3662453006383523,0.08,-0.07969557584733965,0.006972459419812651,0.056931854445468055,0.015779005071967056,False,0.041152849373501,False,nan,nan,nan,nan,nan,nan,nan,False,False,False
22,-85.0,0.42,-0.24,0.3662453006383523,0.1,-0.09961946980917456,0.008715574274765815,0.056931854445468055,0.005396689741019672,False,0.05153516470444838,False,nan,nan,nan,nan,nan,nan,nan,False,False,False
23,-85.0,0.42,-0.24,0.3662453006383523,0.12,-0.11954336377100946,0.010458689129718975,0.056931854445468055,-0.00494454364256125,False,0.061876398088029305,False,nan,nan,nan,nan,nan,nan,nan,False,False,False
24,-85.0,0.42,-0.24,0.3662453006383523,0.14,-0.13946725773284438,0.012201803984672141,0.056931854445468055,-0.015238493605851333,False,0.07217034805131939,False,nan,nan,nan,nan,nan,nan,nan,False,False,False
25,-85.0,0.42,-0.2,0.3662453006383523,0.08,-0.07969557584733965,0.006972459419812651,0.04327300817388233,0.0014939753436860603,False,0.04177903283019627,False,nan,nan,nan,nan,nan,nan,nan,False,False,False
26,-85.0,0.42,-0.2,0.3662453006383523,0.1,-0.09961946980917456,0.008715574274765815,0.04327300817388233,-0.008938941206373646,False,0.05221194938025597,False,nan,nan,nan,nan,nan,nan,nan,False,False,False
27,-85.0,0.42,-0.2,0.3662453006383523,0.12,-0.11954336377100946,0.010458689129718975,0.04327300817388233,-0.019332839914237288,False,0.06260584808811961,False,nan,nan,nan,nan,nan,nan,nan,False,False,False
28,-85.0,0.42,-0.2,0.3662453006383523,0.14,-0.13946725773284438,0.012201803984672141,0.04327300817388233,-0.029802814138115308,False,0.07307582231199763,False,nan,nan,nan,nan,nan,nan,nan,False,False,False
29,-85.0,0.42,-0.16,0.3662453006383523,0.08,-0.07969557584733965,0.006972459419812651,0.03071552789993251,-0.009594901400570455,False,0.040310429300502965,False,nan,nan,nan,nan,nan,nan,nan,False,False,False
30,-85.0,0.42,-0.16,0.3662453006383523,0.1,-0.09961946980917456,0.008715574274765815,0.03071552789993251,-0.0197500998356345,False,0.05046562773556701,False,nan,nan,nan,nan,nan,nan,nan,False,False,False
31,-85.0,0.42,-0.16,0.3662453006383523,0.12,-0.11954336377100946,0.010458689129718975,0.03071552789993251,-0.029810817593084293,False,0.0605263454930168,False,nan,nan,nan,nan,nan,nan,nan,False,False,False
32,-85.0,0.42,-0.16,0.3662453006383523,0.14,-0.13946725773284438,0.012201803984672141,0.03071552789993251,-0.03975571160089182,False,0.07047123950082433,False,nan,nan,nan,nan,nan,nan,nan,False,False,False
33,-85.0,0.42,-0.12,0.3662453006383523,0.08,-0.07969557584733965,0.006972459419812651,0.018418107678528972,-0.022604631801156405,False,0.04102273947968538,False,nan,nan,nan,nan,nan,nan,nan,False,False,False
