frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,risk_state_current,risk_state_predicted,max_track_speed_m_s,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.114182,1786344106.825604,0,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,114.2840,0.87013328,-0.43020469,1.02581906,-0.11783540,1.57081473,0.86981785,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.214647,1786344106.939920,0,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,100.4124,0.87013328,-0.43020469,1.02581906,-0.11783540,1.57081473,0.86981785,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,0.315133,1786344107.040389,2491,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,149.6787,0.87013328,-0.43020469,1.02581906,-0.11783540,1.57081473,0.86981785,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3,0.449067,1786344107.190073,2399,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,132.9697,0.87013328,-0.43020469,1.02581906,-0.11783540,1.57081473,0.86981785,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4,0.582840,1786344107.323058,2395,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,134.3616,0.87013328,-0.43020469,1.02581906,-0.11783540,1.57081473,0.86981785,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5,0.719789,1786344107.457434,2532,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,133.9977,0.87013328,-0.43020469,1.02581906,-0.11783540,1.57081473,0.86981785,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
6,0.849609,1786344107.591447,2439,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,134.2979,0.87013328,-0.43020469,1.02581906,-0.11783540,1.57081473,0.86981785,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
7,0.989213,1786344107.725769,2461,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,136.8277,0.87013328,-0.43020469,1.02581906,-0.11783540,1.57081473,0.86981785,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
8,1.121861,1786344107.862612,2505,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,133.0819,0.87013328,-0.43020469,1.02581906,-0.11783540,1.57081473,0.86981785,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
9,1.255410,1786344107.995709,2368,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,136.2505,0.87013328,-0.43020469,1.02581906,-0.11783540,1.57081473,0.86981785,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
