frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.105371,1786349482.821588,0,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,105.8987,0.00000000,0.00000000,1.57080007,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.211954,1786349482.927543,2776,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,162.3499,0.00000000,-0.00002201,1.57078528,-0.00002201,1.57079637,0.00000000,0.00000000,-0.00020649,-0.00013869,-0.00020649,0.00000000,0.00000000
2,0.350072,1786349483.089937,2728,50000,1,0,0,0.347141,left_link,0,0.627909,-0.615240,0.357559,,,,SAFE,SAFE,,0.000000,0.360626,,0,1.000000,SAFE,1,current,50000,146.3907,0.00000000,-0.00231453,1.56852579,-0.00163227,1.57079637,0.00000000,0.00000000,-0.01659829,-0.01635919,-0.01165864,0.00000000,0.00000000
3,0.494240,1786349483.236334,2691,50000,1,0,0,0.356693,left_link,0,0.624560,-0.616504,0.350812,,,,SAFE,SAFE,,0.000000,0.367319,,0,1.000000,SAFE,1,current,50000,149.5442,0.00000000,-0.01164599,1.55908072,-0.00449333,1.57079637,0.00000000,0.00000000,-0.06472622,-0.06551425,-0.01984530,0.00000000,0.00000000
4,0.642354,1786349483.385898,2696,50000,2,1,1,0.346953,left_link,0,0.631569,-0.616785,0.345236,0.191382,left_link,0.000,SAFE,SAFE,0.000000,0.000000,0.357735,,0,1.000000,SAFE,1,current,50000,148.0928,0.00000000,-0.03069406,1.53995562,-0.00720767,1.57079637,0.00000000,0.00000000,-0.12860383,-0.12912392,-0.01832598,0.00000000,0.00000000
5,0.792366,1786349483.534012,2630,50000,1,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,132.8597,0.00000000,-0.05786314,1.51118720,-0.01004306,1.57079637,0.00000000,0.00000000,-0.18111323,-0.19177465,-0.01890111,0.00000000,0.00000000
6,0.923641,1786349483.666892,2667,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.7688,0.00000000,-0.08402719,1.47929728,-0.01243095,1.57079637,0.00000000,0.00000000,-0.19930667,-0.24292394,-0.01818992,0.00000000,0.00000000
7,1.065840,1786349483.796693,2770,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,138.4940,0.00000000,-0.11144203,1.44288480,-0.01490320,1.57079637,0.00000000,0.00000000,-0.19279289,-0.25606810,-0.01738592,0.00000000,0.00000000
8,1.193383,1786349483.935207,2748,50000,1,0,0,0.347349,left_link,0,0.629636,-0.616145,0.354498,,,,SAFE,SAFE,,0.000000,0.356766,,0,1.000000,SAFE,1,current,50000,132.1186,0.00000000,-0.13886420,1.40741873,-0.01745614,1.57079637,0.00000000,0.00000000,-0.21500233,-0.27807017,-0.02001626,0.00000000,0.00000000
9,1.323486,1786349484.067347,2670,50000,1,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.1339,0.00000000,-0.16455507,1.37805617,-0.01978901,1.57079637,0.00000000,0.00000000,-0.19746624,-0.22568775,-0.01793099,0.00000000,0.00000000
10,1.455591,1786349484.196505,2719,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.7544,0.00000000,-0.18627347,1.35588658,-0.02222092,1.57079637,0.00000000,0.00000000,-0.16440191,-0.16781730,-0.01840879,0.00000000,0.00000000
11,1.587404,1786349484.326279,2707,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,133.6402,0.00000000,-0.20137841,1.34083307,-0.02472618,1.57079637,0.00000000,0.00000000,-0.11459428,-0.11420415,-0.01900628,0.00000000,0.00000000
12,1.718586,1786349484.459950,2551,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,130.6938,0.00000000,-0.20842102,1.33379400,-0.02706638,1.57079637,0.00000000,0.00000000,-0.05368556,-0.05365853,-0.01783925,0.00000000,0.00000000
13,1.854167,1786349484.590663,2690,50000,1,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,131.4944,0.00000000,-0.21015966,1.33215809,-0.02852625,1.57079637,0.00000000,0.00000000,-0.01282368,-0.01206599,-0.01076762,0.00000000,0.00000000
14,1.978727,1786349484.722177,2502,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.191000,,,1,1.000000,SAFE,0,current,50000,130.3741,0.00000000,-0.21021101,1.33207381,-0.02858494,1.57079637,0.00000000,0.00000000,-0.00041225,-0.00067663,-0.00047116,0.00000000,0.00000000
