frame,timestamp,scene_points,robot_points,cluster_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_points,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,risk_state_current,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad
0,1786090278.053972,0,50000,0,,,,0,,,,SAFE,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078171,0.86985087
1,1786090278.155893,2080,50000,1,0.241049,upperArm_Link,0,311,0.667962,-0.012138,0.502987,SAFE,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078171,0.86985087
2,1786090278.323520,2347,50000,1,0.235179,upperArm_Link,0,358,0.669958,-0.004618,0.499118,SAFE,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078171,0.86985087
3,1786090278.450059,2191,50000,1,0.241374,wrist1_Link,0,328,0.671188,-0.007413,0.504608,SAFE,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078171,0.86985087
4,1786090278.576563,2453,50000,1,0.240506,wrist1_Link,0,340,0.669804,-0.007072,0.507310,SAFE,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078171,0.86985087
5,1786090278.701228,2323,50000,1,0.243644,wrist1_Link,0,326,0.674032,-0.006791,0.492757,SAFE,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078171,0.86985087
6,1786090278.832140,2431,50000,1,0.238430,wrist1_Link,0,348,0.671101,-0.003250,0.487083,SAFE,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078171,0.86985087
7,1786090278.963270,2412,50000,1,0.237725,wrist1_Link,0,372,0.672084,-0.000900,0.495400,SAFE,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078171,0.86985087
8,1786090279.092149,2378,50000,1,0.227371,upperArm_Link,0,340,0.673122,-0.003269,0.496362,SAFE,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078171,0.86985087
9,1786090279.221645,2375,50000,1,0.209897,upperArm_Link,0,361,0.669414,-0.004771,0.500647,SAFE,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078171,0.86985087
10,1786090279.362097,2371,50000,1,0.242994,wrist1_Link,0,341,0.672386,-0.006922,0.492554,SAFE,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078171,0.86985087
11,1786090279.492077,2385,50000,1,0.237405,wrist1_Link,0,330,0.673192,-0.004169,0.492727,SAFE,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078171,0.86985087
12,1786090279.627168,2409,50000,1,0.241143,wrist1_Link,0,353,0.673941,-0.003898,0.490723,SAFE,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078171,0.86985087
13,1786090279.758677,2482,50000,1,0.236849,upperArm_Link,0,358,0.670347,-0.005488,0.495606,SAFE,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078171,0.86985087
14,1786090279.889398,2499,50000,1,0.240353,wrist1_Link,0,360,0.671481,-0.004681,0.502143,SAFE,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078171,0.86985087
15,1786090280.022026,2438,50000,1,0.242703,wrist1_Link,0,338,0.674119,-0.002227,0.487034,SAFE,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57077789,0.86985087
16,1786090280.150831,2511,50000,1,0.242448,wrist1_Link,0,371,0.673764,-0.002059,0.485616,SAFE,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078171,0.86985451
17,1786090280.281570,2459,50000,1,0.238925,wrist1_Link,0,354,0.672255,-0.000367,0.497792,SAFE,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078171,0.86985087
18,1786090280.411449,2497,50000,1,0.228787,upperArm_Link,0,374,0.672893,-0.006457,0.496445,SAFE,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078171,0.86985087
19,1786090280.540407,2349,50000,1,0.234751,wrist1_Link,0,347,0.672491,-0.003953,0.489569,SAFE,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078171,0.86985087
20,1786090280.670367,2345,50000,1,0.233214,upperArm_Link,0,305,0.671386,-0.005929,0.500317,SAFE,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078171,0.86985087
21,1786090280.804790,2416,50000,1,0.235641,upperArm_Link,0,350,0.672130,-0.002918,0.504680,SAFE,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078171,0.86985087
22,1786090280.940046,2474,50000,1,0.223901,upperArm_Link,0,324,0.672896,-0.007567,0.496521,SAFE,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078171,0.86985087
23,1786090281.061516,2489,50000,1,0.226960,upperArm_Link,0,351,0.672083,-0.005291,0.495459,SAFE,0.86983252,-0.42900157,1.02395940,-0.11782806,1.57078171,0.86985087
24,1786090281.195187,2392,50000,1,0.241856,wrist1_Link,0,338,0.672368,-0.004799,0.492887,SAFE,0.86983252,-0.42900157,1.02395570,-0.11782806,1.57078171,0.86985087
