frame,timestamp,scene_points,robot_points,cluster_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_points,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,risk_state_current,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad
28,1786072310.784089,2414,50000,1,0.218978,upperArm_Link,0,268,0.682464,-0.061053,0.407019,SAFE,0.86983252,-0.42899790,1.02397406,-0.11782072,1.57078898,0.86985451
29,1786072310.920610,2354,50000,1,0.214481,upperArm_Link,0,277,0.679001,-0.059927,0.414906,SAFE,0.86983252,-0.42899790,1.02397406,-0.11782072,1.57078898,0.86985451
30,1786072311.049909,2430,50000,1,0.220652,upperArm_Link,0,275,0.675652,-0.060453,0.417511,SAFE,0.86983252,-0.42899790,1.02397406,-0.11782072,1.57078898,0.86985451
31,1786072311.184685,2393,50000,1,0.212909,upperArm_Link,0,311,0.673056,-0.058907,0.406190,SAFE,0.86983252,-0.42899790,1.02397406,-0.11782072,1.57078898,0.86985451
32,1786072311.313704,2413,50000,1,0.217912,upperArm_Link,0,316,0.677120,-0.060996,0.409845,SAFE,0.86983252,-0.42899790,1.02397406,-0.11782072,1.57078898,0.86985451
33,1786072311.437297,2301,50000,1,0.215977,upperArm_Link,0,265,0.678550,-0.059075,0.415447,SAFE,0.86983252,-0.42899790,1.02397406,-0.11782072,1.57078898,0.86985451
34,1786072311.559678,2405,50000,1,0.213023,upperArm_Link,0,277,0.673943,-0.057736,0.424502,SAFE,0.86983252,-0.42899790,1.02397406,-0.11782072,1.57078898,0.86985451
35,1786072311.691292,2297,50000,1,0.210705,upperArm_Link,0,281,0.677855,-0.059365,0.414077,SAFE,0.86983252,-0.42899790,1.02397406,-0.11782072,1.57078528,0.86985451
36,1786072311.812108,2313,50000,1,0.216651,upperArm_Link,0,270,0.677033,-0.063736,0.415147,SAFE,0.86983252,-0.42899790,1.02397406,-0.11782072,1.57078898,0.86985451
37,1786072311.943247,2423,50000,1,0.225711,upperArm_Link,0,293,0.675069,-0.063025,0.412092,SAFE,0.86983252,-0.42899790,1.02397406,-0.11782072,1.57078898,0.86985451
38,1786072312.073621,2450,50000,1,0.217228,upperArm_Link,0,304,0.677499,-0.059692,0.413444,SAFE,0.86983252,-0.42899790,1.02397406,-0.11782072,1.57078898,0.86985451
