frame,t_s,timestamp,scene_points,robot_points,cluster_count,raw_point_count,roi_point_count,safety_roi_point_count,rho_retain,table_z_m,table_plane_valid,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
10,1.527132,1786774010.466610,2404,50000,0,2404,18,1588,0.007488,0.225952,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,160.3480,0.00000000,-0.19341512,1.34878898,-0.02327364,1.57079637,0.00000000,0.00000000,-0.14527416,-0.14518960,-0.01893170,0.00000000,0.00000000
11,1.686456,1786774010.626974,2433,50000,0,2433,20,1625,0.008220,0.225177,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,158.1725,0.00000000,-0.20629723,1.33596182,-0.02605400,1.57079256,0.00000000,0.00000000,-0.08085465,-0.08050972,-0.01745097,-0.00002394,0.00000000
12,1.855708,1786774010.785173,2423,50000,0,2423,26,1659,0.010730,0.225733,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,144.9418,0.00000000,-0.21009731,1.33220577,-0.02847490,1.57079637,0.00000000,0.00000000,-0.02245223,-0.02219206,-0.01430353,0.00002254,0.00000000
13,1.989047,1786774010.930143,2467,50000,0,2467,17,1602,0.006891,0.225669,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,161.9564,0.00000000,-0.21021101,1.33207381,-0.02858494,1.57079637,0.00000000,0.00000000,-0.00085268,-0.00098969,-0.00082528,0.00000000,0.00000000
14,2.149051,1786774011.092116,2449,50000,0,2449,33,1621,0.013475,0.224850,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590765,0.869601,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,161.9632,0.00039615,-0.21070987,1.33151245,-0.02909480,1.57079256,0.00025309,0.00247585,-0.00311780,-0.00350838,-0.00318651,-0.00002384,0.00158179
15,2.314165,1786774011.254096,2410,50000,0,2410,32,1614,0.013278,0.226306,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.587032,0.863120,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,167.5417,0.00671249,-0.21672177,1.32526219,-0.03310395,1.57079637,0.00676384,0.03825452,-0.03641070,-0.03785430,-0.02428119,0.00002310,0.03943193
16,2.485682,1786774011.421664,2546,50000,0,2546,31,1666,0.012176,0.223829,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.576216,0.845114,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,164.3278,0.02471884,-0.22908302,1.30943108,-0.03819884,1.57079637,0.02481054,0.10498288,-0.07207007,-0.09230054,-0.02970486,0.00000000,0.10521812
17,2.646666,1786774011.586009,2482,50000,0,2482,18,1665,0.007252,0.225843,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.558256,0.816910,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,151.5923,0.05292231,-0.24149929,1.29152000,-0.04310667,1.57079637,0.05312405,0.17519403,-0.07712729,-0.11125986,-0.03048638,0.00000000,0.17587759
18,2.796607,1786774011.737631,2436,50000,0,2436,1,1583,0.000411,0.225024,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.535217,0.780501,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,128.6999,0.08933115,-0.25311962,1.27461410,-0.04755598,1.57079637,0.08960259,0.24282165,-0.07749951,-0.11275062,-0.02967384,0.00000000,0.24328648
19,2.929489,1786774011.866358,2505,50000,0,2505,0,1615,0.000000,0.224942,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.509864,0.739485,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,132.0315,0.13034704,-0.26356617,1.25942850,-0.05156881,1.57080007,0.13071752,0.30866276,-0.07861490,-0.11427832,-0.03019827,0.00002781,0.30940803
