frame,t_s,timestamp,scene_points,robot_points,cluster_count,raw_point_count,roi_point_count,safety_roi_point_count,rho_retain,table_z_m,table_plane_valid,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.097521,1786949741.325797,0,50000,0,0,0,0,0.000000,,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,98.5572,0.00000000,0.00000000,1.57080007,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.217231,1786949741.424391,2545,50000,0,2545,20,1653,0.007859,0.223504,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,201.2401,0.00000000,0.00000000,1.57080007,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,0.390671,1786949741.625646,2573,50000,0,2573,14,1648,0.005441,0.225985,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,148.4032,0.00000000,0.00001467,1.57080364,0.00000000,1.57079637,0.00000000,0.00000000,0.00008459,0.00002062,0.00000000,0.00000000,0.00000000
3,0.533735,1786949741.774064,2479,50000,0,2479,18,1640,0.007261,0.224117,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,163.2739,0.00000000,-0.00135717,1.56966662,-0.00097936,1.57079637,0.00000000,0.00000000,-0.00958905,-0.00794765,-0.00684566,0.00000000,0.00000000
4,0.693399,1786949741.937359,2657,50000,0,2657,23,1734,0.008656,0.225172,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,158.5612,0.00000000,-0.00984499,1.56089270,-0.00411553,1.57079637,0.00000000,0.00000000,-0.05316046,-0.05495238,-0.01964226,0.00000000,0.00000000
5,0.851545,1786949742.095949,2501,50000,0,2501,37,1626,0.014794,0.223073,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,164.1505,0.00000000,-0.02916449,1.54159141,-0.00702794,1.57079637,0.00000000,0.00000000,-0.12216209,-0.12204695,-0.01841593,0.00000000,0.00000000
6,1.016677,1786949742.260125,2488,50000,0,2488,17,1609,0.006833,0.224152,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,154.3195,0.00000000,-0.05891220,1.51013815,-0.01014210,1.57079637,0.00000000,0.00000000,-0.18014517,-0.19047355,-0.01885860,0.00000000,0.00000000
7,1.167361,1786949742.414461,2459,50000,0,2459,34,1654,0.013827,0.223453,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,148.3343,0.00000000,-0.08916242,1.47277558,-0.01287845,1.57079637,0.00000000,0.00000000,-0.20075332,-0.24795390,-0.01815958,0.00000000,0.00000000
8,1.316009,1786949742.562812,2393,50000,0,2393,19,1616,0.007940,0.224796,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,154.3228,0.00000000,-0.11861669,1.43352413,-0.01556711,1.57079637,0.00000000,0.00000000,-0.19814700,-0.26405539,-0.01808739,0.00000000,0.00000000
9,1.468707,1786949742.717150,2450,50000,0,2450,20,1595,0.008163,0.224140,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,150.2564,0.00000000,-0.15004437,1.39422119,-0.01846118,1.57079637,0.00000000,0.00000000,-0.20581661,-0.25739089,-0.01895299,0.00000000,0.00000000
