R_det,R_keep,R_over,T_dec_ms_mean,T_dec_ms_std,delta_r,frames,method,scene,sigma_c,visible_frames
1.0,1.0,0.0,11.72004450662179,2.4287921789183584,0.02,377,ours,B,0.016919209316671475,377
1.0,1.0,0.0,9.007392936340915,1.2313789448858263,0.03,377,ours,B,0.01671924039467168,377
1.0,1.0,0.0,7.277724405835686,1.0240065391405528,0.04,377,ours,B,0.016900962774702297,377
1.0,1.0,0.0,5.90423133686774,0.899227485965757,0.05,377,ours,B,0.01686028601370889,377
1.0,1.0,0.0,5.8521509947038055,0.896783264617242,0.06,377,ours,B,0.01689221882483348,377
1.0,0.9999856123388582,1.4387661141812558e-05,5.239182350139564,0.7571360834258245,0.08,377,ours,B,0.016914806579752008,377
1.0,1.0,0.0,4.955055456235492,0.7102459975524746,0.1,377,ours,B,0.016945075147047368,377
