R_det,R_det_1,R_det_2,R_keep,R_keep_1,R_keep_2,R_over,R_over_1,R_over_2,T_dec_ms_mean,T_dec_ms_std,delta_r,frames,method,obstacle_count,scene,sigma_c,sigma_c_1,sigma_c_2,visible_frames,visible_frames_1,visible_frames_2,visible_pairs
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10.158690559058169,2.291618617521445,0.02,381,ours,2,B2,0.013192368953741165,0.016564534527793943,0.00982020337968839,426,381,45,426
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,8.180805157485995,1.7379929336894073,0.03,381,ours,2,B2,0.013206268218264042,0.016531854926547063,0.009880681509981023,426,381,45,426
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.048954233591531,1.2035037866196214,0.04,381,ours,2,B2,0.013148112866661742,0.016573989971421395,0.00972223576190209,426,381,45,426
1.0,1.0,1.0,0.999902261028214,0.9999116773573865,0.9993355481727575,9.773897178599888e-05,8.832264261349199e-05,0.0006644518272425071,6.098291842507148,0.9984442170006765,0.05,381,ours,2,B2,0.013157190839978478,0.01650865287208644,0.009805728807870517,426,381,45,426
1.0,1.0,1.0,0.999771942399166,0.9997681530631396,1.0,0.0002280576008339974,0.00023184693686040259,0.0,5.909458800529984,0.9361065145564994,0.06,381,ours,2,B2,0.012972684525718745,0.01649972854448313,0.009445640506954357,426,381,45,426
1.0,1.0,1.0,0.9993484068547599,0.9994921448049726,0.9906976744186047,0.0006515931452401036,0.0005078551950273846,0.009302325581395321,5.468465606293283,0.833146524183763,0.08,381,ours,2,B2,0.01306443127226578,0.016485677605149112,0.009643184939382451,426,381,45,426
1.0,1.0,1.0,0.9952759496970092,0.9953188999414863,0.9926910299003322,0.004724050302990834,0.004681100058513743,0.0073089700996678,5.175418299215256,0.7970653868962018,0.1,381,ours,2,B2,0.013025461156761323,0.016331362619914875,0.009719559693607771,426,381,45,426
