N_res,R_false,R_res,T_dec_ms_mean,T_dec_ms_std,delta_r,frames,method,scene
0.38605898123324395,0.35656836461126007,0.2804491279560913,11.197732093828916,2.7265731420744963,0.02,373,ours,A
0.06702412868632708,0.06702412868632708,0.15273398836395238,8.653049957097783,1.8104019856235132,0.03,373,ours,A
0.00804289544235925,0.00804289544235925,0.09452474475445971,7.005356742632983,1.1700939849591918,0.04,373,ours,A
0.0,0.0,0.06302831350020517,6.073437689008705,1.0079429701428515,0.05,373,ours,A
0.0,0.0,0.046000873862108424,5.901568080424908,1.0337109617373568,0.06,373,ours,A
0.0,0.0,0.025316852880338105,5.383056793560162,0.8325204742258804,0.08,373,ours,A
0.0,0.0,0.008479731197590048,5.000295930296157,0.7136047741012027,0.1,373,ours,A
