frame,t_s,timestamp,scene_points,robot_points,cluster_count,raw_point_count,roi_point_count,safety_roi_point_count,rho_retain,table_z_m,table_plane_valid,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_raw_speed_m_s,predicted_object_filtered_speed_m_s,predicted_object_raw_velocity_x_m_s,predicted_object_raw_velocity_y_m_s,predicted_object_raw_velocity_z_m_s,predicted_object_velocity_ema_alpha,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.088820,1786965035.015613,0,50000,0,0,0,0,0.000000,,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.591001,0.994846,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,89.8726,0.00000000,0.00000367,1.57080007,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.191124,1786965035.105522,2476,50000,0,2476,23,1631,0.009289,0.224074,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.591001,0.994846,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.379104,,0,1.000000,SAFE,1,current,50000,197.4938,0.00000000,0.00000367,1.57080364,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00003496,0.00000000,0.00000000,0.00000000
2,0.369405,1786965035.303046,2469,50000,0,2469,31,1655,0.012556,0.223934,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.589693,0.992216,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.380521,,0,1.000000,SAFE,1,current,50000,183.2805,0.00267399,-0.00267766,1.56819201,-0.00126914,1.57079637,0.00262631,0.01499872,-0.01503987,-0.01464896,-0.00711873,0.00000000,0.01473125
3,0.550202,1786965035.486355,2465,50000,0,2465,21,1598,0.008519,0.224565,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.582889,0.978472,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.383820,,0,1.000000,SAFE,1,current,50000,190.2422,0.01637408,-0.01378445,1.55607653,-0.00341493,1.57079637,0.01646211,0.07577616,-0.06143246,-0.06701160,-0.01186856,0.00000000,0.07652683
4,0.741098,1786965035.676625,2496,50000,0,2496,25,1650,0.010016,0.224992,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.567857,0.949025,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.398760,,0,1.000000,SAFE,1,current,50000,159.1257,0.04582101,-0.02839421,1.53915954,-0.00548370,1.57079637,0.04594939,0.15425680,-0.07653274,-0.08861911,-0.01083717,0.00000000,0.15446816
5,0.897545,1786965035.835767,2461,50000,0,2461,34,1677,0.013816,0.223176,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.548532,0.912246,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.416032,,0,1.000000,SAFE,1,current,50000,162.5682,0.08260032,-0.04070411,1.52475154,-0.00721868,1.57079637,0.08282774,0.23509007,-0.07868380,-0.09209460,-0.01108982,0.00000000,0.23572313
6,1.063405,1786965035.998353,2377,50000,0,2377,44,1655,0.018511,0.222354,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.521821,0.862830,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.442855,,0,1.000000,SAFE,1,current,50000,178.5894,0.13201600,-0.05338081,1.51002443,-0.00907103,1.57079637,0.13232411,0.29793622,-0.07643018,-0.08879248,-0.01116818,0.00000000,0.29842271
7,1.240004,1786965036.176960,2394,50000,0,2394,33,1693,0.013784,0.223659,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.485589,0.797748,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.481819,,0,1.000000,SAFE,1,current,50000,173.8373,0.19709782,-0.06686082,1.49425924,-0.01100408,1.57079637,0.19758566,0.36852927,-0.07633124,-0.08927123,-0.01094600,0.00000000,0.36954696
8,1.414685,1786965036.350816,2429,50000,0,2429,18,1661,0.007410,0.222758,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.442993,0.723383,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.502742,,0,1.000000,SAFE,1,current,50000,176.3136,0.27146342,-0.08032615,1.47857106,-0.01286744,1.57079637,0.27212733,0.42572336,-0.07708545,-0.08981068,-0.01066723,0.00000000,0.42673133
9,1.599138,1786965036.527160,2398,50000,0,2398,17,1695,0.007089,0.224203,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.395571,0.642760,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.485033,,0,1.000000,SAFE,1,current,50000,173.1375,0.35208666,-0.09455076,1.46189618,-0.01489953,1.57079256,0.35280558,0.43709360,-0.07711780,-0.09040175,-0.01101683,-0.00002068,0.43739187
10,1.762533,1786965036.700314,2372,50000,0,2372,21,1700,0.008853,0.221738,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.352375,0.570760,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.476284,,0,1.000000,SAFE,1,current,50000,168.8050,0.42408639,-0.10724214,1.44717276,-0.01674822,1.57079256,0.42483103,0.44064809,-0.07767296,-0.09010933,-0.01131421,0.00000000,0.44080550
11,1.940601,1786965036.869136,2421,50000,0,2421,35,1657,0.014457,0.222195,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.305958,0.494392,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.496874,,0,1.000000,SAFE,1,current,50000,169.9264,0.50045472,-0.12071114,1.43140018,-0.01864826,1.57079637,0.50119197,0.42887202,-0.07563971,-0.08857623,-0.01067031,0.00002142,0.42883052
12,2.105129,1786965037.039079,2470,50000,0,2470,14,1764,0.005668,0.222625,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.261927,0.422414,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.476753,,0,1.000000,SAFE,1,current,50000,147.1391,0.57243240,-0.13339885,1.41664004,-0.02042725,1.57079637,0.57315511,0.43747982,-0.07711579,-0.08971201,-0.01081271,0.00000000,0.43739142
13,2.253958,1786965037.186236,2393,50000,0,2393,11,1628,0.004597,0.221628,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.221878,0.356965,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.499248,,0,1.000000,SAFE,1,current,50000,160.0947,0.63788110,-0.14492746,1.40317106,-0.02211087,1.57079637,0.63859999,0.43975741,-0.07746207,-0.09049964,-0.01131246,0.00000000,0.43973178
14,2.409081,1786965037.346360,2476,50000,0,2476,8,1631,0.003231,0.222977,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.180695,0.289338,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.475323,,0,1.000000,SAFE,1,current,50000,162.8443,0.70550853,-0.15684487,1.38922155,-0.02381651,1.57079637,0.70625317,0.43595954,-0.07682548,-0.08992540,-0.01099535,0.00000000,0.43612554
15,2.570757,1786965037.509220,2478,50000,0,2478,15,1653,0.006053,0.222653,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.138887,0.220005,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.488766,,0,1.000000,SAFE,1,current,50000,161.5138,0.77484161,-0.16915479,1.37486863,-0.02550380,1.57079637,0.77542484,0.42884062,-0.07613964,-0.08877601,-0.01043629,0.00000000,0.42784226
16,2.734929,1786965037.670752,2545,50000,0,2545,7,1685,0.002750,0.223952,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.099370,0.153969,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.489757,,0,1.000000,SAFE,1,current,50000,146.1871,0.84087706,-0.18185717,1.36010849,-0.02735982,1.57079637,0.84129894,0.40223236,-0.07737218,-0.08990632,-0.01130532,0.00000000,0.40124955
17,2.881120,1786965037.816968,2496,50000,0,2496,34,1696,0.013622,0.223766,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.070052,0.105239,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.499884,,0,1.000000,SAFE,1,current,50000,166.4051,0.88960683,-0.19300063,1.34707963,-0.02898842,1.57079637,0.88988197,0.33333013,-0.07622549,-0.08912234,-0.01114027,0.00000000,0.33232632
18,3.046964,1786965037.983389,2376,50000,0,2376,34,1636,0.014310,0.223218,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.042198,0.059976,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.479915,,0,1.000000,SAFE,1,current,50000,186.0200,0.93487030,-0.20607349,1.33174372,-0.03078943,1.57079637,0.93503904,0.27292823,-0.07882633,-0.09247203,-0.01085963,0.00000000,0.27228669
19,3.234601,1786965038.169430,2436,50000,0,2436,22,1701,0.009031,0.223550,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.019525,0.025306,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.492487,,0,1.000000,SAFE,1,current,50000,174.2909,0.96954048,-0.22029077,1.31521916,-0.03279217,1.57079637,0.96957719,0.18477188,-0.07576980,-0.08806626,-0.01067345,0.00000000,0.18406826
20,3.411122,1786965038.343738,2416,50000,0,2416,21,1666,0.008692,0.223037,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.005447,0.006518,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.489745,,0,1.000000,SAFE,1,current,50000,172.3750,0.98832816,-0.23294179,1.30097258,-0.03477291,1.57079637,0.98837584,0.10643327,-0.07166877,-0.08070769,-0.01122098,0.00000000,0.10649540
21,3.584618,1786965038.516132,2479,50000,0,2479,25,1623,0.010085,0.225530,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.000319,0.000429,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.399926,0.489241,,0,1.000000,SAFE,1,current,50000,176.4675,0.99444270,-0.23882897,1.29505968,-0.03659225,1.57079637,0.99446112,0.03524323,-0.03393275,-0.03408099,-0.01048639,0.00000000,0.03507454
22,3.759577,1786965038.692625,2504,50000,0,2504,22,1604,0.008786,0.225722,1,0,0,,,,,,,,,,,no_stable_track,REFERENCE_ARMED,1,0,0,0,0.000000,0.400001,0.000017,0.000037,1.040070,26,0.025515,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.399978,0.485675,,0,1.000000,SAFE,1,current,50000,165.7679,0.99481690,-0.23921412,1.29466712,-0.03695538,1.57079637,0.99482423,0.00213877,-0.00220137,-0.00224370,-0.00207553,0.00000000,0.00207540
23,3.922179,1786965038.858411,2538,50000,0,2538,37,1743,0.014578,0.223918,1,0,0,,,,,,,,,,,reference_step_jump,RUNNING,1,5,5,1,0.170685,0.399973,0.000358,0.000649,1.206104,30,0.030804,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.399078,0.492753,,0,1.000000,SAFE,1,current,50000,179.2839,0.99452710,-0.23864190,1.29530537,-0.03693337,1.57079256,0.99464446,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
24,4.100873,1786965039.037712,2518,50000,0,2518,29,1737,0.011517,0.224441,1,0,0,,,,,,,,,,,reference_step_jump,RUNNING,1,10,5,1,0.378524,0.398570,0.000863,0.001695,1.413500,35,0.034406,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.396459,0.484618,,0,1.000000,SAFE,1,current,50000,178.6834,0.99279946,-0.23591289,1.29901004,-0.03607139,1.57079256,0.99277747,-0.00966813,0.01527196,0.02073186,0.00482379,0.00000000,-0.01044799
25,4.281693,1786965039.216414,2555,50000,0,2555,28,1669,0.010959,0.224494,1,0,0,,,,,,,,,,,reference_step_jump,RUNNING,1,15,5,1,0.585013,0.395238,0.000894,0.001665,1.620678,40,0.035374,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.393440,0.494432,,0,1.000000,SAFE,1,current,50000,170.3010,0.98968530,-0.23110777,1.30519080,-0.03449414,1.57079256,0.98970729,-0.01722250,0.02657412,0.03418196,0.00872281,0.00000000,-0.01697923
26,4.455433,1786965039.386746,2545,50000,0,2545,25,1672,0.009823,0.223550,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,20,5,0,0.792017,0.391138,0.000199,0.000348,1.828318,45,0.036416,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.389749,0.484995,,0,1.000000,SAFE,1,current,50000,183.6861,0.98654544,-0.22626963,1.31147408,-0.03305627,1.57079256,0.98652351,-0.01807217,0.02784706,0.03616493,0.00827597,0.00000000,-0.01832501
27,4.643001,1786965039.570451,2464,50000,0,2464,31,1688,0.012581,0.223440,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,25,5,0,0.998756,0.386927,0.000203,0.000385,2.036169,50,0.036460,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.386126,0.476027,,0,1.000000,SAFE,1,current,50000,162.7012,0.98298383,-0.22092167,1.31835532,-0.03156338,1.57079256,0.98300582,-0.01898832,0.02851203,0.03668647,0.00795915,0.00000000,-0.01875412
28,4.795839,1786965039.733169,2482,50000,0,2482,25,1696,0.010073,0.223168,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,28,3,0,1.122782,0.384437,0.000300,0.000532,2.160510,53,0.035176,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.383036,0.467440,,0,1.000000,SAFE,1,current,50000,159.7112,0.98019248,-0.21671443,1.32376564,-0.03040428,1.57079256,0.98016679,-0.01826352,0.02752758,0.03539919,0.00758387,0.00000000,-0.01857551
29,4.967826,1786965039.892899,2509,50000,0,2509,24,1759,0.009566,0.225184,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,33,5,0,1.330531,0.380324,0.000301,0.000550,2.368578,58,0.035947,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.379825,0.434974,,0,1.000000,SAFE,1,current,50000,177.9850,0.97684723,-0.21182862,1.32996821,-0.02899576,1.57079256,0.97685456,-0.01945059,0.02840798,0.03606420,0.00818970,0.00000000,-0.01925859
