frame,t_s,track_id,age,center_x,center_y,center_z,instant_speed_m_s,window_speed_m_s,median_speed_m_s,raw_cluster_speed_m_s,window_velocity_x_m_s,window_velocity_y_m_s,window_velocity_z_m_s,raw_window_speed_m_s,filtered_speed_m_s,raw_window_velocity_x_m_s,raw_window_velocity_y_m_s,raw_window_velocity_z_m_s,velocity_ema_alpha,cluster_radius_raw_m,tracked_radius_m,risk_radius_m,raw_radius_m,association_error_m,valid_streak,dynamic_state,prediction_ready,dynamic_valid,block_reason
31,5.516228,1,1,0.527086,-0.485814,0.369903,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000,0.090430,0.107727,0.162727,0.090430,0.007898,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
32,5.689992,1,2,0.509272,-0.472949,0.367010,0.011357,0.082021,0.082021,0.080105,-0.065925,0.047610,-0.010706,0.126186,0.082021,-0.101424,0.073246,-0.016471,0.650,0.094544,0.112844,0.167844,0.094544,0.022674,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
33,5.879521,1,3,0.519898,-0.464854,0.364995,0.000000,0.074491,0.074491,0.047631,-0.054077,0.049954,-0.011368,0.061933,0.074491,-0.019614,0.057199,-0.013393,0.250,0.098713,0.111307,0.166307,0.098713,0.019524,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
34,6.053943,1,4,0.536859,-0.452074,0.368683,0.015057,0.063782,0.063782,0.094993,-0.035014,0.052491,-0.009319,0.064895,0.063782,0.018045,0.062295,-0.002252,0.250,0.091808,0.112545,0.167545,0.091808,0.019325,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
35,6.223689,1,5,0.523821,-0.438054,0.362439,0.026290,0.061376,0.061376,0.085581,-0.004403,0.060685,-0.008057,0.068335,0.061376,-0.004605,0.067362,-0.010528,0.650,0.109318,0.119966,0.174966,0.109318,0.027757,0,0,0,0,"speed_ok,valid_streak_not_ready"
36,6.400267,1,6,0.535596,-0.432641,0.367680,0.033341,0.064108,0.064108,0.037653,0.019660,0.060931,-0.003265,0.068105,0.064108,0.037237,0.057016,0.000948,0.650,0.104906,0.123408,0.178408,0.104906,0.019949,0,0,0,0,"speed_ok,valid_streak_not_ready"
37,6.591592,1,7,0.514704,-0.416188,0.367497,0.038981,0.064427,0.064427,0.103304,0.002220,0.064387,0.000382,0.068908,0.064427,-0.007304,0.068430,0.003518,0.650,0.112554,0.131296,0.186296,0.112554,0.026655,0,0,0,0,"speed_ok,valid_streak_not_ready"
38,6.769814,1,8,0.537644,-0.428231,0.362563,0.034496,0.057935,0.057935,0.079470,0.000599,0.057927,-0.000700,0.034470,0.057935,0.001099,0.033371,-0.008566,0.250,0.110222,0.132396,0.187396,0.110222,0.026008,0,0,0,0,"speed_ok,valid_streak_not_ready"
39,6.946819,1,9,0.532845,-0.417108,0.371485,0.034709,0.049963,0.049963,0.065373,0.003113,0.049851,0.001231,0.033975,0.049963,0.012496,0.029005,0.012526,0.250,0.115524,0.143397,0.198397,0.115524,0.019563,0,0,0,0,"speed_ok,valid_streak_not_ready"
40,7.132756,1,10,0.538068,-0.406020,0.376087,0.037282,0.045078,0.045078,0.065762,0.005400,0.044597,0.003747,0.038061,0.045078,0.003357,0.036153,0.011417,0.250,0.114424,0.136548,0.191548,0.114424,0.016293,0,0,0,0,"speed_ok,valid_streak_not_ready"
41,7.322624,1,11,0.557894,-0.399927,0.372929,0.041319,0.049321,0.049321,0.044942,0.032973,0.035288,0.010003,0.063850,0.049321,0.059346,0.022343,0.007465,0.650,0.116723,0.146854,0.201854,0.116723,0.014539,0,0,0,0,"speed_ok,valid_streak_not_ready"
42,7.511264,1,12,0.545987,-0.370121,0.370981,0.050318,0.065537,0.065537,0.199998,0.026234,0.059252,0.009800,0.080250,0.065537,0.011290,0.078631,0.011391,0.650,0.115997,0.138513,0.193513,0.115997,0.021910,0,0,0,0,"speed_ok,valid_streak_not_ready"
43,7.699290,1,13,0.546368,-0.349762,0.358283,0.060580,0.083012,0.083012,0.116380,0.021281,0.079888,-0.007479,0.093331,0.083012,0.018043,0.089860,-0.017616,0.650,0.118778,0.134740,0.189740,0.118778,0.026728,1,1,1,0,valid_streak_not_ready
44,7.892534,1,14,0.542298,-0.345121,0.345684,0.062301,0.091807,0.091807,0.067960,0.006326,0.087009,-0.028599,0.089993,0.091807,0.005582,0.080362,-0.040119,0.650,0.117343,0.158542,0.213542,0.117343,0.038072,2,1,1,1,
