condition,trial,direction,completed,joint_rmse_rad,max_joint_error_rad,terminal_joint_l2_error_rad,terminal_max_joint_error_rad,execution_time_s,reference_time_s,execution_time_error_s,max_joint_velocity_rad_s,max_joint_acceleration_rad_s2,control_period_p50_ms,control_period_p95_ms,control_period_max_ms,status_delay_p95_ms,rgbd_delay_p95_ms,false_hold_count,hold_count,online_min_clearance_m,risk_state_frames
B1_no_obstacle_nubs,0,forward,True,0.003232011067953854,0.008921525702647037,0.002385737726373711,0.0014725683722961458,8.0,8.0,0.0,0.4166479401197132,10.105528641671004,19.983449775113122,23.795986897410447,25.171488809928757,15.173018499311993,25.392129849750567,0,0,,0
B1_no_obstacle_nubs,1,reverse,True,0.003162503248309696,0.008669792917397556,0.003846712269024033,0.0024941240019801915,8.0,8.0,0.0,0.4038008068851226,10.392368351570951,19.98726747876118,24.194073135132918,26.374812553002126,15.24396509362714,25.749609088710727,0,0,,0
B1_no_obstacle_nubs,2,forward,True,0.0031993130369817155,0.009227172259107963,0.002763794696106993,0.0016799352225332909,8.0,8.0,0.0,0.39642310772007305,9.350798111199543,20.021432974141778,23.483543222184217,25.70078352922439,15.099263175495443,25.134010374034514,0,0,,0
B1_no_obstacle_nubs,3,reverse,True,0.0031854532065192947,0.008918268262159523,0.002990940173669252,0.001749739712189946,8.0,8.0,0.0,0.44918822420076665,10.731859324535908,19.74625966520595,23.161833354683154,25.02688749949769,15.063704166861731,25.435453802317742,0,0,,0
B1_no_obstacle_nubs,4,forward,True,0.003212699767442668,0.010495768208092726,0.006392660960537638,0.004043658623851254,8.0,8.0,0.0,0.39927089649060277,14.52531536834284,20.195263898120487,24.057493810137895,27.194564311587254,15.154739098941889,26.00356830906034,0,0,,0
B1_no_obstacle_nubs,5,reverse,True,0.003155528366798454,0.009628398401968608,0.0033709207181735145,0.00279485890822416,8.0,8.0,0.0,0.37130812374828737,12.250613439812874,19.839400558514836,23.575828151142062,25.69069836362393,15.139032641622773,25.107731053646148,0,0,,0
B1_no_obstacle_nubs,6,forward,True,0.0031585834802711947,0.009322059312121267,0.004026419459100438,0.0027792960478478096,8.0,8.0,0.0,0.37837178530610444,12.05531621973309,19.929389689372464,23.816892427632144,25.39852211096605,14.9920038977071,25.221751724665886,0,0,,0
B1_no_obstacle_nubs,7,reverse,True,0.003205542733395869,0.009469525414001367,0.004680327291683799,0.003647854121569205,8.0,8.0,0.0,0.38827104093402953,15.79136358076119,19.84436789649511,23.55426289909903,27.058806877856608,15.34934571065834,25.637440488666876,0,0,,0
B1_no_obstacle_nubs,8,forward,True,0.0032029723111204316,0.009401586724727962,0.0036179654889322036,0.0022406695588651493,8.0,8.0,0.0,0.4039803665188968,9.490975530698497,20.09628229533544,23.83564144049779,26.728345681599453,15.113892688576446,25.104657078829725,0,0,,0
B1_no_obstacle_nubs,9,reverse,True,0.003186314145019353,0.010501795634475064,0.005858139366016775,0.003402028817901159,8.0,8.0,0.0,0.4785740438030525,12.790086470433337,20.14087887024249,23.892511260665835,26.508811992052436,14.903504271557592,25.133750406851476,0,0,,0
