frame,t_s,cluster_index,dynamic_prefilter_ok,point_count,center_x,center_y,center_z,raw_radius_m,bbox_dx_m,bbox_dy_m,bbox_dz_m,raw_centroid_speed_m_s
6,0.915912,0,1,36,0.673879,0.408923,0.203589,0.066028,0.109150,0.116107,0.088958,
7,1.060196,0,0,351,-0.651466,-0.616106,0.295657,0.169712,0.247030,0.278683,0.375053,
8,1.190946,0,0,383,-0.659384,-0.428111,0.305917,0.239074,0.399305,0.290559,0.468686,
8,1.190946,1,1,53,0.690648,0.398823,0.220224,0.086022,0.132918,0.157950,0.087156,
9,1.324017,0,1,47,0.672421,0.408106,0.206749,0.069117,0.092554,0.144443,0.080527,0.182861
9,1.324017,1,0,163,-0.725316,-0.323715,0.239942,0.151585,0.339484,0.126949,0.222781,
10,1.458286,0,0,92,-0.726546,-0.085098,0.598728,0.104858,0.198330,0.098962,0.157167,
12,1.719070,0,0,71,-0.575607,0.225942,0.647857,0.110261,0.124117,0.098034,0.247317,
13,1.848780,0,1,48,-0.521273,0.327237,0.669305,0.087211,0.075948,0.067035,0.202214,0.877371
14,1.985264,0,0,118,-0.381629,0.467439,0.241346,0.109940,0.209742,0.139755,0.198669,
14,1.985264,1,0,77,-0.422631,0.437207,0.640357,0.142174,0.111381,0.058197,0.293439,
15,2.119216,0,0,189,-0.295145,0.575261,0.322283,0.170802,0.149500,0.229301,0.332467,
16,2.246843,0,0,266,-0.139465,0.671979,0.354660,0.176243,0.318430,0.187243,0.404109,
16,2.246843,1,1,49,-0.175472,0.620353,0.671470,0.075689,0.113589,0.046929,0.153930,
17,2.383321,0,0,342,-0.022905,0.693153,0.430366,0.249347,0.391900,0.175053,0.583867,
18,2.524330,0,0,222,0.116698,0.699929,0.418060,0.188392,0.405622,0.153219,0.301299,
18,2.524330,1,1,42,0.689908,0.397645,0.219095,0.072614,0.094364,0.164971,0.069366,
19,2.664826,0,0,220,0.202238,0.685448,0.357903,0.162505,0.368689,0.115205,0.294690,0.722600
19,2.664826,1,1,40,0.679499,0.390070,0.215069,0.063288,0.108269,0.119840,0.082507,0.092325
19,2.664826,2,1,42,0.095304,0.625450,0.617109,0.057945,0.110772,0.036741,0.114319,
20,2.795242,0,0,256,0.255400,0.673050,0.374955,0.207099,0.364248,0.132179,0.393214,0.428688
20,2.795242,1,0,210,0.322602,0.761881,0.049723,0.191452,0.334341,0.295662,0.337738,
21,2.928448,0,0,673,0.327879,0.702050,0.323456,0.328483,0.361009,0.256676,0.829995,0.710679
22,3.053644,0,0,112,0.366812,0.721484,0.110935,0.123577,0.212654,0.149069,0.249386,
22,3.053644,1,0,349,0.382288,0.682966,0.409280,0.215335,0.306261,0.168941,0.464176,0.823834
23,3.174070,0,1,120,0.482610,0.656045,0.331752,0.097562,0.162764,0.183575,0.178201,
23,3.174070,1,1,79,0.412935,0.710072,0.139283,0.094287,0.151385,0.139739,0.181685,0.442386
23,3.174070,2,1,65,0.373942,0.693009,0.528534,0.089251,0.134528,0.070143,0.191579,0.959214
25,3.436085,0,1,31,0.575143,0.605129,0.373686,0.079208,0.110349,0.108490,0.113928,
26,3.568673,0,1,37,0.636750,0.576089,0.370669,0.067409,0.087371,0.081101,0.119741,0.510491
27,3.699610,0,1,88,0.697591,0.517772,0.324305,0.093233,0.180543,0.131854,0.153759,0.732717
28,3.826739,0,0,79,0.698400,0.521886,0.346218,0.113571,0.174248,0.134933,0.197286,0.172660
29,3.951911,0,0,75,0.701107,0.523661,0.350112,0.101443,0.138092,0.122750,0.201268,0.041426
30,4.083507,0,1,68,0.706457,0.518103,0.336877,0.070099,0.098515,0.107685,0.121623,0.115531
31,4.201318,0,1,58,0.713364,0.518667,0.329001,0.076310,0.135976,0.109771,0.119199,0.086605
32,4.335082,0,1,55,0.716324,0.525466,0.312650,0.079825,0.146132,0.109617,0.077406,0.138866
33,4.465479,0,1,64,0.704428,0.533900,0.311828,0.085413,0.168303,0.163678,0.066237,0.110742
34,4.582829,0,1,52,0.711026,0.537476,0.313658,0.083374,0.146448,0.114936,0.057855,0.064631
35,4.714272,0,1,55,0.720289,0.533856,0.313738,0.088499,0.158419,0.132154,0.058496,0.076597
36,4.838329,0,0,68,0.732157,0.518347,0.309343,0.100868,0.172637,0.139914,0.070925,0.159310
37,4.966710,0,1,56,0.722902,0.524412,0.319769,0.093860,0.167124,0.127801,0.059992,0.117840
41,5.481158,0,0,211,0.699728,-0.501131,0.395355,0.132334,0.130480,0.180127,0.259481,
43,5.732909,0,0,285,0.700865,-0.499472,0.387685,0.154028,0.128391,0.268017,0.266828,
44,5.862176,0,0,262,0.701848,-0.494653,0.393514,0.143216,0.114785,0.250361,0.249701,0.058936
45,5.996242,0,0,225,0.704751,-0.478659,0.402660,0.136005,0.104219,0.226695,0.242624,0.142492
46,6.124361,0,0,251,0.707233,-0.478374,0.386325,0.142503,0.114899,0.240508,0.249022,0.127386
47,6.248447,0,0,297,0.702926,-0.466371,0.394662,0.144323,0.130720,0.240991,0.261328,0.121357
48,6.379144,0,0,272,0.703622,-0.458536,0.400716,0.139586,0.128067,0.227479,0.254763,0.076606
49,6.507219,0,0,313,0.699011,-0.465166,0.393944,0.153916,0.147934,0.268612,0.270996,0.082122
50,6.642068,0,0,268,0.708363,-0.453035,0.402312,0.148867,0.110730,0.235168,0.258504,0.130048
51,6.764043,0,0,306,0.703334,-0.440515,0.402695,0.150175,0.127055,0.253320,0.260675,0.110818
52,6.895438,0,0,282,0.707750,-0.423604,0.409535,0.134865,0.107203,0.216596,0.241837,0.141829
52,6.895438,1,1,51,0.762097,0.422783,0.251157,0.098895,0.173350,0.190872,0.060308,
53,7.028218,0,0,309,0.703361,-0.413941,0.393774,0.151392,0.168593,0.248177,0.260406,0.143463
