frame,t_s,track_id,age,center_x,center_y,center_z,instant_speed_m_s,window_speed_m_s,median_speed_m_s,raw_cluster_speed_m_s,window_velocity_x_m_s,window_velocity_y_m_s,window_velocity_z_m_s,raw_window_speed_m_s,filtered_speed_m_s,raw_window_velocity_x_m_s,raw_window_velocity_y_m_s,raw_window_velocity_z_m_s,velocity_ema_alpha,cluster_radius_raw_m,tracked_radius_m,risk_radius_m,raw_radius_m,association_error_m,valid_streak,dynamic_state,prediction_ready,dynamic_valid,block_reason
40,7.069219,1,1,0.480695,-0.468314,0.362460,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000,0.087507,0.103817,0.158817,0.087507,0.016663,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
41,7.250538,1,2,0.481313,-0.466975,0.364538,0.000000,0.009092,0.009092,0.073563,0.002206,0.004776,0.007415,0.013988,0.009092,0.003394,0.007348,0.011408,0.650,0.092361,0.103861,0.158861,0.092361,0.010096,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
42,7.422674,1,3,0.473004,-0.470084,0.369325,0.000000,0.020202,0.020202,0.074650,-0.013224,-0.001498,0.015200,0.029691,0.020202,-0.021831,-0.005023,0.019487,0.650,0.095561,0.103297,0.158297,0.095561,0.013945,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
43,7.601576,1,4,0.475223,-0.444459,0.361612,0.012322,0.028922,0.028922,0.062638,-0.013650,0.024757,0.006107,0.046060,0.028922,-0.010292,0.044868,-0.001594,0.650,0.100578,0.114415,0.169415,0.100578,0.018865,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
44,7.781336,1,5,0.474748,-0.435634,0.360880,0.021663,0.042496,0.042496,0.071637,-0.011322,0.040960,-0.000125,0.046749,0.042496,-0.008360,0.045942,-0.002220,0.650,0.103772,0.116526,0.171526,0.103772,0.024631,0,0,0,0,"speed_ok,valid_streak_not_ready"
45,7.981023,1,6,0.498048,-0.447469,0.380630,0.020266,0.042188,0.042188,0.072684,0.009195,0.040218,0.008819,0.041578,0.042188,0.022946,0.026746,0.022064,0.650,0.099798,0.110623,0.165623,0.099798,0.009888,0,0,0,0,"speed_ok,valid_streak_not_ready"
46,8.170869,1,7,0.489656,-0.426499,0.369346,0.026359,0.049610,0.049610,0.089408,0.022858,0.042895,0.009933,0.062409,0.049610,0.022274,0.058298,0.000028,0.650,0.103042,0.125355,0.180355,0.103042,0.011122,0,0,0,0,"speed_ok,valid_streak_not_ready"
47,8.367072,1,8,0.486251,-0.423666,0.370298,0.027785,0.045884,0.045884,0.071995,0.022013,0.038766,0.010861,0.032945,0.045884,0.014482,0.027305,0.011406,0.250,0.111482,0.134015,0.189015,0.111482,0.018307,0,0,0,0,"speed_ok,valid_streak_not_ready"
48,8.563016,1,9,0.497338,-0.412616,0.370332,0.032090,0.044367,0.044367,0.043396,0.020866,0.038035,0.009293,0.043144,0.044367,0.029000,0.029550,0.012133,0.250,0.112812,0.129863,0.184863,0.112812,0.012384,0,0,0,0,"speed_ok,valid_streak_not_ready"
49,8.749322,1,10,0.495843,-0.402885,0.363638,0.035814,0.049416,0.049416,0.079184,0.008475,0.048049,-0.007836,0.062202,0.049416,-0.002872,0.058062,-0.022129,0.650,0.111525,0.140161,0.195161,0.111525,0.017331,0,0,0,0,"speed_ok,valid_streak_not_ready"
50,8.931107,1,11,0.497810,-0.401414,0.364495,0.035907,0.047072,0.047072,0.056481,0.009764,0.045346,-0.008013,0.035225,0.047072,0.010710,0.032947,-0.006371,0.250,0.111859,0.130874,0.185874,0.111859,0.024625,0,0,0,0,"speed_ok,valid_streak_not_ready"
51,9.103259,1,12,0.490975,-0.379173,0.365459,0.043593,0.052037,0.052037,0.127922,0.007136,0.050871,-0.008311,0.060709,0.052037,0.006373,0.060020,-0.006528,0.650,0.110794,0.142647,0.197647,0.110794,0.025584,0,0,0,0,"speed_ok,valid_streak_not_ready"
52,9.278174,1,13,0.496251,-0.363322,0.348085,0.053393,0.064673,0.064673,0.112693,-0.000070,0.062024,-0.018319,0.075483,0.064673,-0.001517,0.068787,-0.031044,0.650,0.116491,0.140249,0.195249,0.116491,0.031476,0,0,0,0,"speed_ok,valid_streak_not_ready"
53,9.453076,1,14,0.504603,-0.362505,0.353134,0.053650,0.068855,0.068855,0.040690,0.005887,0.065569,-0.020174,0.060407,0.068855,0.012412,0.057214,-0.014883,0.650,0.120912,0.146058,0.201058,0.120912,0.023380,0,0,0,0,"speed_ok,valid_streak_not_ready"
54,9.691294,1,15,0.508835,-0.319700,0.350001,0.067396,0.092530,0.092530,0.196540,0.015121,0.088621,-0.021897,0.116154,0.092530,0.015297,0.113372,-0.020110,0.650,0.118437,0.141508,0.196508,0.118437,0.023486,1,1,1,0,valid_streak_not_ready
