frame,t_s,cluster_index,dynamic_prefilter_ok,point_count,center_x,center_y,center_z,raw_radius_m,bbox_dx_m,bbox_dy_m,bbox_dz_m,raw_centroid_speed_m_s
22,2.901119,0,0,159,0.715217,-0.496698,0.378685,0.134164,0.129868,0.133549,0.255805,
27,3.561839,0,1,35,0.649450,0.433857,0.200877,0.064437,0.079342,0.117156,0.108953,
28,3.691817,0,0,204,0.719833,-0.479385,0.391107,0.133962,0.113850,0.214060,0.244605,
29,3.817789,0,0,204,0.713372,-0.485650,0.389844,0.142942,0.130727,0.230171,0.241117,0.068368
30,3.948023,0,0,244,0.713338,-0.488256,0.389298,0.147859,0.119528,0.255094,0.265068,0.020243
31,4.078480,0,0,235,0.716957,-0.477689,0.373875,0.151258,0.105359,0.240419,0.258812,0.146823
32,4.215788,0,0,232,0.713557,-0.470618,0.401804,0.141638,0.114573,0.235918,0.246424,0.219345
33,4.340790,0,0,310,0.711352,-0.457101,0.394839,0.150337,0.148583,0.282837,0.268264,0.117449
34,4.471020,0,0,241,0.710890,-0.453118,0.406637,0.138791,0.132063,0.233765,0.250346,0.096026
35,4.597641,0,0,285,0.705638,-0.414246,0.417701,0.142341,0.131875,0.208693,0.252272,0.327258
36,4.727305,0,0,217,0.708456,-0.409115,0.417945,0.138176,0.115549,0.216607,0.248989,0.044764
37,4.855868,0,0,275,0.705547,-0.371464,0.406033,0.140256,0.112125,0.211970,0.255002,0.315705
38,4.989088,0,0,241,0.706785,-0.376900,0.407771,0.138778,0.109431,0.214870,0.259393,0.043983
39,5.119182,0,0,257,0.702496,-0.352076,0.411234,0.136869,0.106844,0.219803,0.247929,0.193936
40,5.253257,0,0,281,0.701239,-0.353766,0.405134,0.145893,0.123899,0.230683,0.258576,0.048008
41,5.383544,0,0,265,0.704798,-0.347744,0.402680,0.143144,0.097399,0.226285,0.249831,0.056569
42,5.515605,0,0,287,0.701196,-0.339119,0.406370,0.143287,0.114882,0.226313,0.249737,0.076259
43,5.646185,0,0,244,0.705689,-0.330964,0.409860,0.132277,0.111424,0.205930,0.242521,0.075441
44,5.779850,0,0,266,0.700175,-0.324410,0.409057,0.137710,0.114038,0.218339,0.245219,0.064989
