frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
17,2.294452,1786351464.462073,2687,50000,1,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,127.4235,0.00548370,-0.21553700,1.32650208,-0.03251707,1.57079637,0.00551305,0.03624964,-0.03513824,-0.03661919,-0.02405243,0.00000000,0.03704759
18,2.423460,1786351464.589532,2615,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.0701,0.01698664,-0.22444296,1.31583166,-0.03648221,1.57079637,0.01707834,0.08916435,-0.06903405,-0.08271117,-0.03073555,0.00000000,0.08964769
19,2.557489,1786351464.718633,2563,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,139.4011,0.03658858,-0.23489317,1.30106056,-0.04052437,1.57079637,0.03666194,0.14625132,-0.07796971,-0.11020814,-0.03015887,0.00000000,0.14611450
20,2.692117,1786351464.858054,2603,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,128.6318,0.06401075,-0.24535806,1.28589690,-0.04458488,1.57079637,0.06419049,0.20368975,-0.07773239,-0.11263447,-0.03016112,0.00000000,0.20447990
21,2.829349,1786351464.986705,2612,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,128.7236,0.09922382,-0.25584128,1.27067459,-0.04866740,1.57080007,0.09950627,0.25659342,-0.07638997,-0.11092316,-0.02974881,0.00002693,0.25734183
22,2.950954,1786351465.115449,2660,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,131.7371,0.13881652,-0.26551387,1.25659668,-0.05229507,1.57080007,0.13915031,0.32558618,-0.07954141,-0.11576807,-0.02983180,0.00000000,0.32600838
23,3.082462,1786351465.247217,2583,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.2524,0.18704742,-0.27562663,1.24196863,-0.05626021,1.57080007,0.18765263,0.36675226,-0.07689839,-0.11123307,-0.03015129,0.00000000,0.36881620
24,3.209918,1786351465.376502,2320,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.8125,0.23899770,-0.28532124,1.22788703,-0.05999793,1.57080007,0.23956257,0.40759234,-0.07606210,-0.11048163,-0.02932548,0.00000000,0.40727586
25,3.344378,1786351465.506335,2313,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,133.3824,0.29755777,-0.29577878,1.21266842,-0.06396674,1.57080364,0.29829139,0.43552302,-0.07777487,-0.11318390,-0.02951683,0.00002660,0.43677798
26,3.475089,1786351465.639748,2305,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,126.6526,0.35644060,-0.30625468,1.19747901,-0.06807493,1.57080364,0.35717791,0.45047848,-0.08014508,-0.11620538,-0.03142939,0.00000000,0.45050675
