frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
72,9.485138,1786351471.650565,2730,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.321127,,,1,1.000000,SAFE,0,current,50000,120.5987,0.79038298,-0.32996112,1.17080152,-0.07000432,1.57083666,0.79038668,-0.02198357,0.02277143,0.03242534,0.00957010,0.00000000,-0.02172972
73,9.608763,1786351471.771184,2680,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.318640,,,1,1.000000,SAFE,0,current,50000,130.5650,0.78765035,-0.32716241,1.17477763,-0.06887089,1.57083666,0.78761363,-0.02210434,0.02263880,0.03216281,0.00916832,0.00000000,-0.02243123
74,9.734872,1786351471.901780,2731,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.316027,,,1,1.000000,SAFE,0,current,50000,128.8086,0.78488833,-0.32435638,1.17866206,-0.06771180,1.57083666,0.78488833,-0.02190173,0.02225078,0.03080204,0.00919116,0.00000000,-0.02161058
75,9.881195,1786351472.030620,2762,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.313654,,,1,1.000000,SAFE,0,current,50000,138.1959,0.78157240,-0.32106248,1.18335724,-0.06631428,1.57083666,0.78155041,-0.02266182,0.02251130,0.03208795,0.00955098,0.00000000,-0.02281213
76,10.002884,1786351472.168835,2704,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.310540,,,1,1.000000,SAFE,0,current,50000,129.0099,0.77888739,-0.31840685,1.18718660,-0.06521020,1.57083666,0.77889472,-0.02206438,0.02182291,0.03146820,0.00907290,0.00000000,-0.02182340
77,10.130483,1786351472.297876,2660,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.308141,,,1,1.000000,SAFE,0,current,50000,125.0299,0.77597499,-0.31559348,1.19113338,-0.06405844,1.57083666,0.77596766,-0.02282476,0.02204863,0.03093128,0.00902647,0.00000000,-0.02293967
78,10.258984,1786351472.422926,2683,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.305631,,,1,1.000000,SAFE,0,current,50000,132.2837,0.77316892,-0.31283876,1.19495916,-0.06300938,1.57083666,0.77316159,-0.02183696,0.02143736,0.02977245,0.00816381,0.00000000,-0.02183696
79,10.397306,1786351472.555242,2654,50000,1,0,0,0.526781,upperArm_Link,0,0.625439,-0.619647,0.354748,,,,,no_stable_track,SAFE,SAFE,,0.303230,0.525329,,0,1.000000,SAFE,1,current,50000,153.4154,0.76998878,-0.30985299,1.19916272,-0.06185029,1.57083666,0.77001446,-0.02299078,0.02158558,0.03038950,0.00837961,0.00000000,-0.02275205
80,10.543242,1786351472.708681,2675,50000,1,0,0,0.493235,upperArm_Link,0,0.620390,-0.625419,0.339882,,,,,no_stable_track,SAFE,SAFE,,0.300134,0.489466,,0,1.000000,SAFE,1,current,50000,148.4579,0.76670223,-0.30673516,1.20338464,-0.06061783,1.57083666,0.76670957,-0.02252049,0.02136442,0.02893000,0.00844523,0.00000000,-0.02264628
81,10.691871,1786351472.857162,2673,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.296953,,,1,1.000000,SAFE,0,current,50000,124.5387,0.76326162,-0.30358800,1.20785594,-0.05932302,1.57084036,0.76324326,-0.02314900,0.02117454,0.03008360,0.00871171,0.00002486,-0.02332185
82,10.814652,1786351472.981720,2672,50000,1,0,0,0.487521,upperArm_Link,0,0.626374,-0.625024,0.344626,,,,,no_stable_track,SAFE,SAFE,,0.294533,0.486207,,0,1.000000,SAFE,1,current,50000,145.0975,0.76051426,-0.30106074,1.21133327,-0.05833998,1.57084036,0.76049960,-0.02237619,0.02058363,0.02832158,0.00800644,0.00000000,-0.02234609
83,10.961131,1786351473.126842,2607,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.291439,,,1,1.000000,SAFE,0,current,50000,129.1210,0.75704062,-0.29796493,1.21558440,-0.05718823,1.57083666,0.75700760,-0.02371418,0.02113475,0.02902198,0.00786292,-0.00002523,-0.02383951
84,11.092329,1786351473.255996,2704,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.289028,,,1,1.000000,SAFE,0,current,50000,131.4619,0.75402921,-0.29530928,1.21929646,-0.05621987,1.57083666,0.75403285,-0.02295319,0.02024163,0.02829363,0.00738092,0.00000000,-0.02267379
85,11.224823,1786351473.387477,2668,50000,1,0,0,0.509686,upperArm_Link,0,0.637397,-0.610036,0.351279,,,,,no_stable_track,SAFE,SAFE,,0.286530,0.509077,,0,1.000000,SAFE,1,current,50000,151.1676,0.75099570,-0.29263160,1.22303069,-0.05522216,1.57083666,0.75096637,-0.02289546,0.02020976,0.02818408,0.00753016,0.00000000,-0.02314423
86,11.372779,1786351473.538670,2708,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.283332,,,1,1.000000,SAFE,0,current,50000,129.3583,0.74747443,-0.28962383,1.22714972,-0.05403739,1.57083666,0.74746710,-0.02379937,0.02032878,0.02783958,0.00800762,0.00000000,-0.02365071
87,11.510780,1786351473.668047,2686,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.280843,,,1,1.000000,SAFE,0,current,50000,130.4804,0.74418420,-0.28679213,1.23101223,-0.05297733,1.57083666,0.74418420,-0.02384210,0.02051938,0.02798890,0.00768154,0.00000000,-0.02378897
88,11.635384,1786351473.798559,2695,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.278128,,,1,1.000000,SAFE,0,current,50000,132.1006,0.74121314,-0.28434920,1.23432088,-0.05207133,1.57083666,0.74122411,-0.02384402,0.01960557,0.02655342,0.00727107,0.00000000,-0.02375600
89,11.779620,1786351473.930695,2708,50000,1,0,0,0.503283,upperArm_Link,0,0.633248,-0.603130,0.358447,,,,,no_stable_track,SAFE,SAFE,,0.275145,0.497714,,0,1.000000,SAFE,1,current,50000,182.1936,0.73788983,-0.28155050,1.23815393,-0.05109930,1.57083666,0.73788619,-0.02304082,0.01940366,0.02657488,0.00673913,0.00000000,-0.02314207
90,11.955858,1786351474.112920,2665,50000,1,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.272027,,,1,1.000000,SAFE,0,current,50000,131.8943,0.73356527,-0.27806589,1.24290764,-0.04987051,1.57083666,0.73358357,-0.02453808,0.01977211,0.02697316,0.00697232,0.00000000,-0.02441362
91,12.079746,1786351474.244847,2744,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.269542,,,1,1.000000,SAFE,0,current,50000,126.9300,0.73070425,-0.27572566,1.24594474,-0.04904153,1.57083666,0.73067850,-0.02309368,0.01888991,0.02451490,0.00669136,0.00000000,-0.02344922
92,12.206124,1786351474.371796,2689,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.266535,,,1,1.000000,SAFE,0,current,50000,128.9503,0.72753131,-0.27325341,1.24939275,-0.04814653,1.57083666,0.72753501,-0.02510675,0.01956240,0.02728336,0.00708192,0.00000000,-0.02487376
93,12.335441,1786351474.500770,2615,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.263937,,,1,1.000000,SAFE,0,current,50000,129.7498,0.72439885,-0.27078849,1.25265360,-0.04724787,1.57083666,0.72435850,-0.02422318,0.01906111,0.02521600,0.00694935,0.00000000,-0.02456380
94,12.464855,1786351474.630549,2682,50000,1,0,0,0.478934,upperArm_Link,0,0.632878,-0.599997,0.361382,,,,,no_stable_track,SAFE,SAFE,,0.261530,0.478237,,0,1.000000,SAFE,1,current,50000,147.9252,0.72133237,-0.26844096,1.25585210,-0.04643724,1.57083666,0.72133601,-0.02369501,0.01813960,0.02471517,0.00626383,0.00000000,-0.02335511
95,12.617397,1786351474.778498,2706,50000,1,0,0,0.479321,upperArm_Link,0,0.637750,-0.601362,0.353319,,,,,no_stable_track,SAFE,SAFE,,0.258437,0.477503,,0,1.000000,SAFE,1,current,50000,153.4416,0.71755797,-0.26556888,1.25971448,-0.04547621,1.57083666,0.71754700,-0.02474340,0.01882814,0.02532014,0.00630007,0.00000000,-0.02483914
96,12.768922,1786351474.931959,2671,50000,1,1,1,0.496634,upperArm_Link,0,0.632978,-0.597951,0.376426,0.156072,left_link,0.000,9,future_reference_clearance_above_threshold,SAFE,SAFE,0.000000,0.255339,0.494716,,0,1.000000,SAFE,1,current,50000,149.6446,0.71384597,-0.26280320,1.26342297,-0.04455554,1.57083666,0.71384227,-0.02449766,0.01825238,0.02447445,0.00607608,0.00000000,-0.02444966
97,12.914509,1786351475.081625,2678,50000,2,1,1,0.416018,upperArm_Link,0,0.626329,-0.595271,0.360080,0.138825,left_link,0.000,9,,SAFE,WARNING,0.000000,0.252332,0.409886,,0,1.000000,SAFE,1,current,50000,155.8288,0.71025497,-0.26018056,1.26694417,-0.04367888,1.57083666,0.71026593,-0.02466566,0.01801420,0.02418625,0.00602154,0.00000000,-0.02456495
