frame,t_s,timestamp,scene_points,robot_points,cluster_count,raw_point_count,roi_point_count,safety_roi_point_count,rho_retain,table_z_m,table_plane_valid,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_raw_speed_m_s,predicted_object_filtered_speed_m_s,predicted_object_raw_velocity_x_m_s,predicted_object_raw_velocity_y_m_s,predicted_object_raw_velocity_z_m_s,predicted_object_velocity_ema_alpha,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.092685,1786966696.579788,0,50000,0,0,0,0,0.000000,,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.591001,0.994846,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,93.7253,0.00000000,0.00000000,1.57080007,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.202513,1786966696.673549,2401,50000,0,2401,9,1656,0.003748,0.224933,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.590999,0.994843,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.372787,,0,1.000000,SAFE,1,current,50000,181.6871,0.00000367,-0.00000367,1.57080007,-0.00000367,1.57079637,0.00000367,0.00003340,-0.00003340,0.00000000,-0.00003340,0.00000000,0.00003340
2,0.354973,1786966696.855253,2386,50000,0,2386,18,1635,0.007544,0.224878,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.589966,0.992946,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.376182,,0,1.000000,SAFE,1,current,50000,170.2242,0.00195139,-0.00201742,1.56895125,-0.00102705,1.57079637,0.00189637,0.01277537,-0.01320843,-0.01212663,-0.00671248,0.00000000,0.01241448
3,0.526432,1786966697.025494,2478,50000,0,2478,11,1626,0.004439,0.224356,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.584260,0.981209,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.385683,,0,1.000000,SAFE,1,current,50000,143.6902,0.01363773,-0.01194310,1.55821502,-0.00312883,1.57079637,0.01376978,0.06815804,-0.05788940,-0.06261672,-0.01225818,0.00000000,0.06924908
4,0.667383,1786966697.169200,2532,50000,0,2532,24,1799,0.009479,0.223350,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.574787,0.962491,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.391611,,0,1.000000,SAFE,1,current,50000,177.8702,0.03235568,-0.02265007,1.54593074,-0.00469141,1.57079637,0.03245104,0.13279725,-0.07596221,-0.08715263,-0.01108596,0.00000000,0.13253701
5,0.847792,1786966697.347103,2428,50000,0,2428,24,1600,0.009885,0.224100,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.555885,0.926122,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.411711,,0,1.000000,SAFE,1,current,50000,182.9938,0.06872418,-0.03650788,1.52969241,-0.00661345,1.57079637,0.06891858,0.20158978,-0.07681353,-0.09000871,-0.01065386,0.00000000,0.20213872
6,1.030561,1786966697.530125,2416,50000,0,2416,27,1737,0.011175,0.223680,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.528079,0.874286,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.436654,,0,1.000000,SAFE,1,current,50000,159.8899,0.12056074,-0.05072516,1.51312757,-0.00867122,1.57079637,0.12097156,0.28361699,-0.07778797,-0.09063239,-0.01125879,0.00000000,0.28480109
7,1.190521,1786966697.690031,2376,50000,0,2376,44,1743,0.018519,0.223760,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.496750,0.817604,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.462369,,0,1.000000,SAFE,1,current,50000,190.1191,0.17724277,-0.06304973,1.49873424,-0.01043554,1.57079637,0.17781132,0.35435208,-0.07704803,-0.08998101,-0.01102979,0.00000000,0.35533818
8,1.382444,1786966697.880177,2389,50000,0,2389,15,1608,0.006279,0.224501,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.451786,0.738568,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.503266,,0,1.000000,SAFE,1,current,50000,189.8454,0.25627780,-0.07764115,1.48169982,-0.01249330,1.57079637,0.25696370,0.41180635,-0.07602754,-0.08875658,-0.01072184,0.00000000,0.41241778
9,1.575123,1786966698.070050,2368,50000,0,2368,11,1700,0.004645,0.223602,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.402045,0.653661,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.498012,,0,1.000000,SAFE,1,current,50000,145.5125,0.34118530,-0.09267640,1.46418881,-0.01464277,1.57079637,0.34203628,0.44066758,-0.07803253,-0.09088166,-0.01115566,0.00000000,0.44152432
