frame,t_s,timestamp,scene_points,robot_points,cluster_count,raw_point_count,roi_point_count,safety_roi_point_count,rho_retain,table_z_m,table_plane_valid,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.086810,1786956688.999442,0,50000,0,0,0,0,0.000000,,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.591001,0.994846,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,88.3522,0.00000000,0.00000000,1.57080007,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.186768,1786956689.087831,2331,50000,0,2331,26,1639,0.011154,0.225848,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.590997,0.994839,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.345465,,0,1.000000,SAFE,1,current,50000,202.9742,0.00000734,-0.00000367,1.57080007,-0.00000367,1.57079637,0.00000367,0.00007339,-0.00003670,0.00000000,-0.00003670,0.00000000,0.00003670
2,0.368872,1786956689.290822,2396,50000,0,2396,29,1629,0.012104,0.224648,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.589268,0.991347,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.346771,,0,1.000000,SAFE,1,current,50000,181.2055,0.00353965,-0.00352131,1.56730068,-0.00160293,1.57079637,0.00349563,0.01939724,-0.01931667,-0.01921645,-0.00878214,0.00000000,0.01917567
3,0.545855,1786956689.472044,2434,50000,0,2434,20,1662,0.008217,0.225305,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.581998,0.976701,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.354633,,0,1.000000,SAFE,1,current,50000,178.6350,0.01814573,-0.01494355,1.55475974,-0.00359467,1.57079637,0.01824110,0.08252836,-0.06453876,-0.07085970,-0.01125387,0.00000000,0.08331593
4,0.725926,1786956689.650697,2378,50000,0,2378,26,1623,0.010934,0.224455,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.567347,0.948042,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.365109,,0,1.000000,SAFE,1,current,50000,171.1835,0.04680404,-0.02882336,1.53868651,-0.00553505,1.57079637,0.04693975,0.15914977,-0.07707956,-0.08926036,-0.01077566,0.00000000,0.15937383
5,0.902799,1786956689.821912,2500,50000,0,2500,31,1770,0.012400,0.224139,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.544938,0.906880,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.387401,,0,1.000000,SAFE,1,current,50000,174.8790,0.08796665,-0.04226669,1.52298725,-0.00744243,1.57079637,0.08820507,0.23272383,-0.07600544,-0.08876000,-0.01078385,0.00000000,0.23330449
6,1.078905,1786956689.996818,2316,50000,0,2316,23,1627,0.009931,0.224786,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.515220,0.850832,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.410505,,0,1.000000,SAFE,1,current,50000,168.9285,0.14401412,-0.05613550,1.50682962,-0.00945618,1.57079637,0.14438826,0.31826009,-0.07875268,-0.09174951,-0.01143487,0.00000000,0.31903076
7,1.251111,1786956690.165764,2354,50000,0,2354,30,1672,0.012744,0.224008,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.478614,0.787507,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.448868,,0,1.000000,SAFE,1,current,50000,181.9240,0.20733896,-0.06879020,1.49195576,-0.01124617,1.57079637,0.20787083,0.36772730,-0.07348583,-0.08637251,-0.01039451,0.00000000,0.36864323
8,1.434055,1786956690.347719,2293,50000,0,2293,41,1662,0.017881,0.223529,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.432880,0.706022,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.494573,,0,1.000000,SAFE,1,current,50000,185.7043,0.28882417,-0.08341829,1.47495449,-0.01331861,1.57079256,0.28954312,0.44541003,-0.07995931,-0.09293142,-0.01132824,-0.00002085,0.44643266
9,1.619150,1786956690.533451,2408,50000,0,2408,20,1783,0.008306,0.221643,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.385168,0.625311,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.488054,,0,1.000000,SAFE,1,current,50000,179.7824,0.36953548,-0.09762457,1.45835662,-0.01535437,1.57079637,0.37030211,0.43605511,-0.07675156,-0.08967250,-0.01099848,0.00002061,0.43631273
10,1.793903,1786956690.713250,2409,50000,0,2409,28,1761,0.011623,0.222771,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.339172,0.548957,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.473518,,0,1.000000,SAFE,1,current,50000,184.5732,0.44588917,-0.11108989,1.44263542,-0.01730943,1.57079637,0.44661909,0.43692213,-0.07705321,-0.08996212,-0.01118752,0.00000000,0.43671202
11,1.978352,1786956690.897857,2348,50000,0,2348,47,1714,0.020017,0.223519,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.289968,0.468231,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.486943,,0,1.000000,SAFE,1,current,50000,164.8464,0.52661508,-0.12533285,1.42599714,-0.01928282,1.57079637,0.52737808,0.43766135,-0.07721921,-0.09020563,-0.01069892,0.00000000,0.43784070
12,2.144475,1786956691.062721,2283,50000,0,2283,26,1680,0.011389,0.223513,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.245895,0.396231,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.473284,,0,1.000000,SAFE,1,current,50000,175.6550,0.59861481,-0.13800588,1.41123712,-0.02108016,1.57079637,0.59934849,0.43341148,-0.07628694,-0.08884979,-0.01081929,0.00000000,0.43323496
13,2.319219,1786956691.238394,2552,50000,0,2552,7,1741,0.002743,0.223709,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.199251,0.319881,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.463806,,0,1.000000,SAFE,1,current,50000,151.1481,0.67496485,-0.15147489,1.39548659,-0.02305356,1.57079637,0.67572045,0.43692499,-0.07707852,-0.09013485,-0.01129308,0.00000000,0.43705051
14,2.470633,1786956691.389559,2481,50000,0,2481,7,1692,0.002821,0.224313,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.159618,0.254484,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.470229,,0,1.000000,SAFE,1,current,50000,164.6764,0.74036211,-0.16299249,1.38202500,-0.02464915,1.57079637,0.74112868,0.43190987,-0.07606687,-0.08890576,-0.01053792,0.00000000,0.43198231
15,2.636482,1786956691.554266,2370,50000,0,2370,6,1659,0.002532,0.224521,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.117807,0.184799,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.469211,,0,1.000000,SAFE,1,current,50000,153.2965,0.81004733,-0.17569853,1.36723173,-0.02643181,1.57080007,0.81055719,0.42017329,-0.07661222,-0.08919739,-0.01074873,0.00002228,0.41862540
16,2.787411,1786956691.707580,2447,50000,0,2447,21,1719,0.008582,0.224621,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.084555,0.129283,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.472525,,0,1.000000,SAFE,1,current,50000,189.8669,0.86556292,-0.18724549,1.35377741,-0.02814478,1.57079637,0.86593342,0.36782548,-0.07650579,-0.08914327,-0.01134949,-0.00002448,0.36690216
17,2.978401,1786956691.897469,2516,50000,0,2516,16,1664,0.006359,0.223462,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.049664,0.071930,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.470601,,0,1.000000,SAFE,1,current,50000,168.5558,0.92291623,-0.20223306,1.33626270,-0.03026857,1.57079637,0.92306298,0.30029543,-0.07847322,-0.09170500,-0.01111991,0.00000000,0.29912387
18,3.149771,1786956692.066053,2414,50000,0,2414,43,1696,0.017813,0.222617,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.026607,0.035763,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.487646,,0,1.000000,SAFE,1,current,50000,177.3157,0.95908296,-0.21530959,1.32100368,-0.03206957,1.57079637,0.95919299,0.21104406,-0.07630560,-0.08904115,-0.01050942,0.00000000,0.21082981
