frame,t_s,timestamp,scene_points,robot_points,cluster_count,raw_point_count,roi_point_count,safety_roi_point_count,rho_retain,table_z_m,table_plane_valid,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,trigger_horizon_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_raw_speed_m_s,predicted_object_filtered_speed_m_s,predicted_object_raw_velocity_x_m_s,predicted_object_raw_velocity_y_m_s,predicted_object_raw_velocity_z_m_s,predicted_object_velocity_ema_alpha,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.094020,1786973962.243265,0,50000,0,0,0,0,0.000000,,0,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.591001,0.994846,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,95.6700,0.00000000,0.00000000,1.57079256,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.201523,1786973962.338968,2594,50000,0,2594,25,1637,0.009638,0.225426,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.590993,0.994832,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.330416,,0,1.000000,SAFE,1,current,50000,198.5634,0.00001467,-0.00001467,1.57078898,-0.00001467,1.57079637,0.00001467,0.00013648,-0.00013648,-0.00003327,-0.00013648,0.00000000,0.00013648
2,0.374594,1786973962.537548,2587,50000,0,2587,24,1691,0.009277,0.225081,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.589389,0.991574,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.343949,,0,1.000000,SAFE,1,current,50000,166.4132,0.00329389,-0.00332323,1.56741083,-0.00145621,1.57079256,0.00326821,0.01894722,-0.01911677,-0.01951887,-0.00832915,-0.00002204,0.01879887
3,0.539043,1786973962.703979,2531,50000,0,2531,42,1634,0.016594,0.223759,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.582900,0.978494,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.335401,,0,1.000000,SAFE,1,current,50000,198.6421,0.01635207,-0.01380646,1.55605078,-0.00341493,1.57079256,0.01646578,0.07940573,-0.06374764,-0.06907954,-0.01191086,0.00000000,0.08025332
4,0.736390,1786973962.902650,2580,50000,0,2580,27,1716,0.010465,0.225399,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.566858,0.947100,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.345361,,0,1.000000,SAFE,1,current,50000,172.3277,0.04774672,-0.02918650,1.53823519,-0.00558641,1.57079256,0.04793746,0.15908332,-0.07793391,-0.09027534,-0.01100331,0.00000000,0.15947362
5,0.912572,1786973963.074994,2501,50000,0,2501,36,1734,0.014394,0.225109,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.544975,0.905581,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.357432,,0,1.000000,SAFE,1,current,50000,179.6551,0.08926513,-0.04264450,1.52256179,-0.00749378,1.57079256,0.08957324,0.23565699,-0.07638710,-0.08896165,-0.01082619,0.00000000,0.23632322
6,1.091399,1786973963.254668,2507,50000,0,2507,35,1684,0.013961,0.223931,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.514299,0.849163,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.428484,,0,1.000000,SAFE,1,current,50000,172.8354,0.14568307,-0.05649864,1.50639307,-0.00950386,1.57079637,0.14615259,0.31548848,-0.07747219,-0.09041527,-0.01124035,0.00002133,0.31639108
7,1.265378,1786973963.427520,2552,50000,0,2552,38,1768,0.014890,0.223214,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.476305,0.783447,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.437457,,0,1.000000,SAFE,1,current,50000,178.2211,0.21139947,-0.06955682,1.49112308,-0.01135988,1.57079637,0.21204136,0.37772527,-0.07505593,-0.08776900,-0.01066806,0.00000000,0.37871606
8,1.442272,1786973963.605759,2500,50000,0,2500,20,1682,0.008000,0.223573,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.432939,0.706125,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.429373,,0,1.000000,SAFE,1,current,50000,187.0603,0.28872147,-0.08340729,1.47496176,-0.01330761,1.57079256,0.28954312,0.43710938,-0.07829817,-0.09136164,-0.01101068,-0.00002156,0.43812554
9,1.631677,1786973963.792847,2586,50000,0,2586,34,1805,0.013148,0.222390,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.383921,0.623231,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.412599,,0,1.000000,SAFE,1,current,50000,175.5509,0.37161526,-0.09801704,1.45792365,-0.01541672,1.57079637,0.37248459,0.43765298,-0.07713488,-0.08995581,-0.01113546,0.00002014,0.43790473
10,1.805326,1786973963.968427,2482,50000,0,2482,46,1732,0.018533,0.224088,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.337849,0.548953,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.423856,,0,1.000000,SAFE,1,current,50000,176.8179,0.44589284,-0.11108989,1.44265735,-0.01729842,1.57079256,0.44661540,0.42774769,-0.07528356,-0.08791515,-0.01083628,-0.00002197,0.42690244
11,1.982059,1786973964.145262,2469,50000,0,2469,29,1697,0.011746,0.223615,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.291308,0.470421,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.434412,,0,1.000000,SAFE,1,current,50000,168.9286,0.52442533,-0.12494770,1.42646670,-0.01922780,1.57079256,0.52519929,0.44435559,-0.07841081,-0.09161056,-0.01091690,0.00000000,0.44464648
12,2.151684,1786973964.314209,2546,50000,0,2546,16,1677,0.006284,0.223787,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.245894,0.398407,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.433003,,0,1.000000,SAFE,1,current,50000,187.7307,0.59643972,-0.13762808,1.41169918,-0.02103247,1.57079637,0.59717333,0.42455104,-0.07475542,-0.08705995,-0.01063919,0.00002249,0.42431315
13,2.343310,1786973964.501972,2622,50000,0,2622,22,1773,0.008391,0.223687,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.195266,0.313330,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.429323,,0,1.000000,SAFE,1,current,50000,186.4399,0.68151599,-0.15262298,1.39414048,-0.02321862,1.57079637,0.68227893,0.44396956,-0.07825074,-0.09162984,-0.01140838,0.00000000,0.44412260
14,2.525963,1786973964.688431,2598,50000,0,2598,12,1667,0.004619,0.224372,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.146573,0.232802,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.423332,,0,1.000000,SAFE,1,current,50000,153.2746,0.76204383,-0.16685125,1.37760127,-0.02518835,1.57079637,0.76263440,0.44087947,-0.07789793,-0.09055006,-0.01078401,0.00000000,0.43993573
15,2.685151,1786973964.841722,2566,50000,0,2566,17,1779,0.006625,0.223643,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.108398,0.169063,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.422048,,0,1.000000,SAFE,1,current,50000,183.2544,0.82578313,-0.17876868,1.36362255,-0.02689398,1.57079637,0.82621598,0.40040309,-0.07486393,-0.08781274,-0.01071461,0.00000000,0.39941235
16,2.864219,1786973965.024994,2509,50000,0,2509,12,1725,0.004783,0.224841,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.070976,0.106769,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.421915,,0,1.000000,SAFE,1,current,50000,153.7799,0.88807726,-0.19262283,1.34751248,-0.02893341,1.57079637,0.88834506,0.34788003,-0.07736814,-0.08996625,-0.01138911,0.00000000,0.34695834
17,3.015225,1786973965.178792,2624,50000,0,2624,24,1795,0.009146,0.224807,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.045861,0.065815,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.416240,,0,1.000000,SAFE,1,current,50000,191.9865,0.92903084,-0.20416243,1.33404338,-0.03055101,1.57079637,0.92921054,0.27120468,-0.07641813,-0.08919570,-0.01071214,0.00000000,0.27062128
18,3.211308,1786973965.370809,2530,50000,0,2530,36,1770,0.014229,0.224211,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.020547,0.026784,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.418397,,0,1.000000,SAFE,1,current,50000,179.8420,0.96806234,-0.21953148,1.31609583,-0.03268580,1.57079637,0.96810633,0.19905566,-0.07838014,-0.09153022,-0.01088717,0.00000000,0.19836351
19,3.391645,1786973965.550668,2564,50000,0,2564,24,1677,0.009360,0.224169,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.005731,0.006867,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.434615,,0,1.000000,SAFE,1,current,50000,181.1077,0.98797971,-0.23264100,1.30128801,-0.03471788,1.57079637,0.98801637,0.11044566,-0.07269482,-0.08211223,-0.01126831,0.00000000,0.11040501
20,3.569889,1786973965.731795,2615,50000,0,2615,20,1730,0.007648,0.223888,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.000361,0.000469,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.399904,0.437608,,0,1.000000,SAFE,1,current,50000,182.1022,0.99438775,-0.23878129,1.29509997,-0.03655557,1.57079637,0.99438041,0.03595087,-0.03444875,-0.03471661,-0.01030993,0.00000000,0.03570409
21,3.754151,1786973965.913917,2590,50000,0,2590,29,1677,0.011197,0.222576,1,0,0,,,,,,,,,,1.200,,no_stable_track,REFERENCE_ARMED,1,0,0,0,0.000000,0.400001,0.000017,0.000033,1.040070,26,0.025518,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.399971,0.431850,,0,1.000000,SAFE,1,current,50000,186.7790,0.99481326,-0.23922145,1.29466355,-0.03696272,1.57079637,0.99483156,0.00230931,-0.00238880,-0.00236850,-0.00220964,0.00000000,0.00244840
22,3.939680,1786973966.100725,2546,50000,0,2546,14,1712,0.005499,0.224496,1,0,0,,,,,,,,,,1.200,,reference_step_jump,RUNNING,1,5,5,1,0.170685,0.399973,0.000539,0.000990,1.206104,30,0.030463,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.399266,0.431956,,0,1.000000,SAFE,1,current,50000,158.5796,0.99436569,-0.23839249,1.29564655,-0.03691503,1.57079637,0.99452341,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
23,4.099906,1786973966.259322,2543,50000,0,2543,29,1782,0.011404,0.224302,1,0,0,,,,,,,,,,1.200,,reference_step_jump,RUNNING,1,10,5,1,0.378524,0.398570,0.001019,0.001970,1.413500,35,0.034131,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.396281,0.435006,,0,1.000000,SAFE,1,current,50000,198.4133,0.99265277,-0.23568913,1.29928517,-0.03599436,1.57079256,0.99263072,-0.01069061,0.01687209,0.02270927,0.00574609,-0.00002381,-0.01181257
24,4.298006,1786973966.457764,2699,50000,0,2699,41,1807,0.015191,0.223650,1,0,0,,,,,,,,,,1.200,,reference_step_jump,RUNNING,1,15,5,1,0.585013,0.395238,0.001398,0.002597,1.620678,40,0.034443,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.392748,0.421734,,0,1.000000,SAFE,1,current,50000,183.8113,0.98921579,-0.23039618,1.30612242,-0.03427405,1.57079256,0.98923409,-0.01734973,0.02671858,0.03451413,0.00868403,0.00000000,-0.01714604
25,4.481397,1786973966.641593,2657,50000,0,2657,45,1756,0.016936,0.223391,1,0,0,,,,,,,,,,1.200,,reference_step_jump,RUNNING,1,20,5,1,0.792017,0.391138,0.000987,0.001720,1.828318,45,0.035044,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.389044,0.406835,,0,1.000000,SAFE,1,current,50000,167.9111,0.98581189,-0.22513989,1.31284583,-0.03272615,1.57079256,0.98578984,-0.01856085,0.02866161,0.03666149,0.00844045,0.00000000,-0.01878089
